run,variant,seed,pnl,objective,opening_inventory,final_inventory,auction_qty,clearing_gap,fees,cancels,auction_pnl,auction_risk_gain,auction_gain
ddpg_paper_actor,learned,1069440158.78125,11.50041036546243,10.548292116218741,1.7792166220311874,-4.31420094888998,6.093417570921169,-0.0009375000000004796,0.10512500000000001,6.265625,0.4324872521023227,-0.6768137166362441,-0.24432646453392134
ddpg_paper_actor,no_auction,1069440158.78125,11.06792311336011,10.792618580752666,1.7792166220311874,1.7792166220311878,0.0,0.0046874999999995115,0.0,0.0,0.0,4.481425367295911e-16,4.481425367295911e-16
ddpg_paper_actor,no_cancel,1069440158.78125,10.967864906260559,9.177901454704358,1.7792166220311874,-8.862600566671794,10.641817188702982,-0.0068750000000004086,0.0,0.0,-0.10005820709958656,-1.5146589189487565,-1.614717126048343
dqn_verified,learned,1069440158.78125,13.444476552851306,13.182693129954972,1.60122885251056,1.95829239044706,-0.35706353793650436,0.005156249999999751,0.14631250000000004,11.3125,0.0294529750150794,-0.08548360655183301,-0.05603063153675362
dqn_verified,no_auction,1069440158.78125,13.415023577836337,13.238723761491835,1.60122885251056,1.6012288525105556,0.0,0.0046874999999995115,0.0,0.0,0.0,2.4867561830702924e-16,2.4867561830702924e-16
dqn_verified,no_cancel,1069440158.78125,13.747924207204932,13.524959265253813,1.60122885251056,0.8825139584476663,0.7187148940628894,0.003749999999999698,0.0,0.0,0.3329006293686259,-0.04666512560661686,0.28623550376200907
sac_verified,learned,1069440158.78125,11.800750035422036,11.615098933386754,1.6397963171079304,0.8384734819200922,0.8013228351878349,0.003437499999998872,0.12490625,7.421875,0.1796808268478989,-0.04490421822432646,0.13477660862357244
sac_verified,no_auction,1069440158.78125,11.621069208574255,11.4803223247633,1.6397963171079304,1.639796317107927,0.0,0.0046874999999995115,0.0,0.0,0.0,1.1231441945981656e-16,1.1231441945981656e-16
sac_verified,no_cancel,1069440158.78125,11.993270518014015,10.604230574090256,1.6397963171079304,-9.010298755465453,10.65009507257338,-0.0070312500000002665,0.0,0.0,0.3722013094399335,-1.2482930601128042,-0.8760917506728707
td3_verified,learned,1069440158.78125,10.39835994110182,10.29750717608081,1.1076694654970605,0.21572079373045702,0.8919486717666018,0.003906249999999334,0.10890625000000002,7.140625,0.02820472180629508,-0.016970550325318634,0.01123417148097645
td3_verified,no_auction,1069440158.78125,10.37015521929547,10.286273004599778,1.1076694654970605,1.1076694654970587,0.0,0.0046874999999995115,0.0,0.0,0.0,1.0135171605405697e-16,1.0135171605405697e-16
td3_verified,no_cancel,1069440158.78125,10.582894578205554,10.444847382020473,1.1076694654970605,0.48303871911886986,0.6246307463781889,0.00406249999999897,0.0,0.0,0.21273935890999773,-0.0541649814893881,0.15857437742060965
