run,algorithm,setting,seed,training_episodes,selected_episode,n_confirmation,pnl,objective,as_objective,twap_objective,difference_as,difference_twap,auction_gain,auction_pnl_gain,opening_inventory,terminal_inventory,inventory_rms,auction_qty,auction_abs_qty,cancels,validation_initial,validation_last,validation_selected,alpha,initial_inventory,beta,child_cap,lambda_inv,auction_weight,reward_scale,hidden_width,clob_warmup,auction_warmup,objective_ci_low,objective_ci_high,difference_as_ci_low,difference_as_ci_high,auction_gain_ci_low,auction_gain_ci_high,pnl_ci_low,pnl_ci_high
ddpg_capacity,ddpg,synthetic_rough_heston,626,180,120,128,11.027092660671649,10.268170353917132,9.53641791919797,3.184095722692748,0.731752434719164,7.084074631224385,0.1536053983596682,0.04214681285362277,3.7038392311201696,2.863475043670176,8.71161469966685,0.840364187449993,0.840364187449993,6.859375,-2.5377926060748033,3.710489769171529,6.443532777404936,0.01,100,1.0,30,0.01,0.0001,1.0,256,512,256,5.379103058469861,15.153986216591383,-1.9030002994364288,2.9011863143374885,0.06430068691709175,0.2571822059919299,6.135677271202124,15.652995485340629
ddpg_complete_warmup,ddpg,historical_sp500_midquotes,627,180,180,128,7.526567950345917,6.6707686220896125,-1.0264413983923122,-0.39712512085764295,7.697210020481924,7.0678937429472555,0.32617988579825336,0.8717629207001306,2.1030181811987276,5.551895951024182,9.250942266906138,-3.4488777698254536,4.590872647366292,0.0078125,-3.9572504796759245,5.599830532388105,5.599830532388105,0.01,100,0.25,30,0.01,0.0001,1.0,256,2500,960,3.428655518182555,9.76750662085887,7.105981167331108,8.296081188777329,0.15521878103217157,0.49879308182114274,4.233904314760159,10.84950450394502
ddpg_finite,ddpg,synthetic_rough_heston,623,180,150,128,-4.059790012612041,-191.10676508551995,-1595.855406436454,-466.75428415698275,1404.7486413509341,275.64751907146274,286.3210474144793,-6.313227512612798,97.25,10.26027878260496,61.16322016913561,86.98972121739504,86.98972121739504,0.0,-2117.461108533348,-201.40119223731668,-193.0681461050587,0.01,250,1.0,2,0.05,0.0001,0.4,64,512,256,-244.32002842562753,-144.25216973345383,1347.7553820193298,1455.1867152496209,235.608366103665,330.8362393142641,-19.502955124744865,11.312948873005494
ddpg_history,ddpg,historical_sp500_midquotes,627,180,180,128,7.846290894027902,6.860928952918874,-1.0264798627086853,-0.3904236991564959,7.887408815627559,7.251352652075369,0.0,0.0,4.987900946770324,4.987900946770324,9.926539886128642,0.0,0.0,0.0,-7.434041458262135,5.405553396287333,5.405553396287333,0.01,100,1.0,30,0.01,0.0001,1.0,256,512,256,3.6984721263260187,9.8451461831088,7.16799358699691,8.593712508055008,0.0,0.0,4.825701883359667,10.776426024235022
ddpg_liquid,ddpg,synthetic_rough_heston,626,180,180,128,13.184233339155945,11.850164514401257,9.53641791919797,3.184095722692748,2.3137465952032876,8.666068791708508,-0.7418180544764403,-0.45116165153313453,4.265308311011909,6.062167554846505,11.550189715994659,-1.7968592438345965,2.571830134529403,17.578125,1.9219626437258288,6.9489297416253955,6.9489297416253955,0.01,100,1.0,30,0.01,0.0001,1.0,64,512,256,7.130109114264886,16.34572779020387,0.09665314953451806,4.338608906112101,-1.3004157082208703,-0.28988175808602296,8.944341051298736,17.426123423162363
ddpg_marketcv,ddpg,synthetic_rough_heston,624,180,180,128,7.765130510657462,0.6089524785367169,-39.49652745472429,6.254948182334477,40.10547993326101,-5.645995703797759,-0.5497962579586507,-0.4263812131956909,27.463898281982367,-7.684839986009411,33.837678483302,35.148738267991774,35.415426851767315,0.40625,-89.14682112050237,-8.260849275821412,-8.260849275821412,0.01,160,1.0,2,0.00625,0.0001,0.625,64,512,256,-11.423480758691749,10.316783902957013,35.55784856813063,44.48506869640678,-2.3422213148509257,1.2627408194925458,-3.3744943745086116,17.001164272496066
ddpg_matched,ddpg,synthetic_rough_heston,624,180,150,128,5.838897981704122,3.420459790952726,-39.49652745472429,6.254948182334477,42.91698724567702,-2.83448839138175,-0.009764818423006472,-0.028680143296611463,13.1171875,13.057413644723372,19.671047519647328,0.0597738552766278,0.0597738552766278,0.0,-89.14682112050237,-7.277167968750028,-7.253574218749741,0.01,160,1.0,2,0.00625,0.0001,0.625,64,512,256,-7.677322347792874,12.40827480651372,38.562974342379285,46.984232229689546,-0.03289797089399382,0.003603515624974407,-3.9207264209635824,14.422350965168478
ddpg_message,ddpg,synthetic_rough_heston,625,180,180,128,-8.527406214435999,-30.562118626974566,-51.79987806259595,-2.794688065012049,21.23775943562138,-27.767430561962513,-25.86930511725184,-7.282579616186169,21.199251239111746,-39.229948669764894,59.37637565569467,60.42919990887665,66.64078637845677,0.0,-59.244922027680985,-20.054848911533707,-20.054848911533707,0.01,160,1.0,2,0.00625,0.0001,0.625,64,512,256,-42.03543798589847,-20.43408626199716,10.952337595336104,30.594392245730894,-33.844074155761184,-18.55207182876804,-16.963848069597308,-0.756564254698713
ddpg_paper_actor,ddpg,synthetic_rough_heston,628,180,180,128,9.412751857655898,8.24390534096192,8.691684243907925,1.5577863315179337,-0.4477789029460054,6.6861190094439875,-0.16832619711433577,-0.08196273404093606,3.8247937771397704,-0.6771286439746457,10.811320533098522,4.501922421114417,4.902380508904024,6.1875,8.886148894147906,9.743770448350833,9.743770448350833,0.01,100,0.25,30,0.01,0.0001,1.0,256,2500,960,3.2225172743958064,12.85589428057644,-2.191744133700606,1.1052202005687026,-0.5340858844161757,0.26932074846772164,4.888359891174365,13.785870758962435
ddpg_paper_actor_history,ddpg,historical_sp500_midquotes,627,180,180,128,6.998815769188425,6.002463720418684,-1.0264413983923122,-0.39712512085764295,7.028905118810997,6.399588841276328,0.3081821507791867,1.0477564782989075,1.7894901940925851,5.141556921163632,9.98174357900332,-3.3520667270710476,6.110014326115491,0.0,-3.9572504796759245,5.052774764503411,5.052774764503411,0.01,100,0.25,30,0.01,0.0001,1.0,256,2500,960,2.5120143938600155,9.464342753273717,6.4308254685931665,7.637432036793524,0.10932950412012418,0.4969278219305714,3.337300801146844,10.356006804141657
