run,reserve,opening_inventory,auction_gain,gain_ci_low,gain_ci_high,pnl_gain,risk_reduction,signed_quantity,absolute_quantity
ddpg_paper_actor,0,0.49754559391367703,-0.43819386928128845,-0.8482623084560702,-0.043236612790231346,0.5700855942384431,-1.0082794635197314,6.549659208181005,6.707274855299228
ddpg_paper_actor,10,10.61109229776569,0.686423843508715,0.22476961796724942,1.1696041200631306,0.5954150901841098,0.09100875332460545,10.986477077605649,11.194732711679432
ddpg_paper_actor,20,20.54894819764494,3.026938673941859,2.34204727195028,3.7470334663048024,0.6367811034293237,2.390157570512535,13.196036356343557,13.520180925081494
ddpg_paper_actor_history,0,0.49754559391367703,0.29276901762522056,0.06203009839473237,0.49781201540060527,0.8776303545085966,-0.5848613368833759,-3.1441855669382397,5.969510906195129
ddpg_paper_actor_history,10,10.61109229776569,0.013686229795969902,-0.14125024522867918,0.17043157124885894,0.5901693561934281,-0.5764831263974579,-0.9403006678163386,4.529460554632934
ddpg_paper_actor_history,20,20.54894819764494,0.2117848133604514,-0.0954230062434836,0.5211876983991408,0.2916992838455599,-0.07991447048510825,0.4657169897688246,3.4764261672650623
dqn_verified,0,0.49754559391367703,-0.05707138174074794,-0.11177311491844846,0.0006639606856955753,-0.030030391357166748,-0.027040990383581275,-0.25451142178490177,0.6122890151189271
dqn_verified,10,10.61109229776569,0.04954108720385493,-0.07007075998579675,0.1813606690801152,0.09144628986462137,-0.041905202660766694,0.09500250182632997,1.7005173876411346
dqn_verified,20,20.54894819764494,0.9057102790759612,0.5656451761811871,1.2605441181008434,-0.26239678199109495,1.1681070610670563,3.741510808075103,4.239557909193387
dqn_verified_history,0,0.49754559391367703,0.1490411034848001,0.020741135973804788,0.27636211548661427,0.34039953455531924,-0.19135843107051884,-1.342501687905155,3.044932277612014
dqn_verified_history,10,10.61109229776569,-0.17445529944186616,-0.39746742392768103,0.0299758837964458,-0.38114154835054437,0.20668624890867823,2.8127987835532378,3.4543017563571734
dqn_verified_history,20,20.54894819764494,0.10317501909056823,-0.3206489330020529,0.4906015629021386,-1.4659474910955215,1.5691225101860897,7.445335842744079,7.743771396663681
sac_verified,0,0.49754559391367703,-0.009952915235507478,-0.09223607547817322,0.08138476578062455,0.012840798137589194,-0.022793713373096814,0.19199498840104778,1.1098564592078146
sac_verified,10,10.61109229776569,0.18311632969283,0.07408712162588875,0.31485862790430597,0.014535211950518715,0.16858111774231133,0.9912313811025784,1.3400433539635892
sac_verified,20,20.54894819764494,0.7493009678987572,0.5541962800587846,0.957711771395296,-0.0020700835327327714,0.75137105143149,2.052805174086698,2.28843790179715
sac_verified_history,0,0.49754559391367703,0.13904945362735294,-0.20353387935872247,0.3687879294375109,0.40419789719131316,-0.2651484435639599,-0.641953882599102,3.5115110418032636
sac_verified_history,10,10.61109229776569,0.11962127839525244,-0.0595215493175784,0.27476787587589424,0.2664739160736589,-0.14685263767840626,0.3244468433300518,2.860021819285881
sac_verified_history,20,20.54894819764494,0.26011524032440125,0.0747566394407196,0.45645042795021584,0.12768544503405554,0.1324297952903457,0.756985244376404,2.264352877913327
td3_verified,0,0.49754559391367703,-0.03675575931276192,-0.11469057406768182,0.039391916150387715,-0.018366346844583666,-0.018389412468178278,0.5378511335592486,1.195326557918992
td3_verified,10,10.61109229776569,0.17698631683556698,0.039798585475854215,0.31643413267530607,0.0040637399576846905,0.17292257687788237,1.0118456934516815,1.6499137923042912
td3_verified,20,20.54894819764494,0.6439432594670235,0.3758311758688107,0.9210106893261808,0.04623570460798947,0.5977075548590338,1.6240320372402188,2.1979392384182455
td3_verified_history,0,0.49754559391367703,0.10164318779909665,0.00918161977466757,0.2041216251677071,0.3096037661151346,-0.20796057831603765,-1.648377157375466,3.1747414717372124
td3_verified_history,10,10.61109229776569,0.02610481653074051,-0.15832415874399638,0.2029927027515288,0.2389716115089125,-0.2128667949781718,-0.3618385999268305,2.655267139580195
td3_verified_history,20,20.54894819764494,0.3093760120261189,0.026723840305612007,0.6049766105837308,0.14577167427698995,0.16360433774912916,0.6588601317434379,2.2811632912168895
