setting,policy,episodes,pnl,objective,difference_as,difference_twap,opening_inventory,inventory,inventory_rms,auction_qty,auction_abs_qty,cancels,pnl_ci_low,pnl_ci_high,objective_ci_low,objective_ci_high,difference_as_ci_low,difference_as_ci_high,auction_gain,auction_pnl_gain,auction_gain_ci_low,auction_gain_ci_high
synthetic_rough_heston,dqn,256,11.42982978487482,11.054287100669868,2.5597433172170785,9.022146800953614,2.0083594721834146,2.2776923017857964,6.128153753007139,-0.2693328296023827,1.287308416343677,9.87109375,8.403937033279403,14.329456045483843,8.04473762598756,14.124264275786347,1.6875951109727096,3.416092462429044,-0.019750470498909323,-0.005552566948464836,-0.09745709677457043,0.06593097743008318
synthetic_rough_heston,ddpg,256,9.911973816165393,8.599120740830855,0.10457695737806733,6.566980441114602,3.36825610493469,-1.768195779905003,11.457980080863013,5.136451884839693,5.3908440703616005,6.65234375,6.9536319647501195,12.676001602790747,5.531825587975894,11.445560104993337,-1.0768957959355498,1.2450791567538833,-0.1831939009282789,0.2229109509666557,-0.4111313589357509,0.04741971900549222
synthetic_rough_heston,td3,256,9.125502507833394,8.407406891116215,-0.08713689233657221,6.375266591399962,2.4489130575184124,1.9581175374209665,8.474052258023777,0.49079552009744465,0.9692125318125759,7.91796875,6.3896986851242,11.76118928038182,5.230051007846199,11.403351990938651,-1.2420048685755072,0.8988439204060514,-0.08423991566482522,-0.04199371206845527,-0.16570796428811949,-0.0162471119248215
synthetic_rough_heston,sac,256,10.054415666474718,9.671942449231647,1.1773986657788589,7.6398021495153925,2.6667650532548355,2.0966670673240357,6.184441908879675,0.570097985930799,1.2862547825027928,6.87109375,7.527339827176812,12.611973944778928,6.8985192323783275,12.386983388972824,0.6262285427475097,1.6988302292716373,0.14233259387657235,0.12220029207619502,0.06039100783111711,0.23174163507422743
synthetic_rough_heston,as,256,8.501640779742601,8.494543783452787,0.0,6.462403483736534,0.5495836263185752,0.47636220127848455,0.8424367210546835,0.07322142504009062,0.07322142504009062,0.0,5.775151225655502,11.083192033508151,5.947437041189135,11.099060775922409,0.0,0.0,,,,
synthetic_rough_heston,twap,256,2.0731181954059323,2.032140299716253,-6.462403483736534,0.0,1.0995780868401697,1.0499692383758399,2.024299772506007,0.04960884846432989,0.04960884846432989,0.0,-1.6091581031346645,5.5540284977389724,-1.6519992397113143,5.546765795742345,-8.476451519270288,-4.440958459356791,,,,
historical_sp500_midquotes,dqn,256,5.363035331165518,4.856185543110808,5.9830052248153685,5.847753098274367,2.4721817108040174,3.2678786380204103,7.119338368519308,-0.7956969272163936,3.5182817084251194,3.35546875,2.8266554702510156,7.871202288655815,2.2309662108998394,7.310120025428197,5.500910048134152,6.454545753784287,0.31807541029319164,0.2888439965219325,0.20966030459587728,0.4212457583883367
historical_sp500_midquotes,ddpg,256,6.560425581393673,5.333455977687987,6.460275659392549,6.325023532851547,2.6706985925021005,6.27010394122266,11.076865999485983,-3.5994053487205586,6.280139912868654,0.0,4.135300288804622,8.990896492119123,2.9468870163613823,7.724583795266588,6.025688956875413,6.8699745716174325,0.34919201472802486,1.0178314927748673,0.20177583516138428,0.49564196055219883
historical_sp500_midquotes,td3,256,5.502626042635949,4.820785887455164,5.947605569159727,5.812353442618725,2.5103249816381608,3.5526071792480036,8.25736129269384,-1.0422821976098438,2.9197239545994798,0.81640625,3.1846339070600007,7.7840350150633295,2.4938930815278715,7.154726931402636,5.5255443288414625,6.336120815011026,0.13516138571426667,0.3220855157328483,0.050931482940873775,0.2196623403675414
historical_sp500_midquotes,sac,256,6.819787963743828,6.025238101361615,7.152057783066176,7.016805656525174,2.8883937804245403,4.132909805162494,8.913752646232753,-1.2445160247379539,3.8139870891962735,3.31640625,4.6042106021490685,8.925830845597847,3.7887112823170224,8.150818905810311,6.725190310529482,7.571679976407032,0.43438516053150367,0.6922791784725896,0.338849280569133,0.5330658925732369
historical_sp500_midquotes,as,256,-1.123470637596796,-1.1268196817045621,0.0,-0.135252126541002,0.5233523989544321,0.492652117712027,0.5787092627361298,0.03070028124240363,0.03070028124240363,0.0,-3.4379693163714355,1.212633241967825,-3.4345076858997827,1.2211898812959459,0.0,0.0,,,,
historical_sp500_midquotes,twap,256,-0.9498974419778463,-0.9915675551635601,0.135252126541002,0.0,1.0995780868401697,1.0718824529411124,2.0413258727041517,0.02769563389905753,0.02769563389905753,0.0,-3.4041902373291064,1.4134422300679632,-3.5323175286063213,1.427216119935731,-0.4657487236736036,0.725175732934074,,,,
