run,algorithm,setting,reserve,enabled,env_seed,pnl,objective,opening_inventory,final_inventory,auction_quantity,cancellation_fees,cancels
dqn_verified,dqn,synthetic_rough_heston,0,False,401058792,-10.95106423786092,-10.951236274063794,0.1311625719762759,0.1311625719762768,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1822668597,-1.729438507984014,-1.7308029117706545,0.3693783678886149,0.3693783678886184,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1465431171,2.410649434074003,2.4102958333189135,0.1880427491527854,0.1880427491528085,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,157564097,-2.5006369323527906,-2.508339753018028,0.8776571463411642,0.8776571463411651,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,245238582,-1.1110456378046365,-1.1178570188949095,0.8253109165807189,0.825310916580726,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1117977144,9.008143452951115,9.001879047256391,0.7914799867795779,0.7914799867795903,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,523826546,-0.0619292836654494,-0.062116184674817,0.1367117439606175,0.1367117439606389,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1124484429,-1.676408708353847,-1.6790898908378238,0.517801359980524,0.5178013599805205,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,171768458,16.35806841136764,16.354401438736573,0.6055553344712479,0.6055553344712195,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1868865057,3.0939363025572675,3.0923796722273473,0.3945415478654155,0.3945415478654048,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,301461638,12.09526830386676,12.095005440982428,0.162130467319244,0.1621304673192334,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1387055752,-13.374309757737135,-13.374882519811798,0.2393244815435053,0.2393244815434982,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1027367132,-16.35739901960187,-16.36645695354624,0.9517317870267163,0.9517317870267136,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1111389845,-15.823595097146608,-15.823615188347786,0.044823209587264,0.0448232095872698,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,180210118,5.055617969164814,5.0523544587660885,0.5712714239943892,0.5712714239943857,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1769597788,8.378346297738972,8.376114536054823,0.4724152499812106,0.4724152499812231,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,1541083806,-12.650057162185476,-12.656954685769342,0.8305133101802369,0.8305133101802511,0.0,0.0,0
dqn_verified,dqn,synthetic_rough_heston,0,False,2073530583,0.0482486329092353,0.0479236739284669,0.1802661867262713,0.1802661867262962,0.0,0.0,0
