date,ticker,spread_bps,bid_size_shares,ask_size_shares
2026-08-03,CAT,4.9421705772089775,80.0,80.0
2026-08-03,PG,2.7643400138211502,100.0,100.0
2026-08-03,GOOGL,0.8018495997426789,120.0,80.0
2026-08-03,JPM,2.2731147354674355,80.0,80.0
2026-08-03,MSFT,1.2277973315871793,120.0,120.0
2026-08-04,CAT,6.769716800180783,80.0,40.0
2026-08-04,PG,2.0327269031406403,200.0,100.0
2026-08-04,GOOGL,0.7924034918588349,80.0,80.0
2026-08-04,JPM,2.2246322404823027,80.0,80.0
2026-08-04,MSFT,1.217927898668445,120.0,120.0
2026-08-05,CAT,5.863052620897068,80.0,40.0
2026-08-05,PG,1.364349546352535,200.0,100.0
2026-08-05,GOOGL,1.3778090081156085,80.0,80.0
2026-08-05,JPM,1.9457145636733195,120.0,120.0
2026-08-05,MSFT,1.4337945372426733,80.0,80.0
2026-08-06,CAT,7.183991286513847,40.0,80.0
2026-08-06,PG,2.051773073898105,200.0,100.0
2026-08-06,GOOGL,1.1187559433915217,80.0,40.0
2026-08-06,JPM,2.5276283824591532,80.0,80.0
2026-08-06,MSFT,1.4013873734996283,80.0,120.0
2026-08-07,CAT,5.452562704471533,80.0,40.0
2026-08-07,PG,1.374287088571553,200.0,200.0
2026-08-07,GOOGL,0.8466564127176134,40.0,80.0
2026-08-07,JPM,1.67944914068192,120.0,80.0
2026-08-07,MSFT,1.3993982587486016,80.0,120.0
2026-08-10,CAT,4.996133943971439,80.0,80.0
2026-08-10,PG,1.3724010155774535,200.0,100.0
2026-08-10,GOOGL,0.8460117595642914,120.0,80.0
2026-08-10,JPM,1.9532067469339727,80.0,80.0
2026-08-10,MSFT,1.187413417771666,120.0,120.0
2026-08-11,CAT,4.38339286454729,80.0,80.0
2026-08-11,PG,1.384178835906307,200.0,200.0
2026-08-11,GOOGL,0.8721817626802016,120.0,80.0
2026-08-11,JPM,2.205618813928044,40.0,80.0
2026-08-11,MSFT,1.5881208559968254,80.0,120.0
2026-08-12,CAT,6.007046727892125,80.0,80.0
2026-08-12,PG,1.3842746400893016,200.0,200.0
2026-08-12,GOOGL,0.8719789562420487,80.0,80.0
2026-08-12,JPM,1.6447368421053257,80.0,80.0
2026-08-12,MSFT,1.4176497392535705,80.0,120.0
2026-08-13,CAT,5.802416126074897,40.0,80.0
2026-08-13,PG,1.3845621322263921,200.0,200.0
2026-08-13,GOOGL,0.8669142188372575,80.0,80.0
2026-08-13,JPM,2.2005831545355146,80.0,80.0
2026-08-13,MSFT,1.808045803826528,80.0,80.0
2026-08-14,CAT,5.23794835382976,80.0,80.0
2026-08-14,PG,0.6936977558871288,200.0,300.0
2026-08-14,GOOGL,0.8689733080357644,80.0,80.0
2026-08-14,JPM,1.6536670065871695,80.0,80.0
2026-08-14,MSFT,1.6135213085666067,120.0,80.0
