episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,learning_rate_clob,grad_norm_clob,td_abs_mean_clob,td_abs_max_clob,n_grad_steps_clob,loss_auction,learning_rate_auction,grad_norm_auction,td_abs_mean_auction,td_abs_max_auction,n_grad_steps_auction
0,35.78580706017783,35.78039872975368,35.7803987297541,-4.118616421447712,0.0,-39.8990151512018,0.0,0.0,0.7354135179715655,0.7354135179715744,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,41.82753340458112,41.813655327031476,41.813655327030474,-0.8201373295019729,0.0,-42.63379265653246,0.0,0.0,0.9536544614318814,1.1780525264029182,-0.2243980649710404,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,48.277402254214394,-69.8361592060327,-69.83615920603148,-21.288757980634205,0.0,48.547401225397266,0.0,0.0,0.06993675920044495,-108.68006324080194,108.75000000000239,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
3,1.7730752798174216,1.7698879625686972,1.769887962565111,21.90843938502622,0.0,20.13855142246111,0.0,0.0,0.46039867012227376,-0.5645633045748168,1.0249619746971022,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
4,13.0,-87.0,-87.0,-109.53675781199769,0.0,-22.536757811997706,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,27.98475000000144,-113.56575625000417,-113.56575625000369,-108.68081001470166,0.0,4.884946235302025,0.0,0.0,100.0,118.97500000000235,-18.975000000002353,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
6,9.360000000000582,-99.84249999999889,-99.84249999999884,-103.5692888200828,0.0,-3.726788820083959,0.0,0.0,100.0,104.49999999999974,-4.499999999999744,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
7,49.5981345245886,-50.84414709067964,-50.844147090680565,-81.93980007121078,0.0,-31.095652980530232,0.0,0.0,100.0,100.2208968305853,-0.2208968305852977,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
8,35.460053975311894,3.0078530809278945,3.0078530809300403,-19.761039489515863,0.0,-22.76889257044591,0.0,0.0,56.96683324038999,56.966833240389974,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
9,-35.35332978377846,-50.555982248874805,-50.55598224887509,-11.107328668634317,0.0,39.448653580240766,0.0,0.0,34.779613891153346,-38.990578945555995,73.77019283670933,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
