episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,ent_coef_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,ent_coef_auction,grad_norm_auction
0,-14.570327018745957,-14.573741984134978,-25.670169784746093,31.881663035350897,0.0,57.551832820097,-11.096427800611565,0.0,0.5843770519982314,0.5843770519982314,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
1,-3.782772095170003,-5.523660628839343,-8.407867639444248,-17.139877175306523,0.0,-8.732009535862272,-2.9946309563057696,0.11042394570607438,0.7178202131691478,-13.194273506598762,13.912093719767935,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,
2,17.824314963336292,17.824082205440362,17.271478453961215,-6.294159753154581,0.0,-23.565638207115796,-0.5526603653209179,5.661384195389121e-05,0.44243594921155704,-0.15256405078841784,0.5949999999999811,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
3,-45.40339238118992,-45.40358184271998,-52.001362742141566,12.973357803614544,0.0,64.97472054575611,-6.599022399422552,0.001241499999999753,0.3869167082420262,0.13764502536037915,0.2492716828816719,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
4,1.0,-99.0,-99.0,-98.55898462846459,0.0,0.44101537153540493,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,,,
5,40.90375000000131,-55.283306249998546,-55.26825072640979,-85.05794187502792,0.0,-29.789691148618093,0.0,0.015055523589655881,100.0,98.07499999999993,1.9250000000000753,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
6,6.630400000001828,-133.74470399999976,-133.78092691585863,-162.9034784053625,0.0,-29.122551489503913,0.0,-0.03622291585799858,100.0,118.48000000000067,-18.480000000000672,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7,-16.4724271765304,-115.40593803800701,-115.40055045800635,-96.7444386420672,0.0,18.656111815939134,0.0,0.005387579999999353,100.0,99.46532604957197,0.5346739504280267,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
8,8.042852528466028,8.03429388791331,6.317348875731852,-17.464610621903265,0.0,-23.781959497635118,-1.7169450121828334,0.0,0.9251292100413195,0.9251292100413213,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
9,23.694470764698053,19.52058094349781,19.12812697694682,-16.089360383642624,0.0,-35.21748736058944,-0.548311433155078,0.15585746660493108,0.4999000952008288,-20.43009990479793,20.929999999998778,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,-22.818675923244882,-23.05689239206067,-37.10016555125961,-3.406635255606097,0.0,33.693530295653495,-14.043489909621286,0.00021675042023706328,0.0642575481222849,-4.8807424518795095,4.945000000001794,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
11,-18.81529574687971,-18.816862092840484,-32.296112671954695,32.87672166260967,0.0,65.17283433456436,-13.479250579115089,0.0,0.39577088836549024,0.39577088836548846,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,12.620244888399611,12.618933363026887,12.304198010867488,6.138929248842823,-4.440892098500626e-15,-6.165268762024666,-0.3147353521610512,0.0,0.3621498823311242,0.36214988233111534,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,
13,32.37309229525272,6.627484198002325,6.593297429987922,-8.472687466761448,-1.7763568394002505e-15,-15.065984896749367,-0.05170518315240358,0.01751841514083801,57.582630170557756,50.74013017055671,6.842500000001049,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,
14,1.5118892089903966,1.2841569545914964,-4.138821659872732,-12.697237264836051,0.0,-8.55841560496332,-5.371046142758672,-0.05193247170132105,0.6321300736572653,4.772130073655791,-4.139999999998523,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
15,18.83675119679305,-2.4152578105326654,-2.4152578105309956,-16.10976068458438,-1.7763568394002505e-15,-13.694502874053379,0.0,0.0,46.02403045829874,46.09990130935826,-0.07587085105951637,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
16,-50.86328349998257,-50.87078457540689,-61.527476501182704,-7.380235894851111,0.0,54.147240606331614,-10.656691925778489,0.0,0.8660874912108483,0.8660874912108198,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
17,9.929900852046558,9.912918202718423,9.808607671715535,-4.9983702041388165,0.0,-14.806977875854349,-0.13048363894449722,0.026173107939642785,0.6893352830917792,-1.303174943287935,1.9925102263797017,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
18,34.69126027541097,34.68660760904508,34.644193328304034,9.528161870635248,-3.552713678800501e-15,-25.116031457668797,-0.041655359469928044,-0.000758921271072381,0.2959222506596859,0.6821045642631706,-0.38618231360348465,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
19,-8.23519974660172,-8.23541672133319,-14.088472083775883,-2.0415854965716402,0.0,12.046886587204241,-5.8584472624361865,0.0053919000000002045,0.3887887659560505,-0.14730062167868563,0.5360893876347494,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
20,39.0,-61.0,-61.0,-84.42230914661381,0.0,-23.42230914661381,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,
21,33.80400000000009,-56.06640000000063,-56.01749160138457,-78.40929769337396,0.0,-22.39180609198937,0.0,0.04890839861694627,100.0,94.80000000000038,5.199999999999612,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,
22,55.82060000000092,-41.43844399999776,-41.43849473256791,-81.49813973373793,0.0,-40.05964500117004,0.0,-5.0732570296594584e-05,100.0,98.61999999999934,1.3800000000006634,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
23,-17.293339149364837,-116.24675229920452,-116.24149704920518,-129.68262495061444,0.0,-13.441127901409311,0.0,0.005255250000000556,100.0,99.47533018283461,0.5246698171653925,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,
