step,phase,q_abs_max,loss,learning_rate,grad_norm,td_abs_mean,td_abs_max
0,clob,9.90603256225586,2.3893041610717773,5.6403296533574376e-05,31.56036949157715,0.9198988676071167,7.393781661987305
0,clob,15.668264389038086,2.9512667655944824,5.6403296533574376e-05,55.28074264526367,1.1156554222106934,8.16523551940918
0,clob,9.742806434631348,1.6461471319198608,5.6403296533574376e-05,29.86229705810547,0.8748379945755005,5.763065814971924
0,auction,21.72308349609375,0.1633474975824356,5.6403296533574376e-05,5.6589765548706055,0.21163521707057953,2.908376693725586
250,clob,10.694267272949219,1.571154236793518,5.6403296533574376e-05,30.840913772583008,0.8399069905281067,6.205122947692871
250,clob,11.921407699584961,2.9538822174072266,5.6403296533574376e-05,82.11760711669922,1.0313472747802734,7.428767204284668
250,clob,22.280351638793945,4.138175964355469,5.6403296533574376e-05,63.00574493408203,1.229247808456421,9.971117973327637
250,auction,12.862016677856445,0.15299072861671448,5.6403296533574376e-05,5.784887313842773,0.2079371064901352,2.4290943145751953
500,clob,16.753536224365234,1.8741888999938965,5.6403296533574376e-05,44.94996643066406,0.8249325156211853,7.972553730010986
500,clob,11.05848503112793,1.7306804656982422,5.6403296533574376e-05,40.481632232666016,0.895327091217041,5.350634574890137
500,clob,13.062992095947266,2.1558737754821777,5.6403296533574376e-05,33.01243591308594,0.8897764086723328,7.298560619354248
500,auction,10.309957504272461,0.067802295088768,5.6403296533574376e-05,2.518390655517578,0.16724348068237305,1.565624475479126
750,clob,14.925131797790527,2.60640549659729,5.6403296533574376e-05,39.374080657958984,0.8832176923751831,9.115527153015137
750,clob,10.949993133544922,3.2743210792541504,5.6403296533574376e-05,70.4990005493164,1.0070158243179321,11.894569396972656
750,clob,11.043780326843262,1.363805890083313,5.6403296533574376e-05,29.325973510742188,0.8398517966270447,3.8438448905944824
750,auction,25.08700942993164,0.20951125025749207,5.6403296533574376e-05,8.201223373413086,0.21540354192256927,3.555055618286133
1000,clob,14.51937198638916,1.7592054605484009,5.6403296533574376e-05,31.488052368164062,0.8908916711807251,5.929482936859131
1000,clob,16.081310272216797,1.9768650531768799,5.6403296533574376e-05,40.26755142211914,0.8136626482009888,8.522786140441895
1000,clob,11.816259384155273,1.1603782176971436,5.6403296533574376e-05,30.326066970825195,0.7489657998085022,4.724357604980469
1000,auction,25.506637573242188,0.18410438299179077,5.6403296533574376e-05,4.981493949890137,0.20068463683128357,2.9313220977783203
1250,clob,15.303595542907715,1.8221800327301025,5.6403296533574376e-05,61.6926155090332,0.9189908504486084,6.307559013366699
1250,clob,13.968099594116211,1.3621900081634521,5.6403296533574376e-05,39.98896408081055,0.8288968801498413,4.803971767425537
1250,clob,13.255117416381836,1.5520341396331787,5.6403296533574376e-05,42.5284423828125,0.8281862735748291,5.866318702697754
