symbol,raw_price_per_model_price_unit,illustrative_shares_per_inventory_unit,dollars_per_model_objective_unit,model_tick_in_raw_dollars,beta_in_shares_per_dollar,lambda_in_dollars_per_share_squared,initial_notional_dollars
CAT,8.609000000000002,151.2573360811267,1302.17440632242,0.08609000000000001,4.392418866335425,0.0005691624765480845,13021744.0632242
PG,1.4513,151.2573360811267,219.5197718545392,0.014513,26.05549095313283,9.594906518924787e-05,2195197.718545392
GOOGL,3.5477,151.2573360811267,536.6156512150133,0.035477,10.658830797497442,0.00023454730143450332,5366156.512150132
JPM,3.60115,151.2573360811267,544.7003558285495,0.0360115,10.500627305244624,0.00023808101433629158,5447003.558285494
MSFT,4.9552,151.2573360811267,749.510351749199,0.049552,7.631242738997756,0.0003276006393066637,7495103.51749199
