run,algorithm,seed,setting,symbol,episodes,flow,n_step,layer_norm,safe_initialization,grad_clip,initial_validation,final_validation,status,max_loss_clob,max_loss_auction,selected_episode,selected_validation,pnl,objective,auction_value,auction_value_se,open_abs_inventory,final_abs_inventory,risk_relief,as_objective,gap_as,twap_objective,gap_twap
confirm_ddpg853,ddpg,853,synthetic_rough_heston,,200,0.5,1,False,False,1.0,2.0212076856243257,3.2691458393434836,completed,16.782007483548895,1.8057407875855764,200.0,3.2691458393434836,6.0323254472699475,4.5703544650077275,1.5271063696633072,0.43367050488130765,7.610688935672547,7.931195932540865,1.135478946919049,2.525268655861028,2.0450858091467,-3.652468153892247,8.222822618899972
confirm_ddpg_msft857,ddpg,857,historical_sp500_midquotes,MSFT,200,0.5,1,False,False,1.0,1.0718628913851793,3.7822672261978436,completed,9.291694192325368,0.7878789673248927,200.0,3.7822672261978436,1.6763097391076665,1.2795740641496602,0.8760619737841924,0.20757133463192987,4.893265979322012,3.952571703579258,0.8006002445763042,-1.973867362938108,3.2534414270877683,-6.548426905336543,7.828000969486203
confirm_dqn853,dqn,853,synthetic_rough_heston,,200,0.5,3,True,False,1.0,-4.09689459518043,-0.17917565148549175,completed,67.34746728292326,10.7306336079325,200.0,-0.17917565148549175,2.812029332519672,-0.09730903360614312,-0.34835758731221234,0.18023694505740423,8.627766666656434,8.84899705568938,-0.13186691951202728,2.525268655861028,-2.622577689467171,-3.652468153892247,3.5551591202861035
confirm_dqn_msft857,dqn,857,historical_sp500_midquotes,MSFT,200,0.5,3,True,False,1.0,-52.98118683094719,3.560046642674613,completed,32.53818038202101,2.327204406261444,200.0,3.560046642674613,3.2510495010650633,0.2713136696200521,0.6950843858296557,0.1918292928157061,15.021468096231668,13.20490588774167,0.8871714140781553,-1.973867362938108,2.24518103255816,-6.548426905336543,6.819740574956594
confirm_sac853,sac,853,synthetic_rough_heston,,200,0.5,1,False,False,1.0,2.821775373975708,2.3331711149590486,completed,16.8572819953741,1.7964016805092493,150.0,2.411841333051628,6.288319530812322,3.987713037955986,1.3285780804260394,0.38071197206405943,10.425931551396067,9.236061083022381,1.1756331864293161,2.525268655861028,1.4624443820949593,-3.652468153892247,7.640181191848233
confirm_sac_msft857,sac,857,historical_sp500_midquotes,MSFT,200,0.5,1,False,False,1.0,0.9050538510071046,3.6465089822070524,completed,9.215695647632376,0.7840994360546271,200.0,3.6465089822070524,1.613025178306335,0.734867308334034,0.7018765916370213,0.18561276532825796,7.2517444729747655,5.643769982089357,0.7700326254106352,-1.973867362938108,2.7087346712721416,-6.548426905336543,7.283294213670576
confirm_td3853,td3,853,synthetic_rough_heston,,200,0.5,1,False,False,1.0,1.954888489369373,2.3444596724111824,completed,33.667959568112394,3.6198110818862914,200.0,2.3444596724111824,5.005727464921959,3.9699924622048073,1.2561362313855655,0.38760256900169826,7.243302021605911,4.685001866206367,1.2558025816580445,2.525268655861028,1.4447238063437795,-3.652468153892247,7.6224606160970545
confirm_td3_msft857,td3,857,historical_sp500_midquotes,MSFT,200,0.5,1,False,False,1.0,1.0638873167039369,3.4632761715793063,completed,18.481170457952164,1.5521092673142751,200.0,3.4632761715793063,1.198393355240543,0.9937289644440993,0.3420764734265269,0.13570702321691547,3.859144045864245,2.3082574158493525,0.500242467777405,-1.973867362938108,2.9675963273822075,-6.548426905336543,7.5421558697806415
ddpg_half839,ddpg,839,synthetic_rough_heston,,200,0.5,1,False,False,1.0,2.108682429361139,3.305222117521616,completed,7.111285209655762,0.8375548889239629,160.0,4.227901419190836,6.264351189348862,4.561724625956609,0.5915953659101774,0.7813296857026879,8.67176524767078,5.595480107200203,0.7634014225794974,3.853374616769435,0.708350009187174,-4.3551729928336655,8.916897618790273
ddpg_half_msft841,ddpg,841,historical_sp500_midquotes,MSFT,200,0.5,1,False,False,1.0,2.334847210173108,3.5481817130603672,completed,12.776871304179346,0.533316991229852,160.0,4.258221006227114,3.0502033455128155,2.351017851438142,0.7400271766191332,0.14753810286002933,5.0073175520348325,6.145341199054982,0.1817577115859105,-0.0926685891362985,2.4436864405744396,-4.138739646034539,6.489757497472681
