run,reserve,enabled,env_seed,pnl,objective,opening_inventory,final_inventory,auction_quantity,cancellation_fees,cancels
confirm_ddpg853,0,False,994327673.765625,1.2752875583911418,1.2724113848591823,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
confirm_ddpg853,0,True,994327673.765625,2.0110703480878116,1.1575223738900862,0.44967760346933017,-1.0800451532987114,1.529722756768041,0.017781250000000005,1.921875
confirm_ddpg853,10,False,994327673.765625,0.08409029966031767,-1.0328984441059408,10.564382806933759,10.564382806933757,0.0,0.0,0.0
confirm_ddpg853,10,True,994327673.765625,0.06445719772352682,-0.8192073085725746,10.564382806933759,-0.6459538377209871,11.210336644654745,0.015343750000000005,1.359375
confirm_ddpg853,20,False,994327673.765625,-0.8856955254079253,-5.098300603724796,20.522250918094027,20.522250918094027,0.0,0.0,0.0
confirm_ddpg853,20,True,994327673.765625,-1.5872455126830074,-3.1760442825376725,20.522250918094027,4.60803063641278,15.914220281681247,0.014531250000000004,1.203125
confirm_sac853,0,False,994327673.765625,1.2752875583911418,1.2724113848591823,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
confirm_sac853,0,True,994327673.765625,1.4437540846617118,1.2854930867704208,0.44967760346933017,1.443956857885243,-0.9942792544159137,0.075296875,4.484375
confirm_sac853,10,False,994327673.765625,0.08409029966031767,-1.0328984441059408,10.564382806933759,10.564382806933757,0.0,0.0,0.0
confirm_sac853,10,True,994327673.765625,0.2641350507530612,-0.934084778082325,10.564382806933759,9.503818915124947,1.0605638918088098,0.054859375,4.0625
confirm_sac853,20,False,994327673.765625,-0.8856955254079253,-5.098300603724796,20.522250918094027,20.522250918094027,0.0,0.0,0.0
confirm_sac853,20,True,994327673.765625,-0.7654055919585867,-3.6980398419573155,20.522250918094027,15.765719805314703,4.7565311127793235,0.01428125,1.09375
confirm_td3853,0,False,994327673.765625,1.2752875583911418,1.2724113848591823,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
confirm_td3853,0,True,994327673.765625,1.2956068934404383,1.2485910933315436,0.44967760346933017,-0.27811367529691167,0.7277912787662412,0.015359375000000005,0.953125
confirm_td3853,10,False,994327673.765625,0.08409029966031767,-1.0328984441059408,10.564382806933759,10.564382806933757,0.0,0.0,0.0
confirm_td3853,10,True,994327673.765625,-0.047216420786103885,-0.45335217477657813,10.564382806933759,2.570715650315293,7.993667156618465,0.016999999999999998,0.859375
confirm_td3853,20,False,994327673.765625,-0.8856955254079253,-5.098300603724796,20.522250918094027,20.522250918094027,0.0,0.0,0.0
confirm_td3853,20,True,994327673.765625,-1.3184078398392196,-2.5829963902248685,20.522250918094027,7.029194676082302,13.493056242011725,0.013765625,0.734375
first_mature_dqn853,0,False,994327673.765625,1.2752875583911418,1.2724113848591823,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
first_mature_dqn853,0,True,994327673.765625,1.0972630972493722,0.6326391475478803,0.44967760346933017,-0.42169725237561395,0.8713748558449435,0.20021875000000003,11.734375
first_mature_dqn853,10,False,994327673.765625,0.08409029966031767,-1.0328984441059408,10.564382806933759,10.564382806933757,0.0,0.0,0.0
first_mature_dqn853,10,True,994327673.765625,-0.021231431257149824,-1.6157656430173022,10.564382806933759,10.34068707450426,0.22369573242949903,0.15596875000000002,9.6875
first_mature_dqn853,20,False,994327673.765625,-0.8856955254079253,-5.098300603724796,20.522250918094027,20.522250918094027,0.0,0.0,0.0
first_mature_dqn853,20,True,994327673.765625,-1.1175736039369841,-5.364016663927407,20.522250918094027,19.930442554728003,0.5918083633660244,0.12809375,7.75
