run,reserve,enabled,env_seed,pnl,objective,opening_inventory,final_inventory,auction_quantity,cancellation_fees,cancels
dqn_clip10881,0,False,994327673.765625,1.2752875583911418,1.2724113848591823,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
dqn_clip10881,0,True,994327673.765625,1.224858428883469,1.194855256463037,0.44967760346933017,-0.48522288082548953,0.9349004842948191,0.10604687500000001,9.484375
dqn_clip10881,10,False,994327673.765625,0.08409029966031767,-1.0328984441059408,10.564382806933759,10.564382806933757,0.0,0.0,0.0
dqn_clip10881,10,True,994327673.765625,-0.15866486950934672,-1.1548854235558954,10.564382806933759,9.858083570704917,0.706299236228841,0.20217187500000003,15.1875
dqn_clip10881,20,False,994327673.765625,-0.8856955254079253,-5.098300603724796,20.522250918094027,20.522250918094027,0.0,0.0,0.0
dqn_clip10881,20,True,994327673.765625,-1.1214867693984631,-5.166589367921159,20.522250918094027,20.032176788274658,0.4900741298193704,0.18364062500000003,12.734375
dqn_clip10_msft887,0,False,994327673.765625,-5.229128863039108,-5.232005036571068,0.44967760346933017,0.4496776034693295,0.0,0.0,0.0
dqn_clip10_msft887,0,True,994327673.765625,-5.419620390654709,-5.437723588041739,0.44967760346933017,0.642286810433971,-0.1926092069646415,0.19554687500000004,10.078125
dqn_clip10_msft887,10,False,994327673.765625,-3.2965604423764603,-4.413549186142719,10.564382806933759,10.564382806933757,0.0,0.0,0.0
dqn_clip10_msft887,10,True,994327673.765625,-3.8288814899834986,-4.520145824744045,10.564382806933759,7.453137703172886,3.111245103760872,0.08776562500000001,6.296875
dqn_clip10_msft887,20,False,994327673.765625,-1.2643002386101898,-5.476905316927061,20.522250918094027,20.522250918094027,0.0,0.0,0.0
dqn_clip10_msft887,20,True,994327673.765625,-2.2617349469023664,-4.150251980051377,20.522250918094027,12.971059567536118,7.551191350557907,0.033406250000000005,2.71875
