algorithm,n,selected_improves,last_improves,selected_to_last_mean,selected_to_last_max,regress_gt2,median_episodes,max_clob_loss,max_auction_loss
ddpg,60,58,56,0.3304002160160311,2.1672701417759925,1,550.0,16.74472530909947,3.6976430535316474
dqn,60,60,60,0.422636763961246,1.3999664335638655,0,550.0,17.132749598366875,4.669117329518
sac,60,59,55,0.44981661993167843,1.761050344121733,0,600.0,17.75269821711949,3.153588448961576
td3,60,57,55,0.52834215010033,2.993457022918647,3,650.0,35.490472248622346,6.39243266582489
