run,setting,market,algorithm,seed,episodes,selected_episode,initial,selected,last,selected_gain,last_gain,selected_to_last,clob_max_loss,auction_max_loss,clob_last_loss,auction_last_loss
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed123,historical_sp500_midquotes,CAT,ddpg,123,250,99,7.342569890874888,12.445682566809388,10.79658500168046,5.103112675934501,3.4540151108055728,1.649097565128928,8.222857464443553,0.2598801727096239,1.8348103993299918,0.2088758107498288
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed1618,historical_sp500_midquotes,CAT,ddpg,1618,350,150,8.301538328974353,7.727517673658989,7.566067714702,-0.5740206553153637,-0.7354706142723524,0.16144995895698866,7.3602795260293155,0.5156664580106735,1.7916072715934286,0.07696104191554083
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed2024,historical_sp500_midquotes,CAT,ddpg,2024,500,300,5.662368575519183,9.367882624743473,8.684523820620928,3.7055140492242895,3.022155245101745,0.6833588041225447,7.937016300252966,0.6720940917730331,1.2393254539058338,0.15761301450803872
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed2718,historical_sp500_midquotes,CAT,ddpg,2718,600,400,4.943357243570999,5.3179147538765985,5.175159183029504,0.3745575103055998,0.23180193945850558,0.14275557084709423,9.197136884511904,0.2274608356257279,1.3041371370754036,0.041387110579137965
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed314,historical_sp500_midquotes,CAT,ddpg,314,800,750,5.913564821642235,10.052788866180082,9.815853038437941,4.139224044537847,3.9022882167957063,0.2369358277421405,8.82465474172072,0.420867488036553,1.3052080454606516,0.07512217194214457
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed42,historical_sp500_midquotes,CAT,ddpg,42,600,400,5.371335229588056,11.095538372312033,11.071547603439749,5.724203142723977,5.700212373851692,0.023990768872284463,8.919763856463963,0.7178207630912463,1.543442100433076,0.15771456336416298
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed577,historical_sp500_midquotes,CAT,ddpg,577,500,300,2.4516487621472054,4.607291629248001,4.121560076247247,2.155642867100796,1.669911314100042,0.485731553000754,8.983085510058281,0.617474948366483,1.7254864620851222,0.12199533217151953
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed7,historical_sp500_midquotes,CAT,ddpg,7,300,100,5.158960762046492,8.462638210473536,8.374386029191463,3.3036774484270435,3.215425267144971,0.08825218128207268,7.5780151685078945,0.3230290096253156,0.9939325507024388,0.09885394319271043
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed811,historical_sp500_midquotes,CAT,ddpg,811,600,400,7.891560579094646,11.411115251799195,10.976657881500396,3.5195546727045492,3.0850973024057495,0.4344573702987997,8.792625508657316,0.6163066151241462,1.6235541399326028,0.14803685533752042
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_CAT_seed99,historical_sp500_midquotes,CAT,ddpg,99,500,300,5.464909470349124,8.212156172519855,7.752838317300743,2.747246702170731,2.287928846951619,0.45931785521911195,9.322831360499064,0.1385050576180219,1.6360382427381226,0.07072186071922378
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/historical_sp500_midquotes/ddpg_GOOGL_seed123,historical_sp500_midquotes,GOOGL,ddpg,123,300,100,2.7299226187802117,6.723866877341925,6.100696660886032,3.993944258561713,3.3707740421058205,0.6231702164558923,8.222857464443553,0.2598801727096239,1.760384274420207,0.19905198464294271
