policy,metric,mean,ci_low,ci_high
as,objective_bps,3.391020775256623,2.7072275103994223,4.057197881160759
as,pnl_bps,8.43759359262737,8.130541974530496,8.70126309921803
as,gap_dqn_bps,-2.578030080990529,-3.2343299116400486,-1.9519769486096497
as,gap_as_bps,0.0,0.0,0.0
as,auction_value_bps,0.021589240343376677,0.013886257022700872,0.030456317463763063
as,auction_cash_bps,0.0081063391943306,0.0056003746171166754,0.01120529172708891
as,auction_risk_relief_bps,0.013482901149046031,0.007956073033799005,0.02023093708515508
ddpg,objective_bps,6.460074785614242,5.998701344552677,6.895334050950009
ddpg,pnl_bps,7.543852250218582,6.97922728508697,8.076426086296957
ddpg,gap_dqn_bps,0.49102392936709005,-0.004351109713309264,0.9407474068091638
ddpg,gap_as_bps,3.069054010357619,2.3794985122555565,3.701704930051031
ddpg,auction_value_bps,1.4830816238009021,1.0744514756410086,1.8835957171838336
ddpg,auction_cash_bps,0.25383049389219786,0.09187488042169305,0.41264341113214187
ddpg,auction_risk_relief_bps,1.2292511299087043,0.7192916090131225,1.7247343218589097
dqn,objective_bps,5.969050856247151,5.525367908229939,6.400724585138155
dqn,pnl_bps,7.286762284901506,6.751419006951823,7.775003157862688
dqn,gap_dqn_bps,0.0,0.0,0.0
dqn,gap_as_bps,2.578030080990529,1.951887453613176,3.2303913801298654
dqn,auction_value_bps,0.39299869235524,0.23367549929233894,0.5839871126469341
dqn,auction_cash_bps,0.0077938706094241835,-0.03705977552774188,0.04981595261567192
dqn,auction_risk_relief_bps,0.38520482174581583,0.20679076393996823,0.587152235164185
sac,objective_bps,6.307958562764324,5.783858018772318,6.782985075643898
sac,pnl_bps,7.292792200577201,6.726445253314045,7.859101267495835
sac,gap_dqn_bps,0.3389077065171726,-0.15667522024720096,0.8081799494043115
sac,gap_as_bps,2.916937787507701,1.9654171609273348,3.8547222155085397
sac,auction_value_bps,1.5392938872294912,0.9779439486667838,2.097163216858452
sac,auction_cash_bps,0.2730932866866953,0.13987590994798083,0.41808038109416484
sac,auction_risk_relief_bps,1.2662006005427962,0.6779331258282707,1.840946961205767
td3,objective_bps,6.480962141600503,6.130721650425626,6.816846707878454
td3,pnl_bps,7.374222656721995,6.880165966124463,7.847184062669597
td3,gap_dqn_bps,0.5119112853533518,-0.07781561245160731,1.0455258264069087
td3,gap_as_bps,3.0899413663438806,2.1968982529081273,3.8866824476963995
td3,auction_value_bps,1.3495785874898512,0.9278830848832096,1.7322489571292408
td3,auction_cash_bps,0.145801039697399,0.00874738873026498,0.31221446260464136
td3,auction_risk_relief_bps,1.203777547792452,0.7789882030872062,1.6114062650523622
twap,objective_bps,-2.5306202047324344,-2.790389651338199,-2.2677925300291166
twap,pnl_bps,3.455774169612755,3.1223998066081555,3.7697004751113123
twap,gap_dqn_bps,-8.499671060979585,-8.80342668775185,-8.17500135589933
twap,gap_as_bps,-5.921640979989056,-6.617269630169653,-5.170852654836614
twap,auction_value_bps,0.051861031950935846,0.04143485725093735,0.06451627806631981
twap,auction_cash_bps,0.012845732983986401,0.00980673135985815,0.01643011186579932
twap,auction_risk_relief_bps,0.039015298966949385,0.03131958197571812,0.04830511124204001
