contrast_key,algorithm,mean,median,minimum,maximum,positive_seed_pairs
auction_access,ddpg,0.5558287301580231,0.509463289509039,-0.1399463561886469,1.7896621464378717,9
auction_access,dqn,0.2170203228676443,0.40571744683493627,-0.979932269743515,1.45264590673235,6
auction_access,sac,0.6095077601342199,0.5880332409330767,-1.062610049265433,1.403866825705606,9
auction_access,td3,0.47909104622161874,0.48848877355102627,-0.1902401230851653,1.393616967154092,8
auction_credit,ddpg,1.6886225667290393,1.6597948878736264,-0.3105949521192268,3.5761619774245177,9
auction_credit,dqn,1.1825399433577513,1.142742910906045,0.2252134181333892,4.079139516561051,10
auction_credit,sac,0.8473873210416318,0.47229610299761854,-0.2713153311202356,2.5015048018633523,8
auction_credit,td3,2.2977018675258156,1.8113766822460935,-1.177182416828536,10.874198557162684,8
combined_preferences,ddpg,-0.004391127931254074,0.019981771948536148,-0.493680283106801,0.539817499520954,6
combined_preferences,dqn,-0.129458786993063,-0.07891960404271045,-1.100416860639619,0.7709860569835827,5
combined_preferences,sac,0.021781119790097968,0.025883321290587097,-0.7064198717737493,0.5452446024983433,5
combined_preferences,td3,0.3405536017650471,-0.07538185004181935,-0.3669036204310602,3.2390318360827064,5
h_anchor,ddpg,-0.549119951829233,-0.70661519160782,-1.217481859823136,0.9374445273907878,2
h_anchor,dqn,-0.5055728844243905,-0.38599452761207126,-1.471979171655638,1.0729412460929555,3
h_anchor,sac,-0.1997093527051184,-0.3853357758548063,-0.7204169108766914,1.4729670178625949,2
h_anchor,td3,-0.35008809518558526,-0.1700448611951666,-1.2309658988543573,0.1770586407592793,3
h_feature,ddpg,0.7180875844920107,0.5090216956809775,-0.5896506324502502,2.7557093602383858,8
h_feature,dqn,0.1698717774641691,0.3479931854437105,-1.2100863938293838,0.9231751012614632,7
h_feature,sac,-0.1716108678263049,-0.16522217375845275,-1.604116613354218,0.9194920470751552,4
h_feature,td3,0.15444706626295962,0.3174737476222771,-2.7178308691796325,1.822882781912228,7
