phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.028348880992267667,0.10310000000000041,0.0028466947522854456,0.017921000000000197,ddpg,GOOGL,123
clob,0.07789297448356075,0.09686288482073914,0.013676039115040159,0.017762551886264463,ddpg,GOOGL,123
auction,0.025018639012321032,0.1024000000000009,0.0014294642501854874,0.015230000000000143,ddpg,GOOGL,1618
clob,0.07623147459872591,0.094883508406823,0.010814947970855577,0.015246893561268168,ddpg,GOOGL,1618
auction,0.027940933436724852,0.11340000000000114,0.001844531000038971,0.02112400000000025,ddpg,GOOGL,2024
clob,0.0937314898222735,0.11165884336453381,0.01847348768550755,0.022633788199735362,ddpg,GOOGL,2024
auction,0.025693981141125248,0.12090000000000042,0.0016564032477369226,0.022977000000000084,ddpg,GOOGL,2718
clob,0.08734783372084826,0.10588404986536248,0.013712443804408054,0.018727020588564326,ddpg,GOOGL,2718
auction,0.023266208415810237,0.0914000000000011,0.0011625842334941595,0.014750000000000329,ddpg,GOOGL,314
clob,0.07482802389005705,0.09517496276117124,0.01006137398681533,0.01523470262362108,ddpg,GOOGL,314
auction,0.024361043481703076,0.09020000000000121,0.0013977018061448229,0.012236000000000212,ddpg,GOOGL,42
clob,0.08108399381699806,0.09746034258093546,0.013615311369795054,0.017659095113580204,ddpg,GOOGL,42
auction,0.026875534104384573,0.09770000000000092,0.0025209116125697794,0.015543000000000156,ddpg,GOOGL,577
clob,0.07469863184579768,0.09283387078264642,0.010503673026094713,0.014642591053559584,ddpg,GOOGL,577
auction,0.02403854631399582,0.1021000000000009,0.0012998059969197453,0.015697000000000245,ddpg,GOOGL,7
clob,0.07388102373117335,0.09237335785874945,0.01004872895720833,0.01436450358351031,ddpg,GOOGL,7
auction,0.02674982455436097,0.09850000000000075,0.0026146982053624136,0.017241000000000218,ddpg,GOOGL,811
clob,0.08423895768671834,0.10302428909341098,0.015147657700558013,0.01969212754293973,ddpg,GOOGL,811
auction,0.02759861536853371,0.10160000000000079,0.0016456139144135282,0.017288000000000196,ddpg,GOOGL,99
clob,0.0783722086958862,0.09597636535700235,0.010978438660226903,0.01529032438678129,ddpg,GOOGL,99
auction,0.033994256987910906,0.14820000000000147,0.00343213256736342,0.029178000000000676,ddpg,JPM,123
clob,0.11309746623881424,0.1296350041122065,0.024288567590361628,0.028366814499324502,ddpg,JPM,123
auction,0.032648201258075375,0.13770000000000135,0.002244319726645029,0.02541700000000055,ddpg,JPM,1618
clob,0.1150161855738053,0.13182319335640805,0.02370226846903691,0.027698368049716558,ddpg,JPM,1618
auction,0.03870857854194982,0.13750000000000182,0.004093139200535434,0.026959000000000722,ddpg,JPM,2024
clob,0.12761697489999332,0.1418053589898375,0.03153735919407036,0.03431675391128552,ddpg,JPM,2024
auction,0.03536912537489477,0.15730000000000172,0.0024816781336790394,0.03403900000000073,ddpg,JPM,2718
clob,0.11391082825822885,0.13660199200476333,0.023019302308089736,0.029080561787105844,ddpg,JPM,2718
auction,0.03148924924911639,0.1435000000000009,0.0020252189511762706,0.02758700000000038,ddpg,JPM,314
clob,0.1089202677918939,0.1292028766479661,0.02176647305362368,0.02658916002468571,ddpg,JPM,314
auction,0.03216232082179362,0.1445000000000014,0.0022283593421224992,0.025549000000000682,ddpg,JPM,42
clob,0.11676054090003245,0.13360957108378899,0.02461947683959953,0.02900820469428514,ddpg,JPM,42
auction,0.0346169273861807,0.14330000000000137,0.0039051736188757437,0.02763100000000061,ddpg,JPM,577
clob,0.11473785050472099,0.1300143141131112,0.02452871259122363,0.028015886940261733,ddpg,JPM,577
auction,0.03434894387818253,0.14640000000000125,0.0032631345039004023,0.02977600000000057,ddpg,JPM,7
clob,0.11207403674943733,0.13279888919546814,0.021936503876696208,0.027439813138325452,ddpg,JPM,7
auction,0.03404703794472804,0.1519000000000015,0.002596201499523897,0.030367000000000657,ddpg,JPM,811
clob,0.1270957378073702,0.14414161768357878,0.029523715159417926,0.03356852971674371,ddpg,JPM,811
auction,0.03657708688401109,0.15450000000000141,0.002956047889755376,0.03058500000000068,ddpg,JPM,99
clob,0.11445649433666252,0.13389007735008338,0.023247992247969317,0.02868810770684661,ddpg,JPM,99
auction,0.03871583415066164,0.17149999999999987,0.003494181597286903,0.03932499999999956,ddpg,MSFT,123
clob,0.12014464225673546,0.141476768789844,0.031438729784095724,0.03936387855043505,ddpg,MSFT,123
auction,0.03832680695543005,0.1679999999999998,0.003838651632682708,0.03722399999999959,ddpg,MSFT,1618
clob,0.1285177260192069,0.1492976324807233,0.0339919349222438,0.04189934772291476,ddpg,MSFT,1618
auction,0.03596277516051138,0.1562000000000006,0.0034417905279272775,0.03495799999999994,ddpg,MSFT,2024
clob,0.12271428248648077,0.14353562979476503,0.032410426590955194,0.04012931739809851,ddpg,MSFT,2024
auction,0.043406188028900464,0.1597000000000025,0.0050004162809788,0.03442700000000062,ddpg,MSFT,2718
clob,0.13416685797901526,0.157402033006951,0.03732623794903888,0.047446423250056824,ddpg,MSFT,2718
auction,0.042202147582465745,0.14560000000000056,0.0050835704525880755,0.03079799999999979,ddpg,MSFT,314
clob,0.12148240610084059,0.14340507591547882,0.030780356952844246,0.0395613632184214,ddpg,MSFT,314
auction,0.04240419020386381,0.15929999999999975,0.004155573503935313,0.034640999999999346,ddpg,MSFT,42
clob,0.1197817186676411,0.1417405034104069,0.030296740059712675,0.03912244046931171,ddpg,MSFT,42
auction,0.035846716689435246,0.16990000000000005,0.004284120603105896,0.039888999999999494,ddpg,MSFT,577
clob,0.11643509285058157,0.139862574379703,0.030341686956064418,0.03908647531799505,ddpg,MSFT,577
auction,0.04873233940821635,0.14340000000000014,0.0061640432297404455,0.029957999999999728,ddpg,MSFT,7
clob,0.14011048890553643,0.16063746538838028,0.04321726720492694,0.05253265640592499,ddpg,MSFT,7
