market,policy,mean,ci_low,ci_high
Synthetic,ddpg,0.5209099019087278,0.08209287220540594,1.0509644055680847
Synthetic,td3,0.4148883177176617,0.02063535961372177,0.8011502633314831
Synthetic,sac,0.3005873264803086,0.03227555750147524,0.5358475352296799
Historical fixed-ticker mean,ddpg,1.0900829314456622,0.7344409268318143,1.4580593910777069
Historical fixed-ticker mean,td3,0.9565798951346111,0.5708469383655314,1.325616498665039
Historical fixed-ticker mean,sac,1.1462951948742517,0.6912121364517342,1.609296228015308
