policy,env_seed,pnl,objective,inventory,auction_qty,inventory_at_auction_open,clob_qty,cancels
dqn,176266017,-35.155798062721324,-39.800036287125245,21.550494714516237,-1.5274999999999714,20.022994714516287,79.97700528548371,3
dqn,2084833182,14.652831765919473,14.459800781624006,-4.393529154284366,6.264663680155568,1.8711345258711987,98.1288654741288,0
dqn,1325506757,15.867587130873144,15.8186167359186,2.2129255512679213,-1.4065480684998226,0.8063774827680561,99.19362251723194,7
dqn,972599418,-22.65754018653388,-28.12281468421417,23.37792654980396,6.852631330123815,30.23055787992776,69.76944212007224,0
dqn,224132955,15.484272277982075,15.472382458083443,1.090404507448154,-0.47999999999998266,0.6104045074482087,99.38959549255179,6
dqn,1923245000,22.020082632868593,21.739690717570884,5.295204578651421,0.10248173545742835,5.397686314108867,94.60231368589113,5
dqn,2024532515,3.4800320954531783,3.4491341995469162,1.7577797332504952,-1.2899999999993703,0.46777973325113464,99.53222026674887,1
dqn,1857570429,18.801855440491636,16.893055468211113,13.815932731019373,2.658436975462525,16.474369706481895,83.5256302935181,0
dqn,1290956183,4.20118157735694,4.020077799083212,4.255628957906554,-0.9917389449819607,3.2638900129246053,96.7361099870754,7
dqn,1342706747,10.887961660577261,10.879052404795308,0.9438885411929149,-0.022499999999986642,0.9213885411929255,99.07861145880707,11
dqn,1229143134,-30.26877210935869,-30.270717580723414,0.4410749782887007,0.39378056062586775,0.8348555389145389,99.16514446108546,4
dqn,227557600,18.56263626933914,18.364463921654583,4.451655284100033,-3.769604497838563,0.6820507862614846,99.31794921373852,1
dqn,276488112,12.247306421657413,11.544422074816115,-8.383819814626847,9.287499999999813,0.9036801853729486,99.09631981462705,0
dqn,553701396,11.377247359310786,7.3493673388614935,20.0695790201222,1.81749999999969,21.887079020121888,78.11292097987811,0
dqn,263614829,19.00531755729571,18.059885931497867,9.723330837721425,1.2606787933119377,10.984009631033345,89.01599036896665,0
dqn,1331567148,14.142243119258842,13.771327331173792,6.09028560976453,-0.3629322582567419,5.727353351507787,94.27264664849221,1
dqn,2044724560,21.883263069707027,16.189776129351955,23.86102877152423,-0.8030276434135055,23.05800112811073,76.94199887188927,0
dqn,1368287966,20.391876247851542,20.13554291716718,5.062937197757479,-0.19107798429710265,4.871859213460382,95.12814078653962,0
dqn,58857292,11.18711498868106,11.15238824687693,1.8635112504122522,-1.0524999999999771,0.811011250412264,99.18898874958774,0
