algo,headline_bps,economic_dense_bps,preference_gap,ci_low,ci_high,headline_wins,median_preference_gap,conditioning_gain,conditioning_ci_low,conditioning_ci_high,selected_improves_initial,final_improves_initial,mean_auction_bps,mean_pnl_bps,mean_penalty_bps,mean_episodes,mean_late_clob_loss,mean_late_auction_loss
ddpg,3.6923365056162623,3.748261989045595,-0.055925483429332346,-0.44022684841998866,0.4853699494076071,2,-0.1457996200572249,3.119667829516773,2.2637634586465905,4.086287428112187,10,10,0.6012365157816965,4.442280425973796,0.6940184369282024,575.0,2.5645178702271596,0.11228451205960781
dqn,3.2703321652262467,3.328921040363133,-0.05858887513688652,-0.3961680008244792,0.27610260199501985,5,-0.043295364239164025,3.6267511242749277,1.2502490648020181,7.152306254706134,10,10,0.14130935725892493,4.452146015981631,1.1232249756184975,455.0,2.414291142027678,1.507002033588166
sac,3.9201538561512015,4.120335188384707,-0.20018133223350473,-0.5643042739097128,0.13065596326019163,5,-0.08696741794952936,5.565251282943516,4.500439085231507,6.684433156199854,10,9,0.4629576601520326,4.743636334236909,0.6233011458522025,770.0,2.476317793641366,0.12652631161889677
td3,4.067564726851015,3.879151081928152,0.18841364492286275,-0.11550831802160813,0.49328750045182346,7,0.15548680403138046,4.488881597353278,3.703865463128651,5.356949240320174,9,9,0.4918639436964032,4.444550125682957,0.5653990437548042,620.0,5.747462175307964,0.22424251098340994
