algo,seed,headline_bps,economic_dense_bps,difference_bps,pnl_bps,penalty_bps,auction_bps,open_inventory,close_inventory,episodes,selected_episode,initial_val,selected_val,final_val,late_clob_loss,late_auction_loss
ddpg,7,2.945413677227973,2.9635019664918376,-0.0180882892638643,3.293670773550032,0.330168807058195,0.46154004999613946,2.5818128895828876,3.732271973604264,450,249,1.6494915464397517,3.713629132904903,3.6403349952007127,2.2643267523795516,0.0872576711699366
ddpg,42,3.2775682664501824,3.5021574107470435,-0.22458914429686,4.765813705668522,1.2636562949214794,0.8280826711301745,9.10499483006869,6.800449010236511,800,799,-1.6596669303803804,-0.10447933025945377,-0.1044793302594537,1.9916575254640567,0.15456665909538658
ddpg,99,9.535908474270345,7.487823652276022,2.0480848219943244,8.087120393451803,0.5992967411757824,0.17056854604929253,4.296400111936223,3.5457835082874367,250,98,1.4690296013522501,2.5741777818527183,2.184464422236107,2.4191295070307595,0.0870338205248117
ddpg,123,5.005219839920098,5.8080225109775085,-0.802802671057411,6.803364585109946,0.9953420741324375,1.1663124559341744,7.656525088495138,5.304883917921497,350,149,5.793931433792526,7.312811282104738,6.703135064387801,3.267307467238848,0.22845479672153785
ddpg,314,6.557966068489432,6.519078177301953,0.03888789118747807,7.4751928581662295,0.9561146808642746,0.5099685228641229,5.9188521856643135,5.584884012461125,700,499,6.85021476967743,8.498672921550293,8.375147711783697,2.387493066151409,0.10854221420983465
ddpg,577,2.9719333704747,3.835477516222887,-0.8635441457481872,4.580385537915508,0.7449080216926212,0.3780161239341014,5.041855647119857,5.287660567344566,750,549,6.590597616781886,8.889605627008974,8.772373386522691,2.0630031098007113,0.13427866743877526
ddpg,811,0.8810071621123717,0.9610057738639074,-0.0799986117515355,1.4695853472444347,0.5085795733805265,0.37508616738039513,3.7981774388714302,4.148709291117251,800,649,0.2240032231999316,1.9565161143202279,1.7748522163746132,2.4404125174488684,0.06857271827757355
ddpg,1618,5.483804244365124,5.695404872728041,-0.2116006283629143,6.133603073433778,0.4381982007057389,0.4734237620711108,3.9925755819577615,4.49682391753322,800,799,-0.7521214658552153,3.7654041701604264,3.7654041701604264,2.1980318215915133,0.09780273127059136
ddpg,2024,2.5369727383720715,2.9398580048424106,-0.4028852664703386,3.57115673109732,0.6312987262549093,1.686739841245804,9.987895223748266,4.492484025350465,350,149,-0.8499613727082596,1.8495882634937806,1.452286790979104,1.6185593758891157,0.13416559106359877
ddpg,2718,-2.272428785519679,-2.2297099949956634,-0.04271879052401511,-1.7570887458996052,0.4726212490960592,-0.03737298278834991,1.3492961612429235,3.559320608611371,500,299,3.6586472918860466,4.388083156792728,4.037162002897546,4.995257559276762,0.0221702508240317
dqn,7,2.8488503965028524,2.2793839374963007,0.5694664590065521,3.1170205120600296,0.8376365745637284,0.07408291915605147,4.691683488522164,5.567636556048,550,349,-93.51091443057584,4.355984809272011,3.73077188299964,2.2240840927817116,6.698262738591682
dqn,42,4.381946094012426,3.8856764590017945,0.4962696350106327,4.523614179290471,0.6379377202886775,0.04793962957611633,4.811604224697783,5.086403601688784,400,199,-59.045756160905334,0.09879658047531681,-0.7400087054387745,2.577118053179025,0.24279830697923893
dqn,99,6.89528659519842,7.337565288907054,-0.4422786937086338,9.709586775239826,2.372021486332771,-0.08382889755810609,10.690862287687917,10.657882276181772,550,349,-58.21024539796964,3.130866027016323,2.538994901690816,1.9395081082064853,0.46907477875550585
dqn,123,5.228940115761717,5.4420587085485215,-0.2131185927868082,6.741342264558773,1.2992835560102498,-0.13550290260968148,5.62840265845264,7.335776384550725,350,149,-4.945741770812002,7.717433520064516,6.111023612865816,2.229594779014587,0.37128291515012574
dqn,314,6.445495534360921,6.318967670052441,0.12652786430848015,8.282787128298523,1.963819458246081,1.0273593042939653,12.280798044377205,10.203347887994006,650,449,2.9902474832682104,9.259687214116713,9.199829762407914,1.716034404595359,0.2624558760474125
dqn,577,3.8736736013281323,3.098582137742386,0.7750914635857454,4.3033200924343875,1.2047379546920032,0.2522557732476454,8.098088435155265,7.23774959345632,450,249,-38.2070977389736,8.188396752127314,7.433752498712822,1.8428617910792426,0.17420530995974937
dqn,811,1.6811670956278602,1.5041355461982748,0.17703154942958643,2.228365211473755,0.7242296652754808,0.05184721930346937,5.688181540972855,5.631603554022374,600,399,-8.030590344308296,1.9300519812339891,1.302058741542973,1.8984230613542925,0.0926233862837155
dqn,1618,2.8892367123125444,3.5348997201882835,-0.6456630078757386,3.9831324043771046,0.44823268418882173,-0.2845944897506341,2.5118581831181586,3.5151408179410875,250,98,-31.82037165950513,2.0546641358812296,-0.0649899975668752,4.029278221815527,4.5876115009188645
