Datetime,CAT,PG,GOOGL,JPM,MSFT
2026-08-03 13:30:00-04:00,100.0,100.0,100.00000000000001,100.0,100.0
2026-08-03 13:31:00-04:00,99.92120916193183,100.07965197045363,100.07507433523827,100.008537417861,99.95707539528097
2026-08-03 13:32:00-04:00,100.01091234611742,99.95844612606824,100.06138373450757,99.997151299025,99.97547165444627
2026-08-03 13:33:00-04:00,100.12181877367425,99.96191247160476,100.05335343568517,99.98718953067652,99.93560997385411
2026-08-03 13:34:00-04:00,100.2236328125,99.95436682918684,100.01334853932042,100.05407320814103,99.94787414663098
2026-08-03 13:35:00-04:00,100.23515181107955,99.98961153151706,100.00400700509192,100.06261062600204,99.9100585742132
2026-08-03 13:36:00-04:00,100.2630282315341,99.97576728562423,99.95196480481285,100.09107158056004,99.92028287695037
2026-08-03 13:37:00-04:00,100.36363636363636,99.97576728562423,99.9813250758623,100.07826111123656,99.94471141234925
2026-08-03 13:38:00-04:00,100.32363429214016,99.98961153151706,99.99466547086342,100.1024490143321,99.9734255462719
2026-08-03 13:39:00-04:00,100.32363429214016,100.06234137902428,100.00267133672794,100.12379690151658,100.00204610817437
2026-08-03 13:40:00-04:00,100.3672762784091,99.9965442225901,100.02936027104947,100.15225785607458,99.89268536913508
2026-08-03 13:41:00-04:00,100.30667021780303,100.00561167524357,100.00000000000001,100.20774672963917,99.86918007766852
2026-08-03 13:42:00-04:00,100.37363873106061,100.03116540544882,99.95196480481285,100.18213447605615,99.87020313175572
2026-08-03 13:43:00-04:00,100.38788026751894,100.05195291054133,99.9172700046268,100.17502140868262,99.9100585742132
2026-08-03 13:44:00-04:00,100.43394146543561,100.04502021946828,99.96264200740531,100.16933269179661,99.86918007766852
2026-08-03 13:45:00-04:00,100.52666311553031,100.11428372143897,99.94395893894831,100.16221962442309,99.87428910996977
2026-08-03 13:46:00-04:00,100.60363399621212,100.12467218992191,99.95729933394944,100.20057286681802,99.91619066060163
2026-08-03 13:47:00-04:00,100.55333362926136,100.16275971831715,99.97865373913436,100.21344413158914,99.94482993690814
2026-08-03 13:48:00-04:00,100.62545129024622,100.1828497270517,100.04537200277852,100.21344413158914,99.89677134734913
2026-08-03 13:49:00-04:00,100.65878758285984,100.19739146930249,100.08272999537321,100.19636929586713,99.94378816841692
2026-08-03 13:50:00-04:00,100.68605735085228,100.18353665528302,100.0467076711425,100.19537051351308,99.89575453139663
2026-08-03 13:51:00-04:00,100.67697236032197,100.16788525973548,100.07338846114472,100.19352059489214,99.92436885516443
2026-08-03 13:52:00-04:00,100.64363606770834,100.12467218992191,100.03603046855002,100.1707570422841,99.9264149633388
2026-08-03 13:53:00-04:00,100.67393909801136,100.10042890741951,99.99600113922739,100.21059543061415,99.89985922401473
2026-08-03 13:54:00-04:00,100.69096975615531,100.12120584438539,99.98398826827095,100.28885654185072,99.87326605588258
2026-08-03 13:55:00-04:00,100.7981844815341,100.10735103036592,99.94796594404022,100.2817434744772,99.82216325660075
2026-08-03 13:56:00-04:00,100.69818300189394,100.05195291054133,99.93328173635585,100.26751733973018,99.81398506203794
2026-08-03 13:57:00-04:00,100.81333599668561,100.05229109059367,99.8425458751181,100.27320605661619,99.83238755933792
2026-08-03 13:58:00-04:00,100.78666548295455,100.09350678447309,99.82653414338905,100.26466863875518,99.84873771032885
2026-08-03 13:59:00-04:00,100.85212476325758,100.08311831599015,99.8717676927396,100.24901815352067,99.73631404716268
2026-08-03 14:00:00-04:00,100.80485026041667,100.03809809652186,99.79718201665888,100.24332075157069,99.79763491104701
2026-08-03 14:01:00-04:00,100.73333185369319,100.01732115955599,99.79183934320301,100.23051896731116,99.74653211176516
2026-08-03 14:02:00-04:00,100.75030332623106,99.9965442225901,99.85055174098264,100.15937092344811,99.90188661778507
2026-08-03 14:03:00-04:00,100.72484611742425,100.04502021946828,99.83186867252564,100.15652222247311,99.93851694461404
2026-08-03 14:04:00-04:00,100.82302763967803,100.08657409340005,99.87190614616758,100.1531089923415,100.0081781945628
2026-08-03 14:05:00-04:00,100.86969549005683,100.0761856249171,99.8985869361698,100.15509787198563,100.02657445372812
2026-08-03 14:06:00-04:00,100.92484907670455,100.13506065840485,99.89592374376116,100.10529771530707,100.02003688858561
2026-08-03 14:07:00-04:00,101.01939068418561,100.16622606385367,99.81452941675191,100.06261062600204,99.97854081670782
2026-08-03 14:08:00-04:00,100.98862156723486,100.15583759537073,99.85855760684717,100.07968546172405,99.9713856762322
2026-08-03 14:09:00-04:00,101.01879142992425,100.20431359224891,99.79451067993095,100.1309099688901,99.96729345988346
2026-08-03 14:10:00-04:00,101.10666725852273,100.19046934635608,99.76251164943072,100.13375866986509,99.89753239977985
2026-08-03 14:11:00-04:00,101.05576023910986,100.20777993778543,99.71178068455774,100.10529771530707,99.98773582722313
2026-08-03 14:12:00-04:00,101.04363458806819,100.22510109734142,99.7358227151092,100.12379690151658,100.02555139964092
