run,k_star,mean_episode_deduction,execution_weighted_clipped_fraction,positive_gap_execution_fraction,gap_ticks_p95,gap_ticks_max
ddpg_paper_actor,100,192.86571191078113,0.0,0.23062148929890045,13.787204955471775,63.227002948043776
ddpg_paper_actor,1000,19.28657119107811,0.0,0.23062148929890045,13.787204955471775,63.227002948043776
ddpg_paper_actor,10000,1.9286571191078115,0.0,0.23062148929890045,13.787204955471775,63.227002948043776
ddpg_paper_actor_history,100,108.14106606117909,0.0,0.11575391680471143,6.176565370296442,41.32685645910783
ddpg_paper_actor_history,1000,10.81410660611791,0.0,0.11575391680471143,6.176565370296442,41.32685645910783
ddpg_paper_actor_history,10000,1.081410660611791,0.0,0.11575391680471143,6.176565370296442,41.32685645910783
td3_verified,100,195.30957129749638,0.0,0.2263149731882682,16.441175024708624,41.58719515524041
td3_verified,1000,19.530957129749638,0.0,0.2263149731882682,16.441175024708624,41.58719515524041
td3_verified,10000,1.9530957129749638,0.0,0.2263149731882682,16.441175024708624,41.58719515524041
td3_verified_history,100,104.09502381402838,0.0,0.11711989739546867,6.101952555724921,41.32685645910783
td3_verified_history,1000,10.409502381402838,0.0,0.11711989739546867,6.101952555724921,41.32685645910783
td3_verified_history,10000,1.0409502381402838,0.0,0.11711989739546867,6.101952555724921,41.32685645910783
