run,paths,objective,pnl,auction_value,auction_value_se,ci_low,ci_high,cancels,opening_abs_inventory,final_abs_inventory,price_edge,risk_relief,fees
controls_values853,64,0.599311023988,1.713437310786128,-0.28747105860534594,0.14290499235954854,-0.5675648436300611,-0.007377273580630839,12.21875,4.777808248206027,5.290932685553672,0.04634645663960064,-0.14969251524494662,0.184125
fee_fixed_paths853,512,3.0525018429504267,3.805262045152313,-0.11402169296765689,0.07582665892842907,-0.2626419444673779,0.0345985585320641,3.873046875,4.510042007447229,4.928502408824985,-0.21765010725531053,0.14974560178765361,0.0461171875
fee_fixed_paths929,512,2.6944462584930506,6.3332376765091265,0.05232090280112897,0.05136591951238155,-0.048356299443138864,0.1529981050453968,5.12109375,11.612154402952612,11.805158928816578,0.05285490325422329,0.08081170267190567,0.081345703125
fee_fixed_paths941,512,5.507727665501212,6.088670416913359,-0.08653267730032876,0.018497815245855,-0.12278839518220457,-0.05027695941845296,5.90234375,3.685947312715132,4.242556808399367,0.03670119575471524,-0.031353013680043985,0.091880859375
fixed_paths853,512,2.081852788653024,2.8650871999690035,-0.050249964335391105,0.08969808214816014,-0.22605820534578497,0.12555827667500274,4.08984375,4.516082883145659,5.043488314543129,-0.08566574507838307,0.09006617136799198,0.054650390625
fixed_paths881,512,3.17548239139943,5.625279578370742,0.27393171471406663,0.05482520895490335,0.16647430516245607,0.38138912426567717,2.646484375,10.026323684948641,9.545072225900054,0.004967152151050435,0.30427315631301616,0.03530859374999999
fixed_paths911,512,2.3559938203292767,3.397385852094503,-0.0018879910607877883,0.02639648594291174,-0.053625103508894795,0.049849121387319215,3.908203125,4.1293183634370045,4.327947393745205,0.034712717434917516,0.0249129633792947,0.061513671875
fixed_paths929,512,2.2757803998722816,4.365417737639885,-0.1379942099815137,0.04254886590509457,-0.22138998715549907,-0.054598432807528366,5.53125,8.213822638498819,8.606581339332681,-0.022018706531641348,-0.03986612844987238,0.076109375
old_fixed_paths853,512,1.1292171346343234,1.590402373586456,-0.17832012563866825,0.02541451208813411,-0.2281325693314111,-0.1285076819459254,10.07421875,2.8705855178034385,3.1824219400040468,0.00226282844038953,-0.031905219704057755,0.148677734375
old_fixed_paths881,512,3.3965485834511986,4.288033487642883,-0.008053669850553783,0.030049910665210573,-0.0669514947543665,0.05084415505325894,8.830078125,4.786487687061682,5.016477987989489,0.022517102628620684,0.07111868064582556,0.101689453125
one_fixed_paths853,512,-0.30664340047516014,1.5487082469292146,0.553892140318882,0.13576047926390541,0.2878016009616274,0.8199826796761367,6.45703125,8.312812117744707,7.8313180767832575,0.09096488544958595,0.528978036119296,0.06605078125
one_fixed_paths881,512,0.8914518816483664,2.136203028239605,-0.14806419835025975,0.09479546764956961,-0.3338633149434162,0.03773491824289671,3.375,6.117969061624889,6.847290401100049,-0.1514965483844904,0.05293430315923064,0.049501953125
one_fixed_paths929,512,0.8118895061665644,2.6323435053488398,0.43675105685582416,0.09027537173695876,0.259811328251385,0.6136907854602633,6.13671875,9.685335117085446,8.7588490399203,-0.09080631900524866,0.6040319852360728,0.076474609375
one_fixed_paths947,512,0.4098129006657739,2.170077994815866,0.8498735105631195,0.11809630154648768,0.6184047595320037,1.0813422615942354,3.572265625,8.634761723545154,8.000533595212918,0.2890484661372231,0.6190535600508964,0.058228515625
three_matched_paths853,512,-0.5268551762867063,0.334466338105339,-0.11650809646285373,0.10490683185776743,-0.3221254869040779,0.08910929397837042,3.908203125,4.537974856516756,5.1560181015364535,-0.11903636372242134,0.05218842350956762,0.049660156250000004
three_matched_paths929,512,-0.5417307615051163,2.08155049877142,-0.21958536377140503,0.0644581293595684,-0.3459232973161591,-0.09324743022665097,5.75,9.394615256778636,9.77987631273717,-0.04860639508946091,-0.0935551405569441,0.07742382812499998
values881_checked,64,8.748299944983588,9.634618352362251,-0.03522260299773003,0.0669121752411652,-0.1663704664704138,0.09592526047495376,8.84375,5.3370262892663405,5.545898748833325,0.02700062825987544,0.04588614374239456,0.10810937500000001
