run,paths,predicted_advantage,actual_shaped_advantage,actual_economic_advantage
controls_values853,64,0.158060999578125,-0.017532941574697404,-0.016264055637188836
fee_fixed_paths853,512,0.18492003552332031,-0.009180557281559667,-0.00994078223273013
fee_fixed_paths929,512,0.14938605903876953,-0.005565190907455471,-0.005926003163538461
fee_fixed_paths941,512,0.08460682561046876,-0.003849001788219494,-0.0039487199962300904
fixed_paths853,512,0.19320036079867187,0.005856876201313621,0.00518379890968917
fixed_paths881,512,0.053177750166738286,-0.006647590140998778,-0.006559241415398362
fixed_paths911,512,0.0542656370793457,-0.0008063313976139062,-0.00089705439077978
fixed_paths929,512,0.09126226752876954,-0.000970432303082437,-0.000874311516909839
old_fixed_paths853,512,0.06839214968,-0.009559258749173896,-0.009739149235341731
old_fixed_paths881,512,0.09313301844394531,-0.010261931512802034,-0.010505728841900697
one_fixed_paths853,512,0.28289217888789064,0.024270639657988088,0.023393101415803107
one_fixed_paths881,512,0.2029040346390625,-0.0012590464427010106,-0.0016768792833597292
one_fixed_paths929,512,0.15255919710789062,0.02524863244573086,0.023231963539485725
one_fixed_paths947,512,0.18854214949140624,0.04571006685515844,0.04418630651781286
three_matched_paths853,512,0.1739736913828125,0.007678595062028259,0.007140423318599501
three_matched_paths929,512,0.08648715070923829,5.204419014684641e-05,2.798003345363606e-05
values881_checked,64,0.10089673604312499,0.00377958141752227,0.002155280648412217
