market,policy,metric,mean,ci_low,ci_high,n_seeds
JPM,sac,gap_as_bps,2.574209897,1.821834493,3.339403233,10
JPM,sac,gap_twap_bps,7.978368255,7.388043453,8.486331095,10
JPM,td3,objective_bps,5.640568059,4.722131798,6.571646996,10
JPM,td3,pnl_bps,6.471264123,5.471993933,7.494882909,10
JPM,td3,gap_dqn_bps,0.8375705374,-0.01079447385,1.587556825,10
JPM,td3,gap_as_bps,2.421995962,1.367012482,3.364538326,10
JPM,td3,gap_twap_bps,7.82615432,7.018103793,8.547951611,10
JPM,twap,objective_bps,-2.185586261,-2.804441654,-1.616225267,10
JPM,twap,pnl_bps,3.792227171,3.050961179,4.477570842,10
JPM,twap,gap_dqn_bps,-6.988583783,-7.686761004,-6.282429083,10
JPM,twap,gap_as_bps,-5.404158358,-6.119012062,-4.601413344,10
JPM,twap,gap_twap_bps,0,0,0,10
MSFT,as,objective_bps,-5.661364133,-6.83696421,-4.49556104,10
MSFT,as,pnl_bps,-0.6141521579,-1.763415153,0.5985985037,10
MSFT,as,gap_dqn_bps,-3.297565723,-3.762529645,-2.687274711,10
MSFT,as,gap_as_bps,0,0,0,10
MSFT,as,gap_twap_bps,5.815158473,4.935910205,6.748649979,10
MSFT,ddpg,objective_bps,-2.490100538,-3.592952582,-1.3112829,10
MSFT,ddpg,pnl_bps,-0.915323047,-2.021522946,0.2621670394,10
MSFT,ddpg,gap_dqn_bps,-0.1263021282,-0.6558649751,0.3765897345,10
MSFT,ddpg,gap_as_bps,3.171263595,2.640106385,3.704834544,10
MSFT,ddpg,gap_twap_bps,8.986422068,8.231016207,9.76027529,10
MSFT,dqn,objective_bps,-2.36379841,-3.62570432,-1.122787989,10
MSFT,dqn,pnl_bps,-0.8736665042,-2.338086999,0.5221950225,10
MSFT,dqn,gap_dqn_bps,0,0,0,10
MSFT,dqn,gap_as_bps,3.297565723,2.68549333,3.760893234,10
MSFT,dqn,gap_twap_bps,9.112724196,8.289184088,9.973394177,10
MSFT,sac,objective_bps,-2.62727738,-4.333256284,-1.106695509,10
MSFT,sac,pnl_bps,-1.366021555,-3.061666196,0.2436536827,10
MSFT,sac,gap_dqn_bps,-0.2634789697,-1.394038386,0.8498863891,10
MSFT,sac,gap_as_bps,3.034086753,1.497193814,4.417286799,10
MSFT,sac,gap_twap_bps,8.849245227,7.823735767,9.885405829,10
MSFT,td3,objective_bps,-2.297042191,-3.825485014,-0.846516756,10
MSFT,td3,pnl_bps,-1.048619313,-2.650809836,0.4174908676,10
MSFT,td3,gap_dqn_bps,0.06675621925,-0.7680550632,0.7778270918,10
MSFT,td3,gap_as_bps,3.364321942,2.160107354,4.39606239,10
MSFT,td3,gap_twap_bps,9.179480415,8.227735206,10.13325286,10
MSFT,twap,objective_bps,-11.47652261,-13.03239803,-9.890366021,10
MSFT,twap,pnl_bps,-5.485925905,-6.985261801,-3.943584685,10
MSFT,twap,gap_dqn_bps,-9.112724196,-9.984701825,-8.306205767,10
MSFT,twap,gap_as_bps,-5.815158473,-6.749213499,-4.933412483,10
MSFT,twap,gap_twap_bps,0,0,0,10
PG,as,objective_bps,7.376729877,6.129739239,8.512041065,10
PG,as,pnl_bps,12.41981665,11.5124561,13.25892271,10
PG,as,gap_dqn_bps,-2.277773173,-2.777780636,-1.795455411,10
PG,as,gap_as_bps,0,0,0,10
PG,as,gap_twap_bps,5.586398117,4.94813403,6.1684788,10
PG,ddpg,objective_bps,10.15596766,9.208422611,11.04202862,10
PG,ddpg,pnl_bps,10.95205226,9.920714083,11.89214137,10
PG,ddpg,gap_dqn_bps,0.5014646117,0.06547156512,0.8669565323,10
PG,ddpg,gap_as_bps,2.779237785,1.994434305,3.493737989,10
PG,ddpg,gap_twap_bps,8.365635902,8.010349683,8.711255994,10
PG,dqn,objective_bps,9.65450305,8.573863483,10.65024879,10
PG,dqn,pnl_bps,10.54178911,9.551078895,11.41457614,10
PG,dqn,gap_dqn_bps,0,0,0,10
PG,dqn,gap_as_bps,2.277773173,1.79447311,2.772774417,10
PG,dqn,gap_twap_bps,7.86417129,7.591061006,8.112680316,10
PG,sac,objective_bps,10.10498163,9.179406902,10.90371549,10
PG,sac,pnl_bps,10.92311586,9.962931424,11.73511119,10
PG,sac,gap_dqn_bps,0.4504785848,-0.1480625909,1.008187827,10
PG,sac,gap_as_bps,2.728251758,1.73191119,3.715499924,10
PG,sac,gap_twap_bps,8.314649875,7.782927496,8.869933874,10
PG,td3,objective_bps,10.04825592,9.284583366,10.86162484,10
PG,td3,pnl_bps,10.76179955,9.926940503,11.58033163,10
PG,td3,gap_dqn_bps,0.3937528728,-0.2752475352,0.9973952491,10
PG,td3,gap_as_bps,2.671526046,1.742236583,3.476896979,10
PG,td3,gap_twap_bps,8.257924163,7.735854319,8.715226205,10
PG,twap,objective_bps,1.79033176,0.8890335194,2.665236369,10
PG,twap,pnl_bps,7.765334533,6.764406904,8.739536159,10
PG,twap,gap_dqn_bps,-7.86417129,-8.113833602,-7.594973775,10
PG,twap,gap_as_bps,-5.586398117,-6.165710334,-4.950682384,10
PG,twap,gap_twap_bps,0,0,0,10
Synthetic,as,objective_bps,1.405097952,0.06225542558,2.975937136,10
Synthetic,as,pnl_bps,6.447633834,4.975313609,8.270116201,10
Synthetic,as,gap_dqn_bps,-2.788420657,-3.429607019,-2.249701188,10
Synthetic,as,gap_as_bps,0,0,0,10
Synthetic,as,gap_twap_bps,7.017839869,6.044180604,7.991513809,10
Synthetic,ddpg,objective_bps,4.034886996,2.324752783,5.973004735,10
Synthetic,ddpg,pnl_bps,5.081059273,3.274684958,7.043646834,10
