market,policy,metric,mean,ci_low,ci_high,n_seeds
JPM,td3,open_abs_inventory_pct,7.423552829,5.426286822,9.265818775,10
JPM,td3,close_abs_inventory_pct,5.682460312,4.552163778,6.888314238,10
MSFT,ddpg,auction_value_bps,1.514289398,0.9982503259,2.097118673,10
MSFT,ddpg,auction_cash_bps,0.2551501043,0.0673941276,0.4385599453,10
MSFT,ddpg,auction_risk_relief_bps,1.259139294,0.6892185963,1.900672008,10
MSFT,ddpg,auction_fees_bps,0.022823,0.005706,0.047477925,10
MSFT,ddpg,open_abs_inventory_pct,10.53664485,7.635192656,13.8150875,10
MSFT,ddpg,close_abs_inventory_pct,8.160694332,6.694232839,10.04085712,10
MSFT,dqn,auction_value_bps,0.3784722919,0.2471518832,0.4960113453,10
MSFT,dqn,auction_cash_bps,0.03216580553,-0.1145421988,0.19037301,10
MSFT,dqn,auction_risk_relief_bps,0.3463064864,0.1284205438,0.5490090618,10
MSFT,dqn,auction_fees_bps,0.050776,0.035407575,0.0696447,10
MSFT,dqn,open_abs_inventory_pct,8.457589103,6.283478609,10.75562674,10
MSFT,dqn,close_abs_inventory_pct,8.01260416,6.482181872,9.75685049,10
MSFT,sac,auction_value_bps,1.707049302,1.156336028,2.2214278,10
MSFT,sac,auction_cash_bps,0.2675513593,0.07956257201,0.461158543,10
MSFT,sac,auction_risk_relief_bps,1.439497942,0.7872811093,2.059883745,10
MSFT,sac,auction_fees_bps,0.052072,0.0362319,0.06757925,10
MSFT,sac,open_abs_inventory_pct,9.895229725,7.554408106,12.13162642,10
MSFT,sac,close_abs_inventory_pct,7.256082471,6.372498401,8.160108324,10
MSFT,td3,auction_value_bps,1.421277398,1.008926727,1.807066453,10
MSFT,td3,auction_cash_bps,0.1375766897,-0.142274608,0.4362201267,10
MSFT,td3,auction_risk_relief_bps,1.283700709,0.7686782598,1.798463368,10
MSFT,td3,auction_fees_bps,0.052555,0.02436095,0.081941425,10
MSFT,td3,open_abs_inventory_pct,9.601621756,7.544343556,11.58706026,10
MSFT,td3,close_abs_inventory_pct,7.125180044,5.979569522,8.281703274,10
PG,ddpg,auction_value_bps,1.447159564,0.9828680198,1.891297957,10
PG,ddpg,auction_cash_bps,0.01073282294,-0.1308802626,0.1544097156,10
PG,ddpg,auction_risk_relief_bps,1.436426741,0.8772421266,1.971004753,10
PG,ddpg,auction_fees_bps,0.013891,0.003903,0.0275137,10
PG,ddpg,open_abs_inventory_pct,8.983979809,6.468676846,11.44350776,10
PG,ddpg,close_abs_inventory_pct,5.658044639,4.731425588,6.735010544,10
PG,dqn,auction_value_bps,0.2913485684,0.1876847567,0.3967810936,10
PG,dqn,auction_cash_bps,0.005832022629,-0.08082009144,0.09619825904,10
PG,dqn,auction_risk_relief_bps,0.2855165458,0.1763626964,0.3978806818,10
PG,dqn,auction_fees_bps,0.044599,0.021830775,0.0769154,10
PG,dqn,open_abs_inventory_pct,6.345208184,5.17273279,7.710078295,10
PG,dqn,close_abs_inventory_pct,5.983467378,4.852953923,7.449499845,10
PG,sac,auction_value_bps,1.634546367,0.9987499031,2.270913654,10
PG,sac,auction_cash_bps,0.05492803025,-0.1010153783,0.2083988865,10
PG,sac,auction_risk_relief_bps,1.579618337,0.8496017861,2.310632191,10
PG,sac,auction_fees_bps,0.037754,0.01901875,0.063815975,10
PG,sac,open_abs_inventory_pct,8.990716014,6.488402874,11.49621905,10
PG,sac,close_abs_inventory_pct,6.128292997,5.629555345,6.69032592,10
PG,td3,auction_value_bps,1.265092621,0.8657696981,1.632218253,10
PG,td3,auction_cash_bps,0.00366389648,-0.08493816881,0.08542388889,10
PG,td3,auction_risk_relief_bps,1.261428724,0.8405741008,1.648318337,10
PG,td3,auction_fees_bps,0.061879,0.02259425,0.104439025,10
PG,td3,open_abs_inventory_pct,7.910147882,5.947639556,9.5752033,10
PG,td3,close_abs_inventory_pct,5.228827711,4.041483445,6.448424366,10
Synthetic,ddpg,auction_value_bps,0.4943165108,0.1486283359,0.8541620235,10
Synthetic,ddpg,auction_cash_bps,0.1480163998,-0.02237984205,0.327910756,10
Synthetic,ddpg,auction_risk_relief_bps,0.346300111,0.06052533382,0.6055184428,10
Synthetic,ddpg,auction_fees_bps,0.05064,0.022394925,0.087484125,10
Synthetic,ddpg,open_abs_inventory_pct,5.78457937,4.058873855,7.603900401,10
Synthetic,ddpg,close_abs_inventory_pct,5.760769291,4.989971373,6.686443056,10
Synthetic,dqn,auction_value_bps,0.1737643944,0.1003910944,0.2458017956,10
Synthetic,dqn,auction_cash_bps,0.06616816097,0.005558849354,0.129760082,10
