run,episode,objective,training_return,inventory
cat811_v18,0,-45.89972767024334,-50.56075250704019,-47.46362498634777
cat811_v18,1,10.970975671411589,11.025607751710266,3.993694884051145
cat811_v18,2,-28.20474204495609,-29.75482948732121,-33.184178616428355
cat811_v18,3,31.779977447604814,31.86192891673999,-14.563333383093862
cat811_v18,4,-13.765555404305617,-18.776778660615857,3.954147468190751
cat811_v18,5,-23.577901354279486,-30.959314863285485,-21.938056934776828
cat811_v18,6,32.09262174396278,32.149321037812754,-28.207187909393454
cat811_v18,7,14.479918862058343,13.907491720000003,3.389069734975667
cat811_v18,8,-5.795688119453754,-9.822942399697272,-17.65786359839376
cat811_v18,9,39.42833657781087,38.16938471478164,-5.39744489818834
cat811_v18,10,-34.62059165289516,-36.264670712317525,-36.592367994240625
cat811_v18,11,-10.349077818280266,-13.304952056748006,-27.636796536426434
cat811_v18,12,-8.545793340243845,-11.980137573856084,-10.529449162771783
cat811_v18,13,-10.75638225723753,-13.253261987245551,0.6875669125328479
cat811_v18,14,28.139326028049044,28.37846681223214,-32.38116130903048
cat811_v18,15,-27.996033750495634,-31.5748466289631,-31.833909673819843
cat811_v18,16,-32.071064911813835,-44.12717814158883,-23.96175916582846
cat811_v18,17,15.211232495644762,14.95673958741401,-24.58273248293184
cat811_v18,18,-13.602459045267887,-17.48773281119682,-3.3642963306575098
cat811_v18,19,-22.098306712873228,-26.65725908141848,-28.754791634645883
cat811_v18,20,-2.2925234218135166,-2.0716589272657906,-40.7123484864038
cat811_v18,21,-22.277397808241407,-27.39017864399107,-27.459937900873626
cat811_v18,22,-6.4917276580487195,-10.742174353806561,5.939649371173157
cat811_v18,23,-18.783103257757134,-20.897213927646938,-16.733539121788066
cat811_v18,24,18.599447481345763,16.679617250892946,-11.492279110891939
cat811_v18,25,24.07072836599331,24.272463359779834,-20.65181178115729
cat811_v18,26,-36.39439416112072,-38.04024481854013,-32.95881249013095
cat811_v18,27,1.1057784425793287,1.326886638077772,26.799359438958753
cat811_v18,28,-65.89791256614966,-66.90432014809664,-49.73154049885374
cat811_v18,29,38.779532576794885,37.937275165831124,-26.390033398070507
cat811_v18,30,-6.05619908242026,-7.959824130067679,17.78049966900284
cat811_v18,31,17.14501041775224,16.713320356690414,-3.3131584853196783
cat811_v18,32,-37.33102768651633,-37.848038852434414,-43.601931563207245
cat811_v18,33,-4.849861536034247,-8.719254783330316,-15.110845754661153
cat811_v18,34,-2.3475667926836596,-4.332331716038571,9.70668193343974
cat811_v18,35,35.08252435696443,35.0219763292068,-23.53610607500068
cat811_v18,36,22.687520893674677,22.925787088779153,-21.30228588713449
cat811_v18,37,8.02396073515567,8.263536548572715,-9.245597805195494
cat811_v18,38,-37.303150408932815,-41.606794523104185,-28.39743911481964
cat811_v18,39,-48.14640008796103,-49.26687969456604,-44.27971992814201
cat811_v18,40,-2.240975339627626,-6.660187088766857,-10.758332612913605
cat811_v18,41,-76.20528789308818,-84.15778096074686,-73.96618188501368
cat811_v18,42,-9.555754958904245,-11.828715128071225,-28.86373017624075
cat811_v18,43,-36.32497861443092,-42.049914687147854,-41.363309731299324
cat811_v18,44,-42.44650277523332,-44.42130535648323,-38.95341700016499
cat811_v18,45,3.0427467536780304,2.9834479852532967,13.420566682816602
cat811_v18,46,-45.72540817690496,-49.60343189419472,-52.34464472641113
cat811_v18,47,-2.05671473140603,-6.838216341337457,-13.384425481858747
cat811_v18,48,-36.79913121475887,-37.69152588656462,-33.50336369168264
cat811_v18,49,-46.07411007505631,-50.52940633771471,-50.697493600667144
cat811_v18,50,-28.295083279262784,-34.758213191319406,-26.735185712765443
cat811_v18,51,-43.62561228417488,-45.84332846522165,-36.91704051349441
cat811_v18,52,16.338954381911673,16.578927675920344,-16.712728556681807
cat811_v18,53,-8.731571926058642,-13.912103700669707,7.786869346909633
cat811_v18,54,-14.455535455187329,-23.338310557711587,2.1726883359705376
cat811_v18,55,-49.40743673758821,-54.775346151292695,-46.75928950259288
cat811_v18,56,19.05513098060871,18.165014921391776,-18.920217937741583
cat811_v18,57,-30.153469862521717,-30.702205138380137,-24.339547331697027
cat811_v18,58,27.1905589278055,27.431586014672757,-25.541751498185835
cat811_v18,59,-39.80886341687476,-43.90021692185745,-41.794815949449976
cat811_v18,60,25.532570742993066,24.482389365436543,-13.529497258356301
cat811_v18,61,17.028460922277453,16.55431667964623,-13.25289881166233
cat811_v18,62,18.08966797366897,18.329897060968314,-24.162390799046563
cat811_v18,63,36.899275202680876,33.993158044960786,-23.839406078847638
cat811_ln,0,1.8199790268993876,-2.2162926709545188,4.698209096227463
cat811_ln,1,6.8104907382131294,6.726126097122592,12.416705775699148
cat811_ln,2,-0.12929926177384982,-1.7099368296471429,0.4546917287616141
cat811_ln,3,37.09747483705495,37.029620083457516,-0.5774881832515869
cat811_ln,4,-9.833537016557887,-14.877486370607443,11.589066892175962
cat811_ln,5,-8.655923156977106,-16.512347974573977,4.732994797152903
cat811_ln,6,41.93844340004625,40.76845844508613,-0.25123762922746273
cat811_ln,7,14.37938428501897,13.16205277631437,3.9493003450082895
cat811_ln,8,0.6018407631658997,-3.156383346256804,-0.016912933424266363
cat811_ln,9,43.83212835649577,42.18295574531018,-5.487086627895829
cat811_ln,10,-0.5351387069321215,-2.3327253547787468,0.5473238992478959
cat811_ln,11,9.801511698273208,6.9362811584292885,0.5786453301288041
cat811_ln,12,-2.986958380090155,-5.730392518878941,2.6609077182076497
cat811_ln,13,-5.267853901246912,-7.328144574381177,13.083148982945836
cat811_ln,14,42.650640861323055,42.6664356050259,-2.0843701945758157
cat811_ln,15,-0.1570579654278211,-4.654610282856442,0.41723733133317165
cat811_ln,16,-8.19927683941922,-15.603005406837113,12.108331694124388
cat811_ln,17,18.194115642227136,17.131996256104834,-1.439513400599893
cat811_ln,18,-12.51403870710874,-15.738855369661213,5.676175808252989
cat811_ln,19,-3.5067547774950323,-6.834780966329549,4.328929002868286
cat811_ln,20,18.479033979421935,18.387322702989522,-0.7458745939951605
cat811_ln,21,-7.145858437178298,-11.48133029347135,4.993529540078017
cat811_ln,22,-5.449896236679404,-8.603980940833878,4.774933465066475
cat811_ln,23,-6.668876505366152,-8.785652411986659,8.257750562889555
cat811_ln,24,19.95205386993184,18.011674179278184,-1.483029097209906
cat811_ln,25,23.367855845512032,22.903321023766072,-4.212099896820744
cat811_ln,26,-3.1612392209487394,-4.673575528282342,6.139652271751341
cat811_ln,27,3.7747210114476992,3.9053807237700564,21.078862680868784
cat811_ln,28,-24.313183097331926,-25.678584294445848,0.44607163692339924
cat811_ln,29,50.76875062820769,48.8655320360525,-1.4711567343116414
cat811_ln,30,-6.906468823622017,-8.49696885753317,21.32070737479554
cat811_ln,31,17.391273216871227,16.46531711175774,-2.7848652026882763
cat811_ln,32,1.756558426810967,1.0987972743325898,0.9246424175752432
cat811_ln,33,9.930282571947366,6.155373239681383,19.783097281105846
cat811_ln,34,-0.6102518185532224,-2.0707874887998567,13.141685702897995
cat811_ln,35,43.299926840875955,42.56694854341718,-0.7058815346719491
cat811_ln,36,21.871833626306625,21.895829761918872,-3.8650557111189165
cat811_ln,37,13.670797794674334,13.723049273909442,-0.3521989166635806
cat811_ln,38,-20.189119035746558,-26.525067813797165,0.9185452473382849
cat811_ln,39,-7.402968465978117,-8.755174123153637,8.594568132753658
cat811_ln,40,8.81539903481068,5.21626011386857,17.748913468143193
cat811_ln,41,-1.4534552551952105,-8.894192322252524,0.1387255149145208
cat811_ln,42,13.115541018430664,10.43673295141631,1.3453018275616087
cat811_ln,43,1.7964242224006748,-3.692765213906325,0.7191949726395439
cat811_ln,44,-12.981005138903898,-14.709328572150802,8.403151909015108
cat811_ln,45,2.9895103909872587,2.9790422435333266,13.172163242498012
cat811_ln,46,-13.545104997394516,-17.78136071484796,-0.22094941765412912
cat811_ln,47,-1.0343078459039712,-5.703264021825412,-0.30998159994642194
cat811_ln,48,-0.45764732124925067,-1.3200458654416654,11.032973580370806
cat811_ln,49,1.0898301577358025,-2.591298011602537,1.4035854691119776
cat811_ln,50,-12.4853066252155,-19.36182891639412,0.651651775525373
cat811_ln,51,-15.489929053889085,-19.907922801850162,0.23623887584246894
cat811_ln,52,14.83841990853631,14.959396223165298,2.865598018992145
cat811_ln,53,-5.520105525958561,-9.545588146806706,18.7214870035138
cat811_ln,54,-7.125175896609315,-12.68737623097342,19.142295042498066
cat811_ln,55,-17.21554485277767,-22.763043059461314,0.8228874870968923
cat811_ln,56,18.197494505689843,15.429494831423565,-6.502048633201569
cat811_ln,57,-8.758901258015323,-9.345861604291617,15.45221150186103
cat811_ln,58,38.58368397535742,38.58393942182203,0.10733442716403374
cat811_ln,59,-13.362079458934076,-16.78766423032696,1.7920894889552348
cat811_ln,60,25.224988921475443,24.047359514525915,-7.3980110282616085
cat811_ln,61,16.218529520226557,15.606835294838113,-3.1830049830833262
cat811_ln,62,20.68667235656274,20.759728284886137,-6.410070845348743
cat811_ln,63,46.93492494788439,44.14476664076219,-1.6907229427481454
