setting,algorithm,version,run,n,pnl,objective,auction_gain,auction_pnl_gain,change,difference_as,opening_inventory,inventory_rms,auction_gain_lo,auction_gain_hi,change_lo,change_hi,difference_as_lo,difference_as_hi,pnl_lo,pnl_hi
historical_sp500_midquotes,dqn,v16,dqn_verified_history,256,6.130800232346747,5.754021266519311,0.18822599566795906,0.3423742994848136,0.0,6.23696509081654,1.5801337317286615,6.138232366304129,0.07508509431842542,0.3070388296833015,0.0,0.0,5.786803909569414,6.68542152529823,3.6525573656849004,8.593915710336843
historical_sp500_midquotes,dqn,v17,dqn_verified_history,256,6.130800232346747,5.754021266519311,0.18822599566795906,0.3423742994848136,0.0,6.23696509081654,1.5801337317286615,6.138232366304129,0.07508509431842542,0.3070388296833015,0.0,0.0,5.786803909569414,6.68542152529823,3.6525573656849004,8.593915710336843
historical_sp500_midquotes,ddpg,v16,ddpg_paper_actor_history,256,7.290215734214634,6.348743920529168,0.23331794402146006,0.9809315115814385,0.0,6.831687744826397,1.6042134133489914,9.702947045539648,0.1104105079908257,0.34704526049888834,0.0,0.0,6.44556421796868,7.219639189069219,4.887628875502943,9.62662549279319
historical_sp500_midquotes,ddpg,v17,ddpg_asinh_history,256,7.42660225511997,6.98480003234609,0.22627238356608728,0.4021390474597444,0.6360561118169216,7.4677438566433185,2.038113635545348,6.646820463754685,0.11406734029444728,0.333532999029673,0.36231617951014516,0.9095445169486889,7.078277775994359,7.856290036386053,4.994900047998679,9.805671651710064
historical_sp500_midquotes,td3,v16,td3_verified_history,256,6.380856785378752,6.012446955230196,0.14933710427956057,0.3581618636963084,0.0,6.495390779527424,1.5129685933470647,6.069677340259176,0.08044975401486702,0.2100144626080779,0.0,0.0,6.14476398686986,6.844200669868463,4.089217046215319,8.63492019714716
historical_sp500_midquotes,td3,v17,td3_asinh_history,256,6.82391029234083,6.240217802997425,0.22130687213837757,0.3214672403990064,0.22777084776723028,6.723161627294655,3.4995397765546974,7.639977024464183,0.16171994746291055,0.28450765451815424,-0.07762080767895518,0.5304716846146571,6.354015129753488,7.087886005232572,4.408898753692789,9.21097042049421
historical_sp500_midquotes,sac,v16,sac_verified_history,256,7.432383867725722,6.982579809377583,0.32627565317326546,0.5471586685450835,0.0,7.465523633674811,1.8292616490509614,6.7067433106399665,0.2354375975337406,0.41364366504204814,0.0,0.0,7.05153700273892,7.879299216433637,5.29897521618373,9.532045073274952
historical_sp500_midquotes,sac,v17,sac_verified_history,256,7.432383867725722,6.982579809377583,0.32627565317326546,0.5471586685450835,0.0,7.465523633674811,1.8292616490509614,6.7067433106399665,0.2354375975337406,0.41364366504204814,0.0,0.0,7.05153700273892,7.879299216433637,5.29897521618373,9.532045073274952
synthetic_rough_heston,dqn,v16,dqn_verified,256,14.304353621281626,14.01582058403381,-0.12645062966298504,-0.045663063931131245,0.0,3.2758731863444055,1.6183690355889229,5.371527131531761,-0.21221449501026549,-0.05227244598918066,0.0,0.0,2.54113708426399,3.982228290345606,11.461072412204128,17.07912863587785
synthetic_rough_heston,dqn,v17,dqn_verified,256,14.304353621281626,14.01582058403381,-0.12645062966298504,-0.045663063931131245,0.0,3.2758731863444055,1.6183690355889229,5.371527131531761,-0.21221449501026549,-0.05227244598918066,0.0,0.0,2.54113708426399,3.982228290345606,11.461072412204128,17.07912863587785
synthetic_rough_heston,ddpg,v16,ddpg_paper_actor,256,12.619844837057174,11.709448909388858,0.04232751697688608,0.19515692078102556,0.0,0.9695015116994545,2.811691125223633,9.54146701334924,-0.2427899102622706,0.40734201834174155,0.0,0.0,0.17750874636192487,1.679613060081771,9.994884445672113,15.148916303739387
synthetic_rough_heston,ddpg,v17,ddpg_asinh,256,13.655046124969147,12.939681966614945,0.640655944788394,0.39406688975777643,1.2302330572260889,2.1997345689255434,3.367475772396051,8.457920302025807,0.3843057829780363,0.9326398607761544,0.6686429981148702,1.7409235170583175,1.1534569290189904,3.0828948759240227,10.940115823012674,16.294769786991278
synthetic_rough_heston,td3,v16,td3_verified,256,11.791110323569136,11.313652702837809,0.04356956146522528,-0.01565595809550722,0.0,0.5737053051484053,1.9266726763332742,6.909830828112422,-0.04120269369346464,0.1591494455297579,0.0,0.0,-0.27994041714148354,1.302217283227464,9.198829067874277,14.28494918250131
synthetic_rough_heston,td3,v17,td3_asinh,256,12.470074615393155,12.300138221708346,0.2784760461968886,0.1901389862096861,0.9864855188705393,1.5601908240189446,1.9103984229289586,4.12233421358347,0.15696828523876744,0.44313435282239977,0.4171993599725299,1.678385106604432,1.0562564528859615,2.0229345967398658,9.962443639914232,14.915057849780931
synthetic_rough_heston,sac,v16,sac_verified,256,12.233119209582057,12.102445068360122,0.04397833168651639,0.031231699413659265,0.0,1.3624976706707217,1.9584504991869158,3.614887843653415,-0.013025717441441972,0.10316162197222513,0.0,0.0,0.9852406614129545,1.7310564085610054,9.829243810313603,14.611426580558561
synthetic_rough_heston,sac,v17,sac_verified,256,12.233119209582057,12.102445068360122,0.04397833168651639,0.031231699413659265,0.0,1.3624976706707217,1.9584504991869158,3.614887843653415,-0.013025717441441972,0.10316162197222513,0.0,0.0,0.9852406614129545,1.7310564085610054,9.829243810313603,14.611426580558561
