step,phase,q_abs_max,loss,learning_rate,grad_norm,td_abs_mean,td_abs_max
0,clob,57.104339599609375,7.708461284637451,5.6403296533574376e-05,125.20283508300781,1.781846046447754,17.397415161132812
0,clob,36.825706481933594,10.41274642944336,5.6403296533574376e-05,188.52764892578125,2.121532917022705,14.955680847167969
0,clob,37.665679931640625,10.850638389587402,5.6403296533574376e-05,305.07843017578125,1.9424898624420166,22.142459869384766
0,auction,8.761921882629395,0.0935528427362442,5.6403296533574376e-05,5.261368274688721,0.20275594294071198,1.0134034156799316
250,clob,51.03885269165039,6.227216720581055,5.6403296533574376e-05,148.3693389892578,1.7938435077667236,7.8906402587890625
250,clob,40.94514846801758,19.01538848876953,5.6403296533574376e-05,284.82623291015625,2.551182508468628,24.25784683227539
250,clob,33.22322082519531,7.59616756439209,5.6403296533574376e-05,150.032470703125,1.7991199493408203,16.459976196289062
250,auction,6.23651647567749,0.09142554551362991,5.6403296533574376e-05,4.137228012084961,0.19558025896549225,1.740630865097046
500,clob,37.26515197753906,9.537590980529785,5.6403296533574376e-05,188.89132690429688,1.939871907234192,18.358842849731445
500,clob,28.613048553466797,19.93907928466797,5.6403296533574376e-05,582.7732543945312,2.4950568675994873,27.928058624267578
500,clob,48.4403076171875,4.398279190063477,5.6403296533574376e-05,90.33255004882812,1.5200437307357788,7.4049859046936035
500,auction,12.295053482055664,0.09717544913291931,5.6403296533574376e-05,2.486111879348755,0.16918374598026276,2.5356407165527344
750,clob,33.302433013916016,6.972992897033691,5.6403296533574376e-05,205.85595703125,1.808253288269043,9.4795560836792
750,clob,31.682125091552734,8.699729919433594,5.6403296533574376e-05,211.1997528076172,1.9167453050613403,10.947486877441406
750,clob,28.823246002197266,7.660557270050049,5.6403296533574376e-05,203.66978454589844,1.836732268333435,13.440128326416016
750,auction,6.823631286621094,0.07199369370937347,5.6403296533574376e-05,3.6267457008361816,0.1780455857515335,1.1578493118286133
1000,clob,45.89674758911133,9.17855453491211,5.6403296533574376e-05,345.5804138183594,1.9911959171295166,12.960463523864746
1000,clob,38.7364387512207,7.8259053230285645,5.6403296533574376e-05,149.896728515625,1.9446907043457031,13.792217254638672
1000,clob,31.877588272094727,5.183272361755371,5.6403296533574376e-05,111.34122467041016,1.64060640335083,7.861469268798828
1000,auction,7.338298797607422,0.08863146603107452,5.6403296533574376e-05,7.716747283935547,0.16920167207717896,2.2664289474487305
1250,clob,29.160362243652344,9.274032592773438,5.6403296533574376e-05,280.7991027832031,1.8710781335830688,14.176347732543945
1250,clob,30.390932083129883,6.553060531616211,5.6403296533574376e-05,109.52926635742188,1.742540717124939,9.818339347839355
1250,clob,25.232839584350586,5.677061557769775,5.6403296533574376e-05,140.30442810058594,1.6234970092773438,10.261215209960938
1250,auction,6.322493553161621,0.05003930628299713,5.6403296533574376e-05,3.2792229652404785,0.16549935936927795,0.6054158210754395
1500,clob,63.53260803222656,7.001006126403809,5.6403296533574376e-05,113.20282745361328,1.7639037370681763,14.366265296936035
1500,clob,14.691234588623047,8.053077697753906,5.6403296533574376e-05,170.69866943359375,1.8911001682281494,10.824524879455566
1500,clob,46.85862731933594,5.836124420166016,5.6403296533574376e-05,192.3028564453125,1.5387572050094604,16.176971435546875
1500,auction,7.165382385253906,0.10501568019390106,5.6403296533574376e-05,4.955112934112549,0.2034294307231903,1.237066626548767
1750,clob,35.55950927734375,4.423308372497559,5.6403296533574376e-05,192.7069091796875,1.5072956085205078,6.622924327850342
1750,clob,34.59138488769531,6.18665885925293,5.6403296533574376e-05,140.9393768310547,1.6423732042312622,12.158912658691406
1750,clob,36.39984130859375,10.003692626953125,5.6403296533574376e-05,161.17123413085938,2.0725793838500977,14.856941223144531
1750,auction,6.674519062042236,0.06830920279026031,5.6403296533574376e-05,4.115344524383545,0.18136319518089294,1.0140787363052368
2000,clob,30.562349319458008,5.6766157150268555,5.6403296533574376e-05,272.5713195800781,1.5767805576324463,16.30103874206543
2000,clob,24.947139739990234,8.151446342468262,5.6403296533574376e-05,362.7911071777344,1.6522135734558105,17.691429138183594
2000,clob,10.677515029907227,7.3058037757873535,5.6403296533574376e-05,103.82975006103516,1.7565571069717407,12.039880752563477
2000,auction,10.69097900390625,0.11491215229034424,5.6403296533574376e-05,2.8420379161834717,0.1787278652191162,2.37307071685791
2250,clob,22.974987030029297,6.274579048156738,5.6403296533574376e-05,165.6182403564453,1.626684308052063,14.065217971801758
