policy,env_seed,pnl,objective,inventory,auction_qty,inventory_at_auction_open,clob_qty,cancels
ddpg,1555188258,24.640476703403692,20.085971861297548,-21.341285908084693,21.952790705865308,0.6115047977806256,99.38849520221937,0
ddpg,1136402151,0.5838915615149745,-0.6554720413048518,-11.13267085123703,22.1600000000019,11.027329148764835,88.97267085123516,0
ddpg,1522614984,28.383650544412376,25.872346702316477,-15.847093872681821,15.952499999998516,0.10540612731669796,99.8945938726833,0
ddpg,1871419168,19.454407666726183,16.74399100488394,-16.46334310473496,16.67000000000002,0.20665689526508402,99.79334310473492,0
ddpg,1991909418,41.15795948275809,37.302195686189236,-19.636098890993726,20.55999999999983,0.9239011090060956,99.0760988909939,0
ddpg,470941906,-1.6398240981397976,-1.654658505441758,-1.2179658165137681,44.08000000000027,42.8620341834865,57.1379658165135,0
ddpg,27383708,-12.703609754771605,-15.703962466611568,-17.32152623714193,41.905742249349004,24.58421601220705,75.41578398779295,0
ddpg,1249759773,-15.054159161023563,-24.407016526878067,-30.58244163871568,41.93738832677767,11.354946688061986,88.64505331193801,0
ddpg,1400437899,-10.478403467301177,-15.64137470770152,-22.722172520250663,40.879999999999654,18.157827479749017,81.84217252025098,0
ddpg,772219638,-3.974648208135477,-8.146315264312504,-20.424659253405004,26.573256257114437,6.14859700370944,93.85140299629056,0
ddpg,1109829770,-12.018124223093764,-14.015595103001994,-14.133191005248001,46.07999999999788,31.9468089947499,68.0531910052501,0
ddpg,1577764228,-5.685378944748663,-17.182403712320095,-33.90726289096693,45.040000000001555,11.132737109034622,88.86726289096538,0
ddpg,1971291912,24.49768368367404,24.237518136240812,-5.100642581412931,13.23928412212792,8.138641540714985,91.86135845928501,0
ddpg,1567622137,18.300919554116263,15.80287759300155,-15.805195225351417,16.19448284020722,0.3892876148557889,99.61071238514421,0
ddpg,816756653,37.99488882824335,35.82276567792378,-14.7381245425582,15.68000000000086,0.9418754574426487,99.05812454255735,0
ddpg,619150585,21.378622979498687,19.136904803026855,-14.972368471527247,15.541832910928038,0.5694644394007753,99.43053556059922,0
ddpg,598441120,17.52840738503437,12.101778599405048,-23.295125639561,24.14384348764741,0.8487178480864088,99.15128215191359,0
ddpg,666570076,5.643596072837681,5.334347782120729,-5.561009716921484,21.189128707651626,15.628118990730158,84.37188100926984,0
ddpg,1278635839,16.517322549243545,15.839411684390875,-8.233534264534708,9.120000000000005,0.8864657354652792,99.11353426453472,0
ddpg,396536325,0.2293465478469443,-0.12116352347330861,-5.92038910309325,39.44000000000085,33.519610896907594,66.4803891030924,0
ddpg,119393625,-5.250861597227413,-10.481795554604727,22.871235116139474,32.40000000000259,55.271235116142066,44.728764883857934,0
ddpg,1428683470,-9.84073034895846,-14.214906860923108,-20.914532057793327,43.408878392821826,22.494346335028496,77.5056536649715,0
ddpg,1679935216,8.997432944366665,7.472518675429764,12.348741915421591,12.117499999999723,24.466241915421293,75.53375808457871,0
ddpg,1574412579,-15.624464899743543,-22.907319331551165,-26.98676422212863,34.76852084986957,7.781756627740961,92.21824337225904,0
ddpg,1752896313,-6.324954178830012,-7.179452196309022,9.24390619532138,27.03999999999712,36.28390619531852,63.71609380468148,0
ddpg,1110753077,10.917233525980919,10.42009724996747,7.0507891474178095,16.990868966316096,24.041658113733902,75.9583418862661,0
ddpg,2044369956,43.00221073238936,37.248022339989966,-23.987889428625,24.60855197929558,0.6206625506705734,99.37933744932943,0
ddpg,1745820347,39.901931857439195,34.81274786281004,-22.55921983276273,23.520000000001232,0.9607801672384966,99.0392198327615,0
ddpg,552249014,0.2339125258331478,-1.7633145698879846,-14.132328526188218,42.06859479874012,27.936266272551904,72.0637337274481,0
ddpg,297319703,36.473752572626836,31.259410831587154,-22.834933196836122,23.44000000000176,0.6050668031656414,99.39493319683436,0
ddpg,1401341439,-1.8892609253616683,-2.6557441831235247,8.754902956411662,28.160000000001446,36.91490295641314,63.08509704358686,0
ddpg,403088148,34.83383240122566,25.83766640647392,-29.99360931057105,30.8800000000017,0.8863906894306695,99.11360931056933,0
ddpg,230059583,-6.176470716869517,-9.013062671714133,-16.842184997335163,17.759999999998286,0.9178150026631187,99.08218499733688,0
ddpg,1769305579,19.75117839190716,19.66661564586525,2.907967435201247,-2.8000000000014325,0.10796743519982499,99.89203256480018,0
ddpg,279203445,-10.793514084823983,-16.872553235064906,-24.65570755472437,36.09556689196328,11.4398593372389,88.5601406627611,0
ddpg,1188019166,33.17367799963358,28.764064742254362,-20.999079164047213,21.680000000001996,0.6809208359547796,99.31907916404522,0
ddpg,1869276171,20.911256711657188,19.832850302966758,-10.384634845243378,15.120000000001596,4.735365154758185,95.26463484524182,0
ddpg,1693719656,-4.525655056511823,-14.873426126448734,32.16795155109649,20.962499999998585,53.13045155109506,46.86954844890494,0
ddpg,458231518,-2.0046924316484365,-25.88099241507587,-48.863380954890374,61.914660983550284,13.051280028659903,86.9487199713401,0
ddpg,1789568434,39.114482793198476,35.78733514215365,-18.24047052859335,18.88000000000318,0.6395294714098299,99.36047052859017,0
ddpg,140356044,-7.022009609321685,-7.169512265593724,-3.840607455495018,43.28039464341459,39.439787187919585,60.560212812080415,0
ddpg,234335154,39.42969397682464,34.14091859854573,-22.997337624774968,23.20000000000141,0.2026623752264527,99.79733762477355,0
ddpg,1545576019,-8.009408233083377,-10.688697357989124,-16.368534219366577,41.88114419074882,25.512609971382233,74.48739002861777,0
ddpg,1278339183,-5.682768623035372,-7.056146231584144,11.719119457317483,37.92000000000235,49.63911945731983,50.36088054268017,0
ddpg,891930783,3.0467498212146893,2.971979079681996,-2.7344239161602886,17.599999999999454,14.865576083839187,85.13442391616081,0
ddpg,1226933256,-9.823553756121328,-16.73279201143092,-26.285429909570798,28.159999999998718,1.8745700904278948,98.1254299095721,0
ddpg,637484692,-3.0374587647384033,-3.119109314092905,-2.857456025112228,18.879999999997494,16.022543974885252,83.97745602511475,0
ddpg,913490309,-12.335872753315925,-17.596750140030075,-22.93660259653584,31.638767744510062,8.702165147974227,91.29783485202577,0
ddpg,953563806,1.604271611173317,1.196485059399718,6.385816719681195,43.199132065366534,49.58494878504773,50.41505121495227,0
ddpg,7818879,11.529099749870511,10.908859526868955,-7.875533143867507,17.80500000000011,9.929466856132606,90.0705331438674,0
ddpg,1169114157,4.450807422152138,-4.762933382810473,-30.354144371012357,44.609160429599946,14.255016058587586,85.74498394141241,0
ddpg,623844878,15.64603201538739,14.832838439031464,9.017724637379027,7.313923770373298,16.331648407752326,83.66835159224767,0
ddpg,1457827827,-6.982109889479034,-9.195201929093853,-14.876464766922346,40.48000000000252,25.60353523308015,74.39646476691985,0
ddpg,348129401,20.3254852525788,18.326404053840072,-14.138886797547855,14.879999999998176,0.7411132024503218,99.25888679754968,0
ddpg,1857805544,40.40233519343383,36.12381666048155,-20.68458008505919,21.212530626974463,0.5279505419152883,99.47204945808471,0
ddpg,156614650,32.62774844728847,27.40601883151234,-22.851104165392375,23.004042344168358,0.15293817877598315,99.84706182122402,0
ddpg,768779474,-6.559448240970596,-8.179387963402261,-12.72768526650335,38.926979911535554,26.199294645032197,73.8007053549678,0
ddpg,715144943,-12.386223528399569,-28.818079253500606,-40.5362254349132,44.00000000000114,3.4637745650879737,96.53622543491203,0
ddpg,1236605349,-9.674001735111233,-22.660720460233186,-36.03709023370499,45.90790163281966,9.8708113991147,90.1291886008853,0
ddpg,738490283,21.69201180462551,20.746481966917248,-9.723835856843024,10.409758125250638,0.6859222684076229,99.31407773159238,0
ddpg,738784401,-17.024555167048675,-20.572459267210792,-18.83588091956975,36.96000000000072,18.124119080430972,81.87588091956903,0
ddpg,443350267,-12.340790178501265,-24.171887322648818,-34.39636193574482,37.2800000000002,2.8836380642553934,97.1163619357446,0
ddpg,1097901208,-5.071271910093856,-6.561786965457555,-12.208665182417363,33.200000000000614,20.991334817583223,79.00866518241678,0
ddpg,873502241,-8.891662110818288,-11.670668895711852,-16.67035328028043,34.32000000000039,17.64964671971994,82.35035328028006,0
