episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,grad_norm_clob,actor_loss_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,grad_norm_auction,actor_loss_auction
10,-22.714025923243753,-23.0373025955348,-23.32202147037356,10.371508825279943,0.0,33.693530295653495,-0.28493091912980617,0.00021204429014377973,0.0642575481222849,-5.685742451879513,5.750000000001798,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
11,-18.81529574687971,-18.816862092840484,-20.592977368479286,44.579856966085075,0.0,65.17283433456436,-1.7761152756396825,0.0,0.39577088836549024,0.39577088836548846,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
12,12.620244888399611,12.618933363026887,12.618933363028539,6.453664601003874,-4.440892098500626e-15,-6.165268762024666,0.0,0.0,0.3621498823311242,0.36214988233111534,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
13,32.447842295252485,6.115416451040641,6.132774126368275,-8.933210770381097,-1.7763568394002505e-15,-15.065984896749367,0.0,0.01735767532917142,57.582630170557756,51.315130170556756,6.267500000001,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
14,1.6447142089891713,1.3526139466585256,1.3006377947443468,-7.25777781021897,0.0,-8.55841560496332,0.0,-0.05197615191123338,0.6321300736572653,5.404630073655787,-4.772499999998519,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
15,18.83675119679305,-2.4152578105326654,-2.4152578105309974,-16.10976068458438,-1.7763568394002505e-15,-13.694502874053379,0.0,0.0,46.02403045829874,46.09990130935826,-0.07587085105951637,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
16,-50.86328349998257,-50.87078457540689,-52.29802878031198,1.849211826019615,0.0,54.147240606331614,-1.4272442049077654,0.0,0.8660874912108483,0.8660874912108198,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
17,9.932451347356618,9.913180592238314,9.93945659446824,-4.867521281386111,0.0,-14.806977875854349,0.0,0.02627600222881335,0.6893352830917792,-1.3881914535936635,2.07752673668543,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
18,34.70159551361394,34.6975616606029,34.69679862189713,9.580767164228341,-3.552713678800501e-15,-25.116031457668797,0.0,-0.0007630387047546717,0.2959222506596859,0.6351262087995496,-0.3392039581398637,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
19,-8.23519974660172,-8.23541672133319,-8.288333046046066,3.7585535411581805,0.0,12.046886587204241,-0.05830822470636576,0.0053919000000002045,0.3887887659560505,-0.14730062167868563,0.5360893876347494,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
20,39.0,-61.0,-61.0,-84.42230914661381,0.0,-23.42230914661381,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
21,33.86380000000099,-56.500235999999745,-56.4513204147926,-78.84312650678199,0.0,-22.39180609198937,0.0,0.04891558520725671,100.0,95.06000000000039,4.939999999999618,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
22,55.863500000001295,-42.04752499999748,-42.04750710883651,-82.10715211000655,0.0,-40.05964500117004,0.0,1.7891161620142588e-05,100.0,98.94999999999938,1.0500000000006224,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
23,-17.293339149364837,-116.24675229920452,-116.24149704920518,-129.68262495061444,0.0,-13.441127901409311,0.0,0.005255250000000556,100.0,99.47533018283461,0.5246698171653925,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
24,35.86653532498167,10.828032861393154,10.828032861392696,-13.190863159069014,0.0,-24.018896020461717,0.0,0.0,50.03848765059603,50.03848765059603,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
25,-9.425328556530076,-9.44230136851622,-9.444938222887476,6.8885291687200265,3.552713678800501e-15,16.333467391607513,-0.017599959013239186,0.014963104641203916,0.9909364467219746,-1.30279745110838,2.2937338978303385,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,10.0,0.0,0.0,5.0,4.0,0.0,1.0,,,,,,,,,,,,
26,42.94216909527859,9.91809862350484,9.897016861349753,-7.860747554876022,0.0,-17.75776441622578,0.0,-0.02108176215143408,56.149046399931066,57.46657330289822,-1.3175269029671322,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,12.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,
27,3.3406101946124545,3.340526581010898,3.039174549766646,-1.4992310407634497,0.0,-4.538405590530094,-0.30447890624509455,0.003126875000000711,0.3972391836429807,0.09144047329060051,0.3057987103524033,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
28,-28.090359666402946,-40.56271947812959,-40.56271947813107,-7.488117455482381,0.0,33.07460202264869,0.0,0.0,35.31622829766316,35.31622829766316,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
29,41.05922319164529,38.79535855330987,38.96899519924658,4.891278660501689,0.0,-34.07771653874491,-0.029775759243928945,0.20341240518077902,30.275783900015085,15.046144484004609,15.229639416010466,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
30,-33.10440348169868,-39.007337490096916,-39.16243017363851,0.7826366755260628,0.0,39.945066849164576,0.0,-0.15509268354369257,0.3981722219694461,24.29595441302571,-23.897782191056287,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
31,11.720417609015785,2.9539378705067065,2.9579898955076125,-2.035299324101892,0.0,-4.993289219609504,0.0,0.004052025000000153,30.069565868833493,29.60824165415616,0.46132421467731594,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
32,54.71040703531359,54.70876977990634,54.70839099240714,-6.8019711822623865,0.0,-61.510362174669524,0.0,-0.00037878749999965583,0.33032928800520267,0.4046301282952838,-0.07430084029010418,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,18.82654192573146,38.0,0.00023447058520450828,0.00023447058520450828,3.630047365238792,0.2906539946010238,2.4995260283350946,30.0,0.00023447058520450825,0.00023447058520450825,1.4875835577646892,0.1806259572505951
33,16.190402522324295,16.190027926779575,16.190027926782403,12.353053471342406,1.3877787807814457e-17,-3.8369744554399974,0.0,-5.421010862427522e-20,0.1935447092326683,0.193544709232647,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,19.099219077672714,39.0,0.00023267171427506018,0.00023267171427506018,4.610615702775808,0.3327164532322633,2.1537545373042426,30.0,0.00023267171427506018,0.00023267171427506018,1.0935909459988276,0.15631959239641827
34,14.724379540134978,11.292009429791968,11.296770354792557,-6.117171530313473,0.0,-17.413941885106038,0.0,0.004760925000000406,19.191656768945137,18.52665676894515,0.6650000000000027,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,15.941502571105957,44.0,0.00023088664438004888,0.00023088664438004888,4.113916730338877,0.01955061143433506,1.9417384408414364,30.0,0.00023088664438004886,0.00023088664438004886,1.1196892927090327,0.13542791455984116
35,23.21655871173265,17.356823369853835,17.46098654235255,1.9812982173373719,0.0,-15.479688325015175,0.0,0.10416317250000288,35.94068332803646,24.206890221337424,11.733793106699046,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.190240065256754,45.0,0.00022911526963719647,0.00022911526963719647,4.0712887631522285,-0.03501788524748838,2.2642605754236382,30.0,0.00022911526963719647,0.00022911526963719647,1.3232557674249013,0.09873467460274696
36,38.50510336296811,38.25625871270641,38.3056697702052,8.581279405045708,0.0,-29.724390365159483,0.0,0.049411057499997385,0.5142479385026775,-4.988433123353406,5.502681061856088,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,16.49412884712219,40.0,0.0002273574849765597,0.0002273574849765597,4.462647670507431,0.05314616011455655,2.296761772284905,30.0,0.00022735748497655967,0.00022735748497655967,1.4503720795114836,0.03963525602594018
37,13.018674191520404,9.481289489793014,7.792694572387431,9.827023386140786,0.0,2.0343288137533535,-1.9105967872815484,0.2220018698796323,0.6745636386457363,-18.80793636135392,19.482499999999682,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.827435708815052,31.0,0.0002256131861342975,0.0002256131861342975,4.803874108099168,-0.054915756732225415,2.4917104065418245,30.0,0.0002256131861342975,0.0002256131861342975,1.498915488521258,0.0174969877426823
38,4.907998321746694,4.640583435037009,4.598072218076775,15.201006109417975,-2.7755575615628914e-17,10.602933891341191,-0.10000248446090154,0.05749126749999652,0.6893501964780455,-5.171217329697959,5.86056752617597,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,13.46539032459259,44.0,0.00022388226964648665,0.00022388226964648665,4.876440833915364,-0.018288915934549135,1.9241972245275973,30.0,0.00022388226964648665,0.00022388226964648665,1.2944882253805796,-0.03478531098614136
39,-13.706479210082762,-17.005699970940654,-16.790878061389233,22.303963862967578,0.0,39.09484192435681,-0.011938182522101215,0.2267600920744906,0.9535335988568363,-18.163757212806747,19.11729081166356,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.255944339852585,38.0,0.0002221646328429846,0.0002221646328429846,5.261466242765126,-0.10982690065314896,2.049072884519895,30.0,0.0002221646328429846,0.0002221646328429846,1.639423162738482,-0.02120828504363696
40,33.169103211464346,33.136064948205195,33.1612591932039,-15.431401522593141,0.0,-48.59266071579702,0.0,0.025194245000001052,0.7823569311015603,-1.817643068898608,2.600000000000154,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,15.516590105859857,38.0,0.0002204601738413398,0.0002204601738413398,5.732605651805275,-0.08235255192573133,2.203142993648847,30.0,0.0002204601738413398,0.0002204601738413398,2.192855091889699,-0.03764756644765536
41,1.1381043052941968,1.1373770035762083,0.958812061728818,-9.277896665301201,0.0,-10.236708727030011,-0.189605641847038,0.011040700000001298,0.8796853199543762,0.26968531995430034,0.6100000000000527,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,13.597548526266348,46.0,0.00021876879154074825,0.00021876879154074825,5.078972572865694,-0.09636886847083984,1.9657131910324097,30.0,0.00021876879154074825,0.00021876879154074825,1.7916712125142416,-0.08998955364028613
42,7.670392974412607,3.744272364282087,3.6148591188401284,2.865727428087876,0.0,-0.7491316907522502,-0.35446883114303773,0.2250555856988733,0.9255592808431032,-19.81444071915864,20.74000000000175,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,14.745530711279976,36.0,0.00021709038561605672,0.00021709038561605672,5.749735765986973,-0.05055415702776776,1.4677183665335178,30.0,0.00021709038561605672,0.00021709038561605672,1.4591556409994761,-0.1325602407256762
43,-42.01814445609158,-42.021767923637306,-44.844853973611386,-6.273826175303242,0.0,38.57102779830814,-2.8295764674748973,0.006490417500000248,0.9644524520859648,0.6019524520858694,0.3625000000000824,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,14.99152007855867,38.0,0.00021542485651181197,0.00021542485651181197,5.739627449136031,0.0265955289972848,1.8430823743343354,30.0,0.00021542485651181197,0.00021542485651181197,1.8708727697531382,-0.10986338965594769
44,-18.494937749345873,-18.842696344125557,-21.085768012479907,12.762206849129425,0.0,33.84797486160933,-2.3037135083527573,0.06064184000000118,0.3344419796369493,-5.897106025667889,6.231548005304847,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,14.4848796562715,44.0,0.00021377210543635568,0.00021377210543635568,5.548046659339558,-0.08941064233129675,1.8842852897942066,30.0,0.00021377210543635568,0.00021377210543635568,2.0945541501045226,-0.09566446940104166
45,13.026694096477586,13.002918944345225,12.94126190641058,-4.721243175300255,5.551115123125783e-17,-17.662505081710837,-0.07839315793262358,0.016736119999998852,0.010827420609899718,-1.5419193277328196,1.5527467483427353,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,13.91238090154287,37.0,0.00021213203435596428,0.00021213203435596428,6.1738310246854216,-0.012271442646650891,1.3130935204525789,30.0,0.00021213203435596425,0.00021213203435596425,2.017532601952553,-0.1567700684070587
46,-7.332305151554465,-10.393337284521053,-10.461246751260767,17.21114791746175,0.0,27.672394668722518,-0.2926279928819895,0.22471852614178922,0.04080559153356944,17.495805591531322,-17.454999999997757,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,11.94330923180831,38.0,0.00021050454598903415,0.00021050454598903415,4.989418061156022,-0.13891513905438937,1.8206509667138258,30.0,0.00021050454598903415,0.00021050454598903415,2.0234512945016223,-0.15114709238211313
47,17.512617788036078,17.258838373452754,17.315291883456208,1.0824521722902145,-2.7755575615628914e-17,-16.232839711165994,0.0,0.056453509999995544,0.8828633796808845,-5.037652375693698,5.920515755374577,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.232524333856045,39.0,0.0002088895438003116,0.0002088895438003116,6.0641907178438625,-0.16743154549284986,1.9621427237987519,30.0,0.0002088895438003116,0.0002088895438003116,2.7765543977419536,-0.17319462895393373
48,-23.589475760526096,-23.613045545498945,-26.24623089209149,0.47270190908164733,-1.6653345369377348e-16,26.718932801173136,-2.6538679215946956,0.020682574999998826,0.8314053764306522,-1.5352454192358977,2.3666507956665557,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,13.49071252973456,38.0,0.0002072869319951664,0.0002072869319951664,5.506543529661078,-0.2266382326028849,1.8583667054772377,30.0,0.0002072869319951664,0.0002072869319951664,2.3866082191467286,-0.15941487948099772
49,-43.72815691729938,-43.72815990245158,-44.18798619047003,-9.182622488365773,0.0,35.00536370210422,-0.4633094880177282,0.003483199999999802,0.39326853890619873,-0.017277593009922376,0.410546131916114,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.711536492241754,45.0,0.00020569661551390992,0.00020569661551390992,6.40697488254971,-0.19866893035562141,1.6136151591936747,30.0,0.0002056966155139099,0.0002056966155139099,2.0262366056442263,-0.15223971232771874
50,-1.3180611295129494,-1.3181468258682068,-2.6682126656363,2.6132340607450972,1.3877787807814457e-17,5.281446726381397,-1.3520724397662036,0.0020065999999998854,0.3110674696171003,0.09257232591724726,0.21849514369987835,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,3.0,3.0,0.0,0.0,11.763786206926618,35.0,0.0002041185000261565,0.0002041185000261565,6.0483016082218715,-0.06720409684759729,1.7392003804445266,30.0,0.0002041185000261565,0.0002041185000261565,2.510168749094009,-0.2186020682255427
51,-50.092733547401224,-50.09472544673992,-52.108393699097924,7.2920226310709815,0.0,59.40041633016892,-2.019880127355634,0.006211874999999647,0.17869300490578155,-0.4463069950941758,0.6249999999999645,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,13.158100667207137,46.0,0.0002025524919252285,0.0002025524919252285,5.901871396147686,-0.16816839972591918,1.6110411594311396,30.0,0.0002025524919252285,0.0002025524919252285,2.1940804104010265,-0.24979292154312133
52,6.75790615134676,6.757706360081798,6.761205310081146,8.763192802927346,0.0,2.0019874928462023,0.0,0.003498950000000367,0.20865246200857257,-0.14134753799145727,0.35000000000003695,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,12.78391712765361,43.0,0.00020099849832260343,0.00020099849832260343,6.232670645381129,-0.1340989050540057,1.6592897102236748,30.0,0.0002009984983226034,0.0002009984983226034,2.361923319101334,-0.2369261920452118
53,11.208111558871446,11.207571806994203,10.939363768498966,-3.4274983691424263,0.0,-14.366862137641403,-0.26770713849538197,-0.0005008999999999716,0.19732560712154168,0.2323256071215205,-0.03499999999999659,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.473214978263492,42.0,0.00019945642704240473,0.00019945642704240473,7.073227246602376,-0.2060070868049349,1.2333309690157572,30.0,0.00019945642704240473,0.00019945642704240473,2.4355323453744253,-0.2665684580802917
