env_seed,policy,pnl,objective,inventory,auction_qty,clob_qty,cancels,setting,seed
32568404,dqn,34.016893186699235,34.015634955079456,-0.0501643622461302,0.2805815564402151,99.76958280580592,0,synthetic,615
37364028,dqn,51.69781155191413,51.65458918322678,-0.2940148591052782,0.5495701079052271,99.74444475120004,0,synthetic,615
61060762,dqn,33.8603456979763,33.63473231709178,0.6717341451564289,0.1863067831814128,99.1419590716622,0,synthetic,615
67196417,dqn,48.87976835883455,48.858408221053416,0.2066888375366887,0.3751999999999985,99.41811116246332,0,synthetic,615
76594293,dqn,64.76736581493242,64.61258995131593,0.5563737298192464,0.3305950196296294,99.11303125055112,0,synthetic,615
90257200,dqn,6.639742822077096,6.5481052674239875,0.4281064228742858,0.2939729677699555,99.27792060935576,0,synthetic,615
94550601,dqn,45.89626968211087,45.87696402542782,-0.1964976166931886,0.348532817144395,99.84796479954878,0,synthetic,615
148538406,dqn,55.55972614181701,55.55864895252286,-0.0464152839946188,0.0756158414042487,99.9707994425904,0,synthetic,615
177424292,dqn,36.13352071321788,36.12811557548281,0.1039724745792746,0.3620000000000002,99.53402752542074,0,synthetic,615
179641510,dqn,-36.78540051182608,-36.78540052336516,0.0001519149651471,0.8706363115295667,99.12921177350532,0,synthetic,615
192634188,dqn,15.62374920140428,15.613054253387062,0.1462528496626143,0.1059102249092626,99.7478369254281,0,synthetic,615
193140014,dqn,66.01420887243512,65.97906210382153,-0.265129283986481,0.3199588216673717,99.94517046231908,0,synthetic,615
195690708,dqn,55.467967495020275,55.463822750536906,0.091046630727034,0.2864000000000036,99.62255336927296,0,synthetic,615
202934377,dqn,46.89584681836641,46.638157363785375,0.7178989547018911,0.0715000000000017,99.21060104529808,0,synthetic,615
213603552,dqn,85.39234300345561,85.38592651028708,0.1132827715809568,0.27918693215156,99.60753029626748,0,synthetic,615
227509318,dqn,2.463039297012074,2.37178932728327,-0.4272001164063604,0.957905846622632,99.46929426978372,0,synthetic,615
268333670,dqn,18.18091346802248,18.09165505725733,0.4225125105015234,0.2515122244310617,99.32597526506744,0,synthetic,615
303740759,dqn,42.31478588801838,42.30782962665388,0.117951357469916,0.2962000000000002,99.58584864253012,0,synthetic,615
309215797,dqn,9.252927378076492,6.473094902365183,2.3578941773164077,0.782481287118686,96.85962453556492,0,synthetic,615
323197707,dqn,64.67027830178449,64.54259649553957,0.5053351486784208,0.0979142394063558,99.3967506119152,0,synthetic,615
350402779,dqn,31.984167202581375,31.730675171037724,0.7120281336346914,0.1896405555889395,99.09833131077636,0,synthetic,615
356954267,dqn,43.999520092835155,43.95724477226117,0.2907759294507975,0.2767999999999994,99.43242407054922,0,synthetic,615
361761065,dqn,37.17157390274588,37.17119354322547,0.0275811355967893,0.0817435276334919,99.89067533676976,0,synthetic,615
385332263,dqn,-17.98256301240326,-17.98262182547504,0.010845558702044,0.720000000000001,99.26915444129796,0,synthetic,615
389603938,dqn,46.36623513112863,46.21115770546133,0.556915479525038,-0.1170675069189743,99.56015202739395,0,synthetic,615
396575567,dqn,44.73001122269488,44.61613748318094,0.4772289587062838,0.3383999999999997,99.18437104129372,0,synthetic,615
425407835,dqn,44.65103962217472,44.558212730196985,0.4308756014854822,0.2574999999999976,99.31162439851452,0,synthetic,615
444732558,dqn,17.312213885812525,17.277840619903852,0.2621955983943008,0.671600000000011,99.06620440160567,0,synthetic,615
449245545,dqn,51.83247056118489,51.69497284383244,0.5244000712289232,0.4454000000000011,99.03019992877108,0,synthetic,615
449593739,dqn,29.11877011663819,29.11869147591518,0.0125411899760414,0.9760000000000038,99.01145881002395,0,synthetic,615
451288657,dqn,63.65477796384039,63.550271486969336,0.4571793452706589,0.099599999999999,99.44322065472932,0,synthetic,615
453402989,dqn,35.0672313062114,34.98999583388733,-0.3930279184080196,0.7049000000000107,99.688127918408,0,synthetic,615
459302025,dqn,3.306251120937304,3.1047802244162774,0.6347769632257091,0.3010507997219921,99.06417223705228,0,synthetic,615
475919068,dqn,35.90136185579104,35.77166763697875,0.5093019120566676,0.3820000000000078,99.10869808794332,0,synthetic,615
522928946,dqn,97.861020557124,97.50792069805088,0.8403568992673631,0.0515999999999991,99.10804310073264,0,synthetic,615
553623364,dqn,56.246752243690935,56.18985645462133,0.3373300729837447,0.3677999999999908,99.2948699270163,0,synthetic,615
582179270,dqn,3.274716673491639,3.2620461725454133,0.15918857337275,0.352300000000001,99.48851142662728,0,synthetic,615
603013079,dqn,65.24637492695001,65.23609347776403,0.1433976930496573,0.4210999999999948,99.43550230695033,0,synthetic,615
612614785,dqn,5.776117074159629,5.64741342610429,0.5073532261754898,0.2063000000000017,99.28634677382448,0,synthetic,615
622236922,dqn,52.34648661981009,52.2770952096769,-0.3725356630799064,0.3736000000000066,99.99893566307992,0,synthetic,615
629899046,dqn,80.59625572404548,80.50336240971502,0.43102973059977,0.0861999999999994,99.48277026940023,0,synthetic,615
707844845,dqn,12.873280724707,12.446029466191836,0.9243930533221963,-0.0141787349547948,99.0897856816326,0,synthetic,615
722474854,dqn,43.809441379058626,43.72906945708161,0.4009287267757623,0.1235886820110939,99.47548259121314,0,synthetic,615
732692615,dqn,32.37152622695248,32.364805530247295,0.1159370234669222,0.1956999999999943,99.6883629765331,0,synthetic,615
744804721,dqn,62.00038974225208,61.920142477848835,0.4006176840910774,0.2985110182098528,99.30087129769908,0,synthetic,615
789187642,dqn,34.68373328728558,34.67785462888993,-0.1084311615324921,0.8620000000000173,99.2464311615325,0,synthetic,615
851507639,dqn,77.31011377390132,77.25112883924676,0.3434674210301932,0.3129895300961914,99.34354304887364,0,synthetic,615
864111288,dqn,92.05658819391827,81.93011099837912,4.500328253703094,0.2054000000000009,95.29427174629691,0,synthetic,615
865924799,dqn,20.685767319208026,20.68458522077286,0.0486230076232295,0.3927657037502962,99.55861128862648,0,synthetic,615
870942306,dqn,67.28187912114299,67.08784144062575,0.6229569495835707,0.1875954591994153,99.18944759121705,0,synthetic,615
874551896,dqn,68.86967670835256,68.85077500771008,0.1944309679164793,0.2101234511469064,99.59544558093664,1,synthetic,615
905308394,dqn,36.892171445500935,36.63496219942473,-0.7172297345707427,0.8499999999999935,99.86722973457078,0,synthetic,615
962972765,dqn,68.98597296017579,68.94863587876569,0.2732657366378023,0.2719999999999978,99.45473426336218,0,synthetic,615
965465730,dqn,38.88570196441833,38.88119287529478,-0.0949640892501295,0.2497999999999982,99.84516408925012,0,synthetic,615
968065134,dqn,25.08109779168626,24.869876887625313,-0.6499552354754127,0.6565000000000055,99.9934552354754,0,synthetic,615
984521277,dqn,42.36210273390134,42.31668421975831,-0.3013918185453167,0.3655999999999963,99.93579181854533,0,synthetic,615
985921782,dqn,42.15392439534662,42.15090229575778,0.0777444478897089,0.006426201798193,99.91582935031208,0,synthetic,615
994774750,dqn,20.376097648315408,20.365788258213023,0.1435924099831516,0.342344248666009,99.51406334135086,0,synthetic,615
997980576,dqn,-3.876976931447643,-3.89368628562311,-0.1828078454304765,0.4182999999999988,99.76450784543049,0,synthetic,615
1001532050,dqn,17.222457367941388,17.21054871918656,-0.1543285375737746,0.5184000000000133,99.63592853757376,0,synthetic,615
1008287579,dqn,36.461667349838535,36.33169643956457,0.5098448985210484,0.3531578318462199,99.13699726963272,0,synthetic,615
1039067522,dqn,-7.399313097925187,-7.400065800629303,-0.0387995542272247,0.2395687874124241,99.79923076681482,0,synthetic,615
1064960827,dqn,56.95451834248888,56.950904592504315,0.0850147044289081,0.2829999999999951,99.63198529557108,0,synthetic,615
1094560733,dqn,45.59697496485569,45.37741284382036,-0.6626645018941829,0.7759979479135647,99.8866665539806,0,synthetic,615
1103201918,dqn,45.08424693348388,44.92400927682577,0.5661053906440208,0.3338999999999907,99.099994609356,0,synthetic,615
1107442890,dqn,69.59570408952823,69.57504936816464,-0.2032472453126058,0.2740870747590617,99.92916017055356,0,synthetic,615
