episode,pnl,objective,training_return,replay_return,potential_adjustment,loss_clob,grad_norm_clob,loss_auction,grad_norm_auction,setting,policy,clob_shaping,auction_shaping
0,-2.459140204200956,-2.9564947152583665,-3.3958347152573687,-3.395834715257371,0.0,,,,,synthetic,dqn,,
1,14.271089893701353,14.222739536881464,17.297244536876917,17.297244536876907,0.0,,,,,synthetic,dqn,,
2,4.76044331914818,4.673018889586288,5.946982886212854,5.946982886212842,0.0,,,,,synthetic,dqn,,
3,18.948373374535368,18.665541160824127,24.834781160827568,24.834781160827575,0.0,,,,,synthetic,dqn,,
4,7.150259626745537,6.86503904137117,6.001791013959787,6.001791013959787,0.0,,,,,synthetic,dqn,,
5,22.538023194452396,22.361628586306463,23.948657665590805,23.948657665590797,0.0,,,,,synthetic,dqn,,
6,-20.605109896502835,-21.118469060971723,-25.91713781590078,-25.917137815900777,0.0,0.0039960579248145,0.0335495031438767,,,synthetic,dqn,,
7,27.46637938582753,27.05076814627744,27.49252814627544,27.492528146275447,0.0,0.0031905155903607,0.017888182245739,,,synthetic,dqn,,
8,4.49012734648495,4.459356782986517,7.354223477884421,7.354223477884424,0.0,0.0025889333128594,0.0150498404072072,0.0064867692999541,0.0503559038043022,synthetic,dqn,,
9,-9.461218208221908,-9.51082135294,-9.80905741361346,-9.80905741361346,0.0,0.0023806104436516,0.0155019416180375,0.0055731607762237,0.0400098972022533,synthetic,dqn,,
10,9.861222797000664,9.672431940107248,8.794185605755102,8.79418560575511,0.0,0.0025253719992606,0.0167922103325562,0.0055917777712098,0.0479364553108238,synthetic,dqn,,
11,-13.642987042768802,-13.95351986083337,-13.141176834775868,-13.14117683477586,0.0,0.00276660973271,0.0186389320046652,0.0050335340560055,0.0435932601372209,synthetic,dqn,,
12,9.773155745498656,9.392227920911798,9.277001703688711,9.277001703688718,0.0,0.0025156169902839,0.0192645337267578,0.0044753624914357,0.043113706060327,synthetic,dqn,,
13,7.360987409479275,7.292818775736718,5.900285381950125,5.900285381950119,0.0,0.002377800254889,0.0197158867263464,0.004403773525085,0.0536805028095841,synthetic,dqn,,
14,18.91823908640726,18.825273345995967,18.765063345996477,18.765063345996474,0.0,0.0021711006620301,0.0185648607066235,0.0031950568529562,0.0368724284120477,synthetic,dqn,,
15,22.74801265102724,22.747438843213455,21.342512195838804,21.342512195838793,0.0,0.0019805356028622,0.0201850000514902,0.002659859695436,0.0448409010154696,synthetic,dqn,,
16,13.814651823040547,13.456219631571136,12.545712392615204,12.545712392615208,0.0,0.0018489857312912,0.0155887907433013,0.0023640064218153,0.0339990000312144,synthetic,dqn,,
17,5.576400476029086,5.229766500559436,5.089486500561569,5.0894865005615735,0.0,0.0017123128836081,0.0166805847739316,0.0020174962298299,0.0260609114685883,synthetic,dqn,,
18,9.08325712798614,9.078836048351008,11.480036048352405,11.48003604835239,0.0,0.001526611383589,0.0182423296422269,0.0020605725988459,0.024578709477702,synthetic,dqn,,
19,-9.3421925204646,-9.39613840609438,-9.476771949509343,-9.476771949509349,0.0,0.0014850514764874,0.0185981923600704,0.0018308133227177,0.0278259416540654,synthetic,dqn,,
20,17.888742609593464,17.72209053326566,14.163547769677749,14.163547769677772,0.0,0.0013456160992478,0.018063881841217,0.0015312172338151,0.0234290815782375,synthetic,dqn,,
21,14.741087165647691,14.733674353530716,14.245055589084672,14.245055589084677,0.0,0.0011935988799924,0.0154634569835377,0.0013763600414117,0.0245725282897742,synthetic,dqn,,
