setting,seed,policy,episodes,selected_episode,pnl,objective,objective_ci_low,objective_ci_high,difference_as,difference_ci_low,difference_ci_high,inventory,inventory_rms,auction_qty,cancels,auction_gain,auction_gain_ci_low,auction_gain_ci_high,opening_inventory,auction_pnl_gain
synthetic,615,dqn,128,150,44.9807985416293,42.24756922055038,35.510898087109126,48.08879851619016,1.2247742625330027,-3.832881138240551,4.510573059857922,0.5144623109067272,2.3380459024916136,0.32613408978496594,0.0078125,0.3154846236638354,0.1756157533780479,0.5152978662957546,0.8405964006916932,0.09912706361494061
synthetic,615,as,128,0,41.38016775387602,41.022794958017386,37.52012182412576,44.33574150966187,0.0,0.0,0.0,0.6121220380580153,0.8454262781090296,0.0033992842411315694,0.0,,,,,
synthetic,615,twap,128,0,4.9719526896284805,2.850738489823689,-2.1263343149645135,7.575089873165122,-38.17205646819369,-40.88804400697742,-35.581091915536796,1.1927711092822966,2.0597156113428823,0.0047516990883085496,0.0,,,,,
synthetic,615,ddpg,128,120,49.573496373769686,43.180014325659094,30.589240915568364,51.181140362763244,2.1572193676417166,-9.441301523325539,8.708722872783536,-0.032082181174666075,3.575886476976189,0.9363473965521747,0.0,0.42091253324877487,-0.02619373947869378,1.0986882577496224,0.9042652153775086,0.018777721566422753
synthetic,615,td3,128,150,49.10117124801187,47.298530612474366,41.59391310286408,52.426188404295914,6.275735654456984,2.491297081004887,8.805153677589264,-0.2037904617928706,1.8987578231767772,0.9409927271742374,0.1953125,0.13045553115686434,-0.19586271302374778,0.526511839679643,0.7372022653813668,-0.1039531310633007
synthetic,615,sac,128,90,52.11026731024678,45.663638592901265,36.16227421020678,53.13356248258789,4.640843634883877,-3.8860323585340795,10.555736472627677,0.26405134421225207,3.5907182338205064,0.8528746547794818,0.0,0.5933226598359304,0.12692379990257943,1.1780374630996244,1.1169259989917337,0.009142700028036303
historical_MSFT,616,dqn,128,90,41.95126842203491,20.367854947041952,2.7669902619693865,35.01881596118733,-13.045008283540438,-29.802772497222243,0.7637171568719024,1.9876974772727394,6.570146646003109,0.2315160024470234,0.421875,-0.3054662763935614,-0.8652702531470801,0.15246532795627998,2.2192134797197625,-0.5590476681593489
historical_MSFT,616,as,128,0,34.3537764517899,33.41286323058239,29.61648220461999,36.994369465441636,0.0,0.0,0.0,0.7140716050825605,1.3717967934118445,0.005389478586694278,0.0,,,,,
historical_MSFT,616,twap,128,0,0.1195879170098948,-2.460536590704848,-6.2849867056788415,1.2005580688397117,-35.87339982128724,-37.66169001453794,-34.11984440219614,1.244619255387963,2.271618149123986,0.004165019051458654,0.0,,,,,
historical_MSFT,616,ddpg,128,180,28.28103337233395,28.111218120245155,25.047314250268727,30.96231369558664,-5.30164511033723,-6.90246526259763,-3.5657717654680665,-0.48406255088206573,0.5827782633022488,0.9752155784771412,0.0,-0.07243686221468043,-0.20935040758975873,0.051212302581726495,0.49115302759507545,-0.06017654269021469
historical_MSFT,616,td3,128,180,39.00192580700278,37.935211028629126,33.413184911341126,42.100844731775176,4.522347798046736,2.5745252594173724,6.270371334270708,-0.2330014210875542,1.460626426143011,0.9752155784771412,0.0,0.16356238123181513,-0.08272479340998794,0.4543190362385334,0.7422141573895871,-0.060176542690285884
historical_MSFT,616,sac,128,180,21.377027238174165,21.253487632263138,18.474237957234934,24.080144687386415,-12.15937559831925,-13.585021790147092,-10.576159271742647,-0.3429214172979941,0.497070630617072,0.8092504313169835,0.0,-0.03443201575220575,-0.15057982432306655,0.06421900322466485,0.46632901401898935,-0.05847591088530621
