algo,seed,headline_bps,difference_bps,economic_dense_bps
dqn,42,3.1596619935723824,-0.0343669663777272,3.1940289599501104
dqn,7,4.8947048345719,-0.36298970014039644,5.257694534712297
dqn,99,5.197729898880851,0.023151318707024745,5.174578580173826
dqn,123,1.6536467439448401,0.13961955505331064,1.5140271888915282
dqn,2024,5.3566203662681255,-0.09721696635697111,5.453837332625097
dqn,314,10.229166227166989,0.2920296980902372,9.937136529076751
dqn,577,4.070692484146972,0.6435931950993243,3.427099289047648
dqn,811,0.267731429751789,-2.0392109889455554,2.306942418697345
dqn,1618,3.825660447746853,1.76846540044617,2.0571950473006835
dqn,2718,3.279571661461502,-0.4745867583444985,3.754158419806001
ddpg,42,2.9302314518715478,0.23928251448832355,2.6909489373832236
ddpg,7,4.325809080945487,0.029576127570310362,4.296232953375178
ddpg,99,5.861639810666925,0.21850120597876113,5.643138604688165
ddpg,123,-0.0155856244856877,-2.0932376396266226,2.0776520151409357
ddpg,2024,4.905400870645909,-1.0336945291444213,5.9390953997903315
ddpg,314,10.900300454496518,1.068723132646102,9.831577321850418
ddpg,577,4.461592846413805,1.110231737507017,3.3513611089067883
ddpg,811,0.134336790373349,-0.15451160713774764,0.28884839751109626
ddpg,1618,4.560057546776507,0.055973632641009186,4.5040839141354985
ddpg,2718,2.2850867356457885,0.9274681107752404,1.357618624870547
td3,42,3.5471203716545245,0.0313222190390471,3.5157981526154765
td3,7,4.4940903705975614,-0.11531929418521131,4.609409664782773
td3,99,6.996689516714322,-0.14020849528566182,7.1368980119999845
td3,123,1.36662156268602,0.28932400436122563,1.077297558324795
td3,2024,6.38451833248928,-0.1127264282691711,6.497244760758451
td3,314,10.605244915226676,0.09706114249196743,10.50818377273471
td3,577,2.6338804187622054,-0.6812386890728773,3.315119107835082
td3,811,0.29719392784111043,-0.3918303651001708,0.6890242929412815
td3,1618,4.770248628754231,0.26117248334270626,4.509076145411525
td3,2718,2.9444181595440493,-0.42067702040351107,3.365095179947561
sac,42,2.058614383356278,0.03708221831732064,2.0215321650389573
sac,7,5.2598275348328665,-0.04070165211338193,5.300529186946246
sac,99,5.621469688061483,-0.19412508129111092,5.815594769352595
sac,123,2.859815508881716,-0.3648524442741132,3.2246679531558295
sac,2024,5.76617789179541,-0.1360591703847587,5.902237062180168
sac,314,11.270299788640255,-0.00992175818767461,11.280221546827931
sac,577,3.8656965932675194,-0.13934804096818684,4.005044634235707
sac,811,1.8063736460588922,-0.22150880095159123,2.027882447010484
sac,1618,3.17699372773489,-0.6315270648254426,3.8085207925603326
sac,2718,3.705587756102237,0.07048577325551773,3.635101982846719
