algo,headline_bps,difference_bps,ci_low,ci_high,training_seeds,economic_dense_bps
dqn,4.193518608751221,-0.0141512212769082,-0.5994879819182767,0.5300668484884234,10,4.207669830028129
ddpg,4.034886996335016,0.03683126856979722,-0.5970837023158949,0.5684116399354161,10,3.9980557277652182
td3,4.404002620426999,-0.11831204430816569,-0.3075362985951015,0.056029967928791155,10,4.522314664735164
sac,4.5390856518731555,-0.16304760214234215,-0.2981523732988233,-0.050214736747462706,10,4.702133254015497
