symbol,date,initial_raw_price,annual_realized_vol,horizon_return_bps
CAT,2026-08-03,824.4549999999999,0.19133773680631555,68.28753540217613
CAT,2026-08-04,883.8599999999999,0.25765531804936603,27.040481524225335
CAT,2026-08-05,890.885,0.13861009778319255,-49.38909062336849
CAT,2026-08-06,869.4449999999999,0.18624182374119808,-47.50156709164899
CAT,2026-08-07,844.675,0.17811095798681553,-1.5390534821080326
CAT,2026-08-10,838.9549999999999,0.12505649422241402,19.48853037409659
CAT,2026-08-11,845.7650000000001,0.11235010336716343,-17.853659113348243
CAT,2026-08-12,866.7850000000001,0.1735860777291878,-96.27531625489682
CAT,2026-08-13,863.69,0.15284140488550743,-91.9311326980754
CAT,2026-08-14,858.11,0.1270389147171264,-17.24720606915198
PG,2026-08-03,144.39,0.12208571255351852,3.8091280559604535
PG,2026-08-04,147.11,0.10151508674094123,54.38107538576542
PG,2026-08-05,146.18,0.0972624689827545,28.389656587770595
PG,2026-08-06,145.515,0.11837655621938137,31.611861320142154
PG,2026-08-07,145.55,0.08260072533183119,3.091721058054997
PG,2026-08-10,145.81,0.08239846784052236,-12.34483231602801
PG,2026-08-11,144.745,0.09627037924350008,19.68979930222048
PG,2026-08-12,144.47500000000002,0.08049348754312158,-2.4225644575204264
PG,2026-08-13,144.14499999999998,0.06759075639063462,19.771757605191453
PG,2026-08-14,144.26999999999998,0.06179974583960883,23.220350731270045
GOOGL,2026-08-03,374.735,0.13754777887400205,-12.675624107703065
GOOGL,2026-08-04,377.595,0.12441040573081866,30.455911757305554
GOOGL,2026-08-05,362.42,0.2274520968850592,-16.27945477622683
GOOGL,2026-08-06,357.84000000000003,0.1148801427561849,-19.980997093673736
GOOGL,2026-08-07,354.815,0.09751274699060011,12.541747107648327
GOOGL,2026-08-10,354.725,0.09809483838621302,14.659243075620942
GOOGL,2026-08-11,346.93,0.12948281153828087,-75.6636785518705
GOOGL,2026-08-12,342.58000000000004,0.1400846684076183,39.698756494832566
GOOGL,2026-08-13,345.685,0.09089508938771107,13.740833417705822
GOOGL,2026-08-14,344.755,0.08028120742412785,16.098388710823475
JPM,2026-08-03,351.275,0.096757011421315,7.5439470500326955
JPM,2026-08-04,360.125,0.10817737846761909,-41.09684137452274
JPM,2026-08-05,360.105,0.09353471204358199,-7.081267963510163
JPM,2026-08-06,355.09000000000003,0.09792484303485177,36.61043679067166
JPM,2026-08-07,357.745,0.06762014427400494,19.427245663810044
JPM,2026-08-10,357.395,0.07037926202369509,27.700443486897708
JPM,2026-08-11,362.16,0.08140729073851183,3.313452617625945
JPM,2026-08-12,365.095,0.07225742203701639,8.764842027417785
JPM,2026-08-13,363.02,0.094163016997125,11.294143573357118
JPM,2026-08-14,362.83,0.07563921689594327,-1.1024446710572455
MSFT,2026-08-03,489.105,0.1709539567611536,19.218777154190736
MSFT,2026-08-04,495.275,0.12743323238328472,31.093836757356552
MSFT,2026-08-05,488.3049999999999,0.1736165782118298,32.45922118348288
MSFT,2026-08-06,496.42,0.12701424900082908,50.05841827484758
MSFT,2026-08-07,499.735,0.1258384892223898,28.8152720942092
MSFT,2026-08-10,508.315,0.11442117486494618,-78.49463423270753
MSFT,2026-08-11,502.605,0.10143389863208402,6.068383720814197
MSFT,2026-08-12,493.21,0.11593701128776554,21.390482755825335
MSFT,2026-08-13,494.49,0.16180709781738106,53.89391089809736
MSFT,2026-08-14,495.765,0.08152156897774408,-8.169193065262759
synthetic,0,100.0,0.1249778596482791,52.065238381557855
synthetic,1,100.0,0.13465111705906416,37.52458196422781
synthetic,2,100.0,0.09531573624310838,59.60334294100811
synthetic,3,100.0,0.13468309966304115,37.920410440797085
synthetic,4,100.0,0.19508321496545816,-57.19646104730636
synthetic,5,100.0,0.1384842410909467,-58.726176172300136
synthetic,6,100.0,0.11756541914676279,-4.4487967215645075
synthetic,7,100.0,0.09153018169930696,-40.35743552413762
synthetic,8,100.0,0.2545091027805466,-94.4080919797341
synthetic,9,100.0,0.21176795160696524,-11.753090550594703
synthetic,10,100.0,0.1570714836854481,-34.5506350735969
synthetic,11,100.0,0.1528655018413869,-43.78912730172324
synthetic,12,100.0,0.09645950168008073,45.95254610986643
synthetic,13,100.0,0.14214943687005585,81.08245812240567
synthetic,14,100.0,0.20300459807942695,-67.74688870894164
synthetic,15,100.0,0.11495178309451082,-7.534569053251339
synthetic,16,100.0,0.11241786229324066,6.259446641951882
synthetic,17,100.0,0.11738743846505817,18.702457046309018
synthetic,18,100.0,0.08643234053352306,-3.33558959203617
synthetic,19,100.0,0.19016382867717999,3.7236538464502367
synthetic,20,100.0,0.10061560989420958,18.240250997971774
synthetic,21,100.0,0.19351636988153673,-30.746262036920324
synthetic,22,100.0,0.15345466455553608,3.4068878061055408
synthetic,23,100.0,0.2513675613847773,-100.9709501180378
synthetic,24,100.0,0.07552269469099195,-8.879603068006059
synthetic,25,100.0,0.16293875187169785,5.230686314370292
synthetic,26,100.0,0.06595622175736696,31.02937341675549
synthetic,27,100.0,0.10302940998955643,42.94252799878162
synthetic,28,100.0,0.0798489133959594,38.87527912894262
synthetic,29,100.0,0.06997768129283295,34.25552949704702
synthetic,30,100.0,0.1660182038115513,-82.90565399925897
synthetic,31,100.0,0.16965314714872554,50.732928577164046
synthetic,32,100.0,0.09844644441403352,10.044080687920953
synthetic,33,100.0,0.10763675636222698,-15.7389282687459
synthetic,34,100.0,0.16989893345778262,-76.92297496403322
synthetic,35,100.0,0.14902475156877598,-14.757547635533275
synthetic,36,100.0,0.21548405765686238,-79.58897506760931
