algo,seed,arm,objective,pnl,penalty,openI,closeI,short,auc,auccash,initial_test,as_score
dqn,42,headline,4.381946094012426,5.399103385409064,1.0171572913966376,7.039597852662432,7.276825500268917,16.0,0.26866527487116554,0.17170433143541217,-55.86755283385787,-1.7290490843505832
dqn,42,cashflow,3.681513143881004,3.9951951154017444,0.31368197152074107,2.549336419997023,3.0251164568927766,24.0,-0.36288421788717884,-0.2913586087244313,-55.86755283385787,-1.7290490843505832
dqn,7,headline,2.8488503965028524,3.2079771516876248,0.3591267551847723,2.3617642922486453,3.2655852926016258,30.0,0.01615552666698932,0.05437404402192505,-103.95621988277657,-1.2226663993279123
dqn,7,cashflow,1.362679878233639,1.5236860549515097,0.16100617671787124,1.912857557467319,1.647467541580224,23.0,-0.389693169482762,-0.4002363244354408,-103.95621988277657,-1.2226663993279123
dqn,99,headline,6.89528659519842,8.554228938925386,1.6589423437269633,8.334786210077914,8.346976485610414,20.0,-0.13192514339205116,-0.1552828341933964,-48.39348369621293,5.59211629802852
dqn,99,cashflow,1.1700244095521297,12.377696772240563,11.207672362688434,27.123432412112347,27.34409468315605,0.0,-0.549831882302251,-0.4279723400573187,-48.39348369621293,5.59211629802852
dqn,123,headline,5.228940115761717,6.680378982744278,1.4514388669825633,6.321341670505192,7.300684594651309,13.0,0.0010366706375222546,-0.010166757904791658,-4.293224466702027,3.821722331132446
dqn,123,cashflow,4.718207967294819,5.999041223289379,1.2808332559945592,5.847683868503562,5.716083580409849,6.0,-0.37815546928474303,-0.39849979074348896,-4.293224466702027,3.821722331132446
dqn,2024,headline,0.18913358007976921,1.9717693813731278,1.7826358012933587,8.932693688104518,8.286262452648854,11.0,0.7412958035982679,0.04729561350124993,-43.56564676974185,-2.37672884628564
dqn,2024,cashflow,-16.472161654593148,2.739770642316117,19.211932296909268,26.721723033843805,38.91126389573552,2.0,-9.760214941923325,-1.102054275714539,-43.56564676974185,-2.37672884628564
dqn,314,headline,6.445495534360921,8.367212253972507,1.9217167196115867,12.07077169727575,9.647135120619689,17.0,1.0180981337214319,-0.2755533678039285,-0.16294796514185905,2.226787834773797
dqn,314,cashflow,1.8853151799799124,8.072183754727796,6.1868685747478835,18.36437099292388,18.759778425180457,20.0,-0.3438587051953468,-0.39088435523932125,-0.16294796514185905,2.226787834773797
dqn,577,headline,3.8736736013281323,4.621366200326937,0.7476925989988069,4.689564453423998,5.147241930352797,8.0,-0.04372838071007961,-0.07996005334686623,-38.39920316090223,0.9988444834958614
dqn,577,cashflow,1.442264557689237,1.5286409231004676,0.08637636541123186,1.2954370514293492,1.3600872909324868,10.0,-0.2871706463635319,-0.2882496336562125,-38.39920316090223,0.9988444834958614
dqn,811,headline,1.6811670956278602,2.2658874076086586,0.5847203119807977,4.445301703606573,4.829136276648918,24.0,-0.04109120457309626,-0.06706488899707672,-9.35556774233337,-2.742795168677068
dqn,811,cashflow,-1.1054217585420996,-1.0276792446250156,0.07774251391708463,0.90159132930934,1.0281742717929885,46.0,-0.39349370234010983,-0.35094407765967645,-9.35556774233337,-2.742795168677068
dqn,1618,headline,2.8892367123125444,3.6044909499746103,0.715254237662066,4.0946580190367206,4.493866511417175,18.0,-0.03954950532248922,-0.046073722669946963,-24.189210586174767,2.583783287653946
dqn,1618,cashflow,2.6619045461465567,2.689569476696917,0.02766493055036139,0.7596788382623713,0.595543593154363,21.0,-0.373998454666518,-0.37162659465022974,-24.189210586174767,2.583783287653946
dqn,2718,headline,-1.7304080729221745,-0.7463195954009152,0.9840884775212595,5.702186328276563,6.234456684299746,7.0,0.03190061210264414,0.047350146806531136,-20.789804482661513,-5.9426175002824815
dqn,2718,cashflow,-2.3226271087599937,-2.24661022075805,0.07601688800194319,1.2642587219282637,1.3861459738283235,6.0,-0.2045960635049044,-0.20544345701507527,-20.789804482661513,-5.9426175002824815
ddpg,42,headline,3.2775682664501824,4.323391299785896,1.0458230333357101,4.895365051249331,6.2493731792895755,33.0,-0.05305115587873008,-0.10512712535417186,2.299428190973421,-1.7290490843505832
ddpg,42,cashflow,2.2204992945878472,2.3058247439448087,0.08532544935696157,0.5794863464876449,1.6567181111267748,43.0,-0.38356762791266363,-0.30245752368804096,2.299428190973421,-1.7290490843505832
ddpg,7,headline,2.945413677227973,3.5319196974239206,0.5865060201959476,5.159483919638862,4.892700950507182,49.0,0.8687663975809673,0.5493336225190592,0.6846308364923679,-1.2226663993279123
ddpg,7,cashflow,0.695851139596909,0.7918005558202873,0.09594941622337791,1.014998911798856,1.1674023266985736,8.0,-0.11390514299899626,-0.10916056846628573,0.6846308364923679,-1.2226663993279123
