stratum,paths,auction_value,auction_value_se,price_edge,risk_relief,fees,absolute_inventory_change
"(-0.001, 1.0]",322,-0.5271648222624175,0.09480268476934864,-0.24372274053376963,-0.24559736123175338,0.03784472049689441,2.279395193672486
"(1.0, 5.0]",29,0.03152416178851402,0.07571139479555981,0.11963214661998386,-0.00190108827974574,0.08620689655172414,-0.2779641191849066
"(5.0, 10.0]",37,0.26163524287098855,0.13793791007023923,0.15396806644441652,0.16153204129143686,0.05386486486486486,-1.7829942286255471
"(10.0, 20.0]",65,0.40097709051265845,0.09125772073486885,0.021986057275001906,0.44132949477611805,0.06233846153846153,-1.7448566606699896
"(20.0, inf]",59,0.9708472483347313,0.5947795486149082,-0.16411448736073417,1.2131651255259739,0.0782033898305085,-2.93398809647799
