env_seed,pnl,objective,opening_inventory,final_inventory,price_edge,risk_relief,fees,auction_value,absolute_inventory_change
1125217916,-98.00141697692924,-119.92630841588276,33.096950915167426,46.82402314939791,-15.374320902338214,-10.970809840143495,0.0,-26.345130742481707,13.727072234230484
1695559284,-6.813953370390664,-8.868906604548952,0.815108071299278,14.33510807129925,-10.139999999999986,-2.0483092224793165,0.0,-12.188309222479305,13.519999999999971
1351035726,-9.72963314158369,-15.365953557285016,0.2209359876580947,23.74093598765922,-6.350400000000208,-5.635832288594903,0.0,-11.986232288595112,23.520000000001126
1551711768,-26.957847438652607,-29.254028466050418,0.7671406561612883,15.153154877443198,-8.91932881719485,-2.29029597953445,0.0,-11.2096247967293,14.38601422128191
551290549,4.997412588989391,-1.81571947666019,0.2069770623781295,26.101977062378975,-1.8126499999998813,-6.812703670606075,0.0,-8.625353670605955,25.895000000000845
20498688,-3.6038339991791872,-5.349677551829055,0.9530406440463112,13.213037321713232,-6.62039820594004,-1.736760687957826,0.0,-8.357158893897866,12.259996677666921
300735265,-24.76814131962965,-33.634566875516654,20.459043714620307,29.77654371462041,-3.633825000000052,-4.680700858719556,0.0,-8.314525858719607,9.317500000000102
1710156765,-2.9505086438020953,-5.668788368793225,0.848460714148743,16.48720632791113,-5.317173508679034,-2.711080869156591,0.0,-8.028254377835626,15.638745613762389
422535859,-6.820562275879638,-8.846975993861465,0.1611242125891152,14.235215902759702,-5.207413925363173,-2.0261541078630025,0.0,-7.233568033226176,14.074091690170587
1601489464,-16.840519135294016,-18.61850691572579,0.5035020829842978,13.33412082003074,-5.388859869559522,-1.775452636956077,0.0,-7.164312506515599,12.830618737046443
2018299534,26.076191453999854,22.907339172291053,0.5921895576186103,-17.80127040890285,-2.2072151959826605,-3.1653453969872776,0.0,-5.372560592969938,17.20908085128424
1377232363,0.4086583359276119,-0.6323705746265367,0.7489025322520888,10.20308242911988,-4.254380953590525,-1.0354203605260126,0.0,-5.289801314116538,9.45417989686779
