run,seed,policy,episodes,selected_episode,pnl,objective,inventory,auction_qty,clob_qty,cancels,opening_inventory,auction_objective_gain,auction_pnl_gain
ddpg_deadline_history_msft,616,as,128,0,34.3537764517899,33.41286323058239,0.7140716050825606,0.005389478586694278,99.28053891633074,0.0,0.719461083669259,,
ddpg_deadline_history_msft,616,ddpg,128,180,29.34918043913359,29.170062352401803,-0.4917914034481025,0.9752155784771412,99.51657582497097,0.0,0.4834241750290289,-0.07922006418025582,-0.06017654269025771
ddpg_deadline_history_msft,616,twap,128,0,0.1195879170098948,-2.460536590704847,1.244619255387963,0.004165019051458654,98.75121572556057,0.0,1.24878427443943,,
ddpg_deadline_synthetic,615,as,128,0,41.38016775387602,41.022794958017386,0.6121220380580153,0.0033992842411315694,99.38447867770086,0.0,0.6155213222991449,,
ddpg_deadline_synthetic,615,ddpg,128,120,51.110033380789474,39.77576992551029,0.8508601807198324,0.9343012110323747,98.21483860824779,0.0,1.7851613917522116,1.2681505477627262,0.002323018589521827
ddpg_deadline_synthetic,615,twap,128,0,4.9719526896284805,2.8507384898236894,1.1927711092822966,0.0047516990883085496,98.8024771916294,0.0,1.197522808370607,,
ddpg_decay_history,616,as,128,0,34.3537764517899,33.41286323058239,0.7140716050825606,0.005389478586694278,99.28053891633074,0.0,0.719461083669259,,
ddpg_decay_history,616,ddpg,128,150,5.557777703371741,5.392841106453995,-0.4542865334862105,0.9752155784771412,99.47907095500906,0.0,0.5209290449909361,-0.04923507030059651,-0.06017654269031427
ddpg_decay_history,616,twap,128,0,0.1195879170098948,-2.460536590704847,1.244619255387963,0.004165019051458654,98.75121572556057,0.0,1.24878427443943,,
ddpg_decay_v15,615,as,128,0,41.38016775387602,41.022794958017386,0.6121220380580153,0.0033992842411315694,99.38447867770086,0.0,0.6155213222991449,,
ddpg_decay_v15,615,ddpg,128,120,55.39584783861307,47.50204495664647,0.41981086990566074,0.9044815975714323,98.67570753252292,0.46875,1.324292467477079,0.6628614092547221,-0.14273147456952112
ddpg_decay_v15,615,twap,128,0,4.9719526896284805,2.8507384898236894,1.1927711092822966,0.0047516990883085496,98.8024771916294,0.0,1.197522808370607,,
dqn_candidate,615,as,128,0,8.76935978415743,8.430092159390778,0.5668768099601919,0.048644512338955004,99.38447867770086,0.0,0.6155213222991449,,
dqn_candidate,615,dqn,128,120,2.5418592327571132,-5.110870791239608,-1.153913700008333,1.6769992335043686,99.47691446650397,1.6484375,0.5230855334960296,-11.611443826923873,-4.131576593798093
dqn_candidate,615,twap,128,0,1.019902520383809,-1.0611711527434387,1.1727319581022215,0.0247908502683835,98.8024771916294,0.0,1.197522808370607,,
dqn_proposed_theta,617,as,128,0,8.819912816053616,8.804353642887637,0.45124827874647644,0.07501209691737706,99.47373962433615,0.0,0.5262603756638526,,
dqn_proposed_theta,617,dqn,128,180,2.6966395995062356,2.1746152161684686,-1.2344385227789685,1.7173989946773474,99.51703952810162,0.0703125,0.4829604718983802,-0.8758260319262183,-0.3696457037815208
dqn_proposed_theta,617,twap,128,0,3.421628421391773,3.2174243320125164,0.9682467276433672,0.14477551178300604,98.88697776057363,0.0,1.1130222394263711,,
td3_candidate,615,as,128,0,8.76935978415743,8.430092159390778,0.5668768099601919,0.048644512338955004,99.38447867770086,0.0,0.6155213222991449,,
td3_candidate,615,td3,128,90,7.585418245214342,-38.07473990322801,-7.622847242347964,8.248858598946274,99.37398864340169,0.0,0.6260113565983119,-45.146135616305756,-0.5989181904063655
td3_candidate,615,twap,128,0,1.019902520383809,-1.0611711527434387,1.1727319581022215,0.0247908502683835,98.8024771916294,0.0,1.197522808370607,,
td3_proposed_theta,617,as,128,0,8.819912816053616,8.804353642887637,0.45124827874647644,0.07501209691737706,99.47373962433615,0.0,0.5262603756638526,,
td3_proposed_theta,617,td3,128,150,6.198105744166522,5.693536107603136,1.5573378219456946,-0.9381606239927378,99.38082280204705,1.53125,0.6191771979529506,-4.147920337496836,-3.694870561847555
td3_proposed_theta,617,twap,128,0,3.421628421391773,3.2174243320125164,0.9682467276433672,0.14477551178300604,98.88697776057363,0.0,1.1130222394263711,,
ddpg_clip_final,615,as,128,0,41.38016775387602,41.022794958017386,0.6121220380580153,0.0033992842411315694,99.38447867770086,0.0,0.6155213222991449,,
ddpg_clip_final,615,ddpg,128,120,49.573496373769686,43.180014325659094,-0.03208218117466602,0.9363473965521747,99.0957347846225,0.0,0.9042652153775066,0.4209125332487748,0.018777721566422753
ddpg_clip_final,615,twap,128,0,4.9719526896284805,2.8507384898236894,1.1927711092822966,0.0047516990883085496,98.8024771916294,0.0,1.197522808370607,,
ddpg_historical_clip,616,as,128,0,34.3537764517899,33.41286323058239,0.7140716050825606,0.005389478586694278,99.28053891633074,0.0,0.719461083669259,,
ddpg_historical_clip,616,ddpg,128,180,28.28103337233395,28.11121812024516,-0.48406255088206573,0.9752155784771412,99.50884697240494,0.0,0.4911530275950611,-0.07243686221468044,-0.06017654269021469
ddpg_historical_clip,616,twap,128,0,0.1195879170098948,-2.460536590704847,1.244619255387963,0.004165019051458654,98.75121572556057,0.0,1.24878427443943,,
