date,ticker,spread_bps
2026-08-03,CAT,4.9421705772089775
2026-08-03,PG,2.7643400138211502
2026-08-03,GOOGL,0.8018495997426789
2026-08-03,JPM,2.2731147354674355
2026-08-03,MSFT,1.2277973315871793
2026-08-04,CAT,6.769716800180783
2026-08-04,PG,2.0327269031406403
2026-08-04,GOOGL,0.7924034918588349
2026-08-04,JPM,2.2246322404823027
2026-08-04,MSFT,1.217927898668445
2026-08-05,CAT,5.863052620897068
2026-08-05,PG,1.364349546352535
2026-08-05,GOOGL,1.3778090081156085
2026-08-05,JPM,1.9457145636733195
2026-08-05,MSFT,1.4337945372426733
2026-08-06,CAT,7.183991286513847
2026-08-06,PG,2.051773073898105
2026-08-06,GOOGL,1.1187559433915217
2026-08-06,JPM,2.5276283824591532
2026-08-06,MSFT,1.4013873734996283
2026-08-07,CAT,5.452562704471533
2026-08-07,PG,1.374287088571553
2026-08-07,GOOGL,0.8466564127176134
2026-08-07,JPM,1.67944914068192
2026-08-07,MSFT,1.3993982587486016
2026-08-10,CAT,4.996133943971439
2026-08-10,PG,1.3724010155774535
2026-08-10,GOOGL,0.8460117595642914
2026-08-10,JPM,1.9532067469339727
2026-08-10,MSFT,1.187413417771666
2026-08-11,CAT,4.38339286454729
2026-08-11,PG,1.384178835906307
2026-08-11,GOOGL,0.8721817626802016
2026-08-11,JPM,2.205618813928044
2026-08-11,MSFT,1.5881208559968254
2026-08-12,CAT,6.007046727892125
2026-08-12,PG,1.3842746400893016
2026-08-12,GOOGL,0.8719789562420487
2026-08-12,JPM,1.6447368421053257
2026-08-12,MSFT,1.4176497392535705
2026-08-13,CAT,5.802416126074897
2026-08-13,PG,1.3845621322263921
2026-08-13,GOOGL,0.8669142188372575
2026-08-13,JPM,2.2005831545355146
2026-08-13,MSFT,1.808045803826528
2026-08-14,CAT,5.23794835382976
2026-08-14,PG,0.6936977558871288
2026-08-14,GOOGL,0.8689733080357644
2026-08-14,JPM,1.6536670065871695
2026-08-14,MSFT,1.6135213085666067
