algo,headline_bps,difference_bps,ci_low,ci_high,training_seeds,cashflow_bps
dqn,4.193518608751221,3.529622631723254,1.1022863202966118,6.6445138387234355,10,0.6638959770279669
ddpg,4.034886996335016,3.646976668287035,2.8407990825621683,4.57251411360814,10,0.3879103280479805
td3,4.404002620426999,4.830377018443767,4.033925576680591,5.699532089223914,10,-0.42637439801676813
sac,4.5390856518731555,5.157936178259456,4.07526696620493,6.265886841652445,10,-0.6188505263863021
