algo,seed,headline_bps,difference_bps,cashflow_bps
dqn,42,3.1596619935723824,1.1588896418451204,2.000772351727262
dqn,7,4.8947048345719,1.3141595171195783,3.580545317452323
dqn,99,5.197729898880851,10.280639250731927,-5.082909351851074
dqn,123,1.6536467439448401,1.427685413515715,0.22596133042912447
dqn,2024,5.3566203662681255,14.661809513615246,-9.305189147347118
dqn,314,10.229166227166989,-0.14615210014146635,10.375318327308456
dqn,577,4.070692484146972,0.9044464579629365,3.1662460261840346
dqn,811,0.267731429751789,1.5872720178707782,-1.3195405881189886
dqn,1618,3.825660447746853,3.0420234410567093,0.783637006690144
dqn,2718,3.279571661461502,1.0654531636559956,2.2141184978055053
ddpg,42,2.9302314518715478,5.630686733886657,-2.7004552820151093
ddpg,7,4.325809080945487,4.2475119013133815,0.07829717963210601
ddpg,99,5.861639810666925,2.6119766387501158,3.2496631719168096
ddpg,123,-0.0155856244856877,2.8428083824272368,-2.8583940069129237
ddpg,2024,4.905400870645909,3.7930296846909837,1.1123711859549268
ddpg,314,10.900300454496518,2.4172222147428566,8.483078239753661
ddpg,577,4.461592846413805,3.522474633557041,0.939118212856764
ddpg,811,0.134336790373349,2.9724106466826448,-2.8380738563092938
ddpg,1618,4.560057546776507,6.5929353185976876,-2.0328777718211803
ddpg,2718,2.2850867356457885,1.8387105282217455,0.4463762074240428
td3,42,3.5471203716545245,4.1269195929679485,-0.5797992213134254
td3,7,4.4940903705975614,5.505457416024617,-1.0113670454270558
td3,99,6.996689516714322,6.147585245877079,0.8491042708372438
td3,123,1.36662156268602,3.1677889412500857,-1.801167378564065
td3,2024,6.38451833248928,5.788215829674994,0.5963025028142838
td3,314,10.605244915226676,4.937397899970347,5.6678470152563305
td3,577,2.6338804187622054,3.289028490780439,-0.6551480720182334
td3,811,0.29719392784111043,4.123338057689943,-3.826144129848832
td3,1618,4.770248628754231,7.588230496935125,-2.8179818681808957
td3,2718,2.9444181595440493,3.6298082132670824,-0.6853900537230325
sac,42,2.058614383356278,2.0083917259183237,0.05022265743795444
sac,7,5.2598275348328665,2.8173741987577063,2.4424533360751575
sac,99,5.621469688061483,4.847637813546673,0.7738318745148082
sac,123,2.859815508881716,4.947222672116479,-2.0874071632347624
sac,2024,5.76617789179541,5.882034800382281,-0.11585690858687331
sac,314,11.270299788640255,5.697796995650334,5.572502792989923
sac,577,3.8656965932675194,4.693162369959085,-0.8274657766915635
sac,811,1.8063736460588922,5.632517775907726,-3.826144129848832
sac,1618,3.17699372773489,6.269377041019326,-3.0923833132844374
sac,2718,3.705587756102237,8.783846389336633,-5.0782586332343955
