market,policy,seed,n_episodes,objective_bps,pnl_bps,auction_edge_bps,auction_fees_bps,auction_cash_bps,auction_risk_relief_bps,auction_value_bps,open_abs_inventory_pct,close_abs_inventory_pct,short_probability_pct,gap_dqn_bps,gap_as_bps,gap_twap_bps,gap_initial_bps
CAT,dqn,7,100,11.889987864591458,13.273025667077011,0.04398405458926706,0.06434999999999999,-0.020365945410732937,0.10006256663606089,0.07969662122532796,7.162661131916186,6.963318471989786,9.0,0.0,1.6552538613875465,7.628305661757788,114.40833543624082
CAT,as,7,100,10.234734003203913,14.53043391765068,0.008629333041772061,0.0,0.008629333041772061,0.01516282458490553,0.02379215762667759,14.705598224902921,14.66325909031529,0.0,-1.6552538613875465,0.0,5.97305180037024,
CAT,twap,7,100,4.261682202833672,9.673351077797342,0.010462979269161789,0.0,0.010462979269161789,0.03336429259447199,0.043827271863633784,22.319578676277555,22.240734700204484,0.0,-7.628305661757788,-5.97305180037024,0.0,
CAT,ddpg,7,100,13.709932535108381,14.345875183119382,1.1156168102207884,0.01863999999999998,1.0969768102207886,-0.2378442642425374,0.8591325459782511,2.831726009191409,5.583215937471076,45.0,1.819944670516921,3.475198531904468,9.448250332274709,2.232976399436034
CAT,td3,7,100,13.6082711157211,14.214037073799211,1.072900906459089,0.023499999999999993,1.0494009064590892,-0.35969015282544037,0.6897107536336489,2.114131752043752,5.123891825432059,47.0,1.718283251129641,3.373537112517188,9.346588912887428,2.1977170271185926
CAT,sac,7,100,12.79577398800677,13.380327697912392,1.1309882302496184,0.06774999999999999,1.0632382302496186,0.6156868578816878,1.6789250881313063,5.9451845688787515,5.114074165737562,46.0,0.9057861234153095,2.5610399848028567,8.534091785173096,1.3244120396223418
CAT,dqn,42,100,13.075023796429441,15.347720387419118,0.07081707482890581,0.054899999999999984,0.01591707482890582,-0.02630471775439287,-0.010387642925487075,10.69211572855645,10.98176813472741,3.0,0.0,3.7567538552512985,6.655439631897979,54.15268915359163
CAT,as,42,100,9.318269941178144,16.192589470956808,0.006647239323031783,0.0,0.006647239323031783,0.020883590261017857,0.02753082958404964,19.584458013339948,19.532420184607087,0.0,-3.7567538552512985,0.0,2.8986857766466807,
CAT,twap,42,100,6.419584164531463,12.363971979287289,0.01724023725412334,0.0,0.01724023725412334,0.06491289914781245,0.0821531364019358,23.416714541833986,23.274881730060528,0.0,-6.655439631897979,-2.8986857766466807,0.0,
CAT,ddpg,42,100,15.467300138190431,16.2643282587875,0.6103035584713544,0.0,0.6103035584713544,2.3617981264502204,2.972101684921574,11.361031237926696,5.625967271611605,33.0,2.3922763417609914,6.149030197012291,9.047715973658969,3.2384594510239406
CAT,td3,42,100,14.2686701385412,15.00954782955765,0.43023018241266625,0.0,0.43023018241266625,2.1035836946349806,2.5338138770476473,9.100879298982512,4.629737456529555,37.0,1.1936463421117558,4.950400197363055,7.849085974009735,2.188034039124169
CAT,sac,42,100,13.80515492245879,14.447352372905351,0.6896079874447081,0.0018699999999999993,0.687737987444708,1.3482783079430893,2.036016295387798,7.662036982775562,5.210102086988297,6.0,0.7301311260293438,4.486884981280642,7.385570757927321,1.6248470395272532
CAT,dqn,99,100,13.93805412216226,15.562674214782653,0.06737223438195374,0.06677999999999999,0.0005922343819537407,0.5429452681571394,0.5435375025390932,10.470707073491734,9.035771513867818,10.0,0.0,2.1279629777591174,7.034531226317248,55.81020592827171
CAT,as,99,100,11.810091144403145,18.142338751295974,0.0047041705544278245,0.0,0.0047041705544278245,0.008326966376088082,0.013031136930515906,18.708472036399044,18.681661374543797,0.0,-2.1279629777591174,0.0,4.90656824855813,
CAT,twap,99,100,6.903522895845016,12.57609364329668,0.007241301180161312,0.0,0.007241301180161312,0.022314253273581542,0.029555554453742857,22.81383706106469,22.752306511292876,0.0,-7.034531226317248,-4.90656824855813,0.0,
CAT,ddpg,99,100,17.199142140532643,18.56849012967357,0.40403334616904274,7.000000000000001e-05,0.40396334616904284,1.3702299026666385,1.7741932488356809,11.195665703176923,8.81699253885489,32.0,3.261088018370383,5.389050996129502,10.295619244687632,3.1374325958242064
CAT,td3,99,100,14.67981675267774,14.943156247468982,0.11399085799609378,0.07672999999999998,0.037260857996093806,0.08953878808424959,0.1267996460803434,2.933458115092259,3.480814136731194,21.0,0.7417626305154786,2.8697256082745963,7.776293856832726,1.577677581175475
CAT,sac,99,100,16.825234520152236,17.43814907973244,0.280286675023403,0.025129999999999986,0.25515667502340295,1.4350661676803405,1.6902228427037438,9.221422977110205,5.7197413299098425,41.0,2.8871803979899733,5.0151433757490915,9.92171162430722,3.76663791651579
CAT,dqn,123,100,15.835060532840123,16.626245400920258,0.25350941002585314,0.02520999999999999,0.22829941002585316,0.3469162226301333,0.5752156326559865,5.727172179073128,5.598547908145104,15.0,0.0,1.5967026046533492,8.62883694489012,11.754291327586964
CAT,as,123,100,14.23835792818678,17.62243713387159,0.004163272118337315,0.0,0.004163272118337315,0.005102778851257563,0.00926605096959488,11.18819201288253,11.169477387540276,0.0,-1.5967026046533492,0.0,7.032134340236771,
CAT,twap,123,100,7.206223587950004,13.066756249896772,0.008266638309453194,0.0,0.008266638309453194,0.0281205224851554,0.036387160794608596,22.888130028954194,22.83059128864078,0.0,-8.62883694489012,-7.032134340236771,0.0,
CAT,ddpg,123,100,16.650097918888388,17.86912455207266,0.21228119424489214,0.009369999999999996,0.20291119424489218,2.1251760277763565,2.3280872220212485,11.56831817532689,6.058166278397124,17.0,0.8150373860482659,2.411739990701615,9.443874330938387,2.48326876126513
CAT,td3,123,100,15.686880461501733,16.891989607158592,0.3181081769423573,0.003839999999999999,0.3142681769423573,0.998705371197949,1.3129735481403062,8.046006291882234,7.640373461566254,9.0,-0.14818007133839037,1.448522533314959,8.48065687355173,1.5372675367010473
CAT,sac,123,100,15.892285127918697,16.442339208943434,0.3772075035698996,0.032159999999999994,0.3450475035698996,1.256321397506053,1.6013689010759526,7.364772949384194,4.489842464996969,36.0,0.05722459507857153,1.6539271997319205,8.686061539968692,1.6638553626319845
CAT,dqn,314,100,15.484242144762787,17.773567061099556,0.03578589023971419,0.07361,-0.0378241097602858,0.19043191070373802,0.15260780094345217,10.679945904950614,10.875410399105556,6.0,0.0,3.7095745838954333,8.233953660685975,5.35894812256613
CAT,as,314,100,11.774667560867346,17.818163387044077,0.004011124826279618,0.0,0.004011124826279618,0.0011839673733098509,0.005195092199589469,17.516430005313577,17.495788057130035,0.0,-3.7095745838954333,0.0,4.5243790767905425,
CAT,twap,314,100,7.250288484076807,13.527925546359675,0.009679934785228389,0.0,0.009679934785228389,0.025929620988213192,0.035609555773441576,23.983698364455577,23.914700598850462,0.0,-8.233953660685975,-4.5243790767905425,0.0,
CAT,ddpg,314,100,17.406539344296434,18.312506706539683,0.34193705231983473,0.01696999999999998,0.32496705231983464,1.8960544212165389,2.2210214735363736,10.360834315476636,5.478926296862725,17.0,1.9222971995336493,5.631871783429083,10.156250860219625,3.347985730345064
CAT,td3,314,100,15.727917225116236,16.654750326789337,0.775183872082829,0.19853,0.576653872082829,0.6488353337174684,1.2254892058002973,5.983427443559748,5.138049115672743,53.0,0.24367508035345423,3.953249664248888,8.47762874103943,1.8847183594127133
CAT,sac,314,100,14.935342761370903,16.488121605979305,0.28415577431256545,0.10243000000000001,0.18172577431256545,0.9587259351018284,1.140451709414394,8.424318763018597,8.12194239035861,34.0,-0.5488993833918819,3.160675200503552,7.6850542772940935,0.6311857103140871
CAT,dqn,577,100,16.828873504888815,17.802281821478633,0.092294684738967,0.060639999999999986,0.031654684738967015,0.15007093195225427,0.18172561669122128,6.199448831739448,6.208170227202369,22.0,0.0,1.5133198802187637,8.72797064337868,37.36415466935338
CAT,as,577,100,15.315553624670054,18.872104764724135,0.010354116186993693,0.0,0.010354116186993693,0.00993655976801707,0.02029067595501077,12.902920794536216,12.862754927674715,0.0,-1.5133198802187637,0.0,7.214650763159916,
CAT,twap,577,100,8.100902861510136,13.772201426708088,0.014976116328983269,0.0,0.014976116328983269,0.0336471392543705,0.048623255583353765,22.6181312576266,22.54218246631257,0.0,-8.72797064337868,-7.214650763159916,0.0,
CAT,ddpg,577,100,18.932719156206716,19.973544262698372,0.6058018351238095,0.013539999999999995,0.5922618351238095,0.9527544762124203,1.5450163113362299,7.989623324090854,6.79672764163708,44.0,2.1038456513178967,3.617165531536661,10.831816294696575,3.323889353759965
CAT,td3,577,100,14.389515858002499,14.57671341124065,0.2901131002972116,0.20864999999999997,0.08146310029721157,-0.1136939956423881,-0.03223089534517654,1.1735006997951296,2.7284160799311237,59.0,-2.43935764688632,-0.9260377666675562,6.288612996492361,-1.1103676160555136
CAT,sac,577,100,17.034035973054795,17.325719308428017,0.2899510227790079,0.06410999999999999,0.2258410227790079,0.3166122846745046,0.5424533074535127,3.3307204158191723,3.14946757317806,35.0,0.20516246816597744,1.7184823483847416,8.93313311154466,1.641693907613713
CAT,dqn,811,100,14.156690082774094,15.727037586910878,0.05954573692031269,0.05855,0.0009957369203126998,0.586768379169754,0.5877641160900667,8.894119716284939,7.706910101028906,18.0,0.0,2.2329386267809768,9.197248266168026,14.189348201145243
CAT,as,811,100,11.923751455993122,17.293340867839596,0.012045380624590329,0.0,0.012045380624590329,0.03517761227014357,0.047222992894733896,15.624223199561056,15.562521861618837,0.0,-2.2329386267809768,0.0,6.964309639387047,
CAT,twap,811,100,4.959441816606071,10.991454321875663,0.018488589912519483,0.0,0.018488589912519483,0.060352948577578794,0.07884153849009827,23.284120506689533,23.160285250707894,0.0,-9.197248266168026,-6.964309639387047,0.0,
CAT,ddpg,811,100,15.256073347965183,16.60512599393818,0.7027535535175938,0.0,0.7027535535175938,1.8709863337806463,2.573739887298241,10.650873122839235,7.582389354012395,26.0,1.099383265191089,3.3323218919720654,10.296631531359113,2.0461355161910006
CAT,td3,811,100,15.148380341677976,16.05439774654388,0.07492576093832033,0.01566999999999999,0.05925576093832034,1.6911006313175148,1.7503563922558354,8.712923885142063,4.555162984994267,0.0,0.9916902589038787,3.224628885684855,10.188938525071903,2.221174014651873
CAT,sac,811,100,15.414251005486,16.57878115823465,0.5836447139674629,0.05419999999999999,0.529444713967463,2.1972636765129927,2.7267083904804554,11.307102542411151,7.01204531094022,29.0,1.257560922711903,3.4904995494928794,10.454809188879926,2.055802324297968
CAT,dqn,1618,100,14.290474061469947,15.281507012296549,0.09925944335811185,0.06758999999999998,0.03166944335811185,0.3169631707083468,0.3486326140664586,6.821932170040792,5.976056016416462,19.0,0.0,1.2674494351290864,8.630294650588997,40.29396625523935
CAT,as,1618,100,13.023024626340863,17.253825011650516,0.0043644503089411875,0.0,0.0043644503089411875,0.003783139270710966,0.008147589579652153,13.486028725236372,13.446582182941922,0.0,-1.2674494351290864,0.0,7.3628452154599096,
CAT,twap,1618,100,5.660179410880955,11.861809258141893,0.011829502355333416,0.0,0.011829502355333416,0.04453041758753886,0.056359919942872275,23.777839826383858,23.692552518348258,0.0,-8.630294650588997,-7.3628452154599096,0.0,
CAT,ddpg,1618,100,15.22806323978999,15.891584535317083,0.7229838123319523,0.017119999999999993,0.7058638123319524,0.1359640639534037,0.841827876285356,3.8999462897941193,5.413421721635691,55.0,0.9375891783200384,2.2050386134491244,9.567883828909036,1.8420607194140433
CAT,td3,1618,100,15.021941612015441,15.441452585881017,0.31335019649150053,0.009199999999999988,0.30415019649150055,0.36223675281789847,0.6663869493093992,4.245886892491625,4.327636593140021,58.0,0.7314675505454913,1.9989169856745774,9.36176220113449,1.4795904698567894
CAT,sac,1618,100,14.87568993649462,15.436272641018176,0.5952106651020432,0.033530000000000004,0.5616806651020432,0.0008014925799109268,0.5624821576819541,2.4485411528561816,4.63329134874374,52.0,0.5852158750246685,1.8526653101537551,9.215510525613665,1.4838650726176106
CAT,dqn,2024,100,16.40438219429903,17.293039381679442,0.14182044212428827,0.04391999999999999,0.0979004421242883,0.1654629255709439,0.26336336769523216,6.735005072483961,6.384902686402137,16.0,0.0,3.108806439139384,8.390100768670857,41.88011371150553
