market,policy,seed,episodes_completed,objective_bps_dense,selected_dense,objective_bps_sparse,selected_sparse,objective_bps
Synthetic,ddpg,123,0,0.21923300854012365,False,0.21923300854012365,False,0.0
Synthetic,ddpg,123,50,-3.5044542780071355,False,-12.003210299633016,False,8.49875602162588
Synthetic,ddpg,123,99,0.9539328610395846,False,0.1720871821985059,False,0.7818456788410787
Synthetic,ddpg,123,100,1.1964767567983925,False,0.5665906358332407,False,0.6298861209651518
Synthetic,ddpg,123,150,1.0503890356069192,False,1.4634793269049058,True,-0.4130902912979866
Synthetic,ddpg,123,200,0.8883651952966569,False,0.6471492031180811,False,0.2412159921785758
Synthetic,ddpg,123,250,1.7866661070954386,False,0.5605954553248844,False,1.2260706517705542
Synthetic,ddpg,123,300,1.843913487555065,False,0.901087575264982,False,0.942825912290083
Synthetic,ddpg,123,350,2.1685809957752267,True,1.1162900846899189,False,1.0522909110853078
Synthetic,ddpg,1618,0,2.978168658469982,False,2.978168658469982,False,0.0
Synthetic,ddpg,1618,50,4.292615961105952,False,1.922792343011877,False,2.369823618094075
Synthetic,ddpg,1618,99,4.479639150610195,False,1.0199641242020818,False,3.4596750264081133
Synthetic,ddpg,1618,100,4.7778501003182825,False,1.5879934072188713,True,3.1898566930994114
Synthetic,ddpg,1618,150,4.514082101989339,False,1.362925194133057,False,3.151156907856282
Synthetic,ddpg,1618,200,4.646602684480844,False,0.3126329887357628,False,4.333969695745082
Synthetic,ddpg,1618,250,4.7797620955683175,False,-0.3652878544426919,False,5.14504995001101
Synthetic,ddpg,1618,300,5.174889194577428,False,0.1672180013895614,False,5.007671193187867
Synthetic,ddpg,2024,0,5.049245915798483,False,5.049245915798483,False,0.0
Synthetic,ddpg,2024,50,2.6908252757120836,False,5.968333825049353,False,-3.277508549337269
Synthetic,ddpg,2024,99,5.5606070197640225,False,6.363459489737075,False,-0.8028524699730522
Synthetic,ddpg,2024,100,5.867451066677011,False,6.27058065527781,False,-0.40312958860079817
Synthetic,ddpg,2024,150,4.598105457058187,False,6.777819695835131,True,-2.1797142387769437
Synthetic,ddpg,2024,200,6.052413637505028,False,5.158561507448056,False,0.8938521300569722
Synthetic,ddpg,2024,250,5.8751130247642145,False,5.618949043971197,False,0.2561639807930174
Synthetic,ddpg,2024,300,6.124781241288896,False,5.323570502012691,False,0.8012107392762049
Synthetic,ddpg,2024,350,6.225135551380168,False,5.742510858887264,False,0.4826246924929043
Synthetic,ddpg,2718,0,2.2802096976116655,False,2.2802096976116655,False,0.0
Synthetic,ddpg,2718,50,2.2301621933843565,False,-8.055448695786641,False,10.285610889170997
Synthetic,ddpg,2718,99,3.734446462199075,False,-3.223059432778636,False,6.957505894977711
Synthetic,ddpg,2718,100,3.9776075737723953,True,-4.617514282627828,False,8.595121856400223
Synthetic,ddpg,2718,150,3.335458854184977,False,3.022070815276535,False,0.313388038908442
Synthetic,ddpg,2718,200,2.9569231385154167,False,3.038238262029223,False,-0.08131512351380632
Synthetic,ddpg,2718,250,3.227319183966863,False,2.994267340345358,False,0.23305184362150522
Synthetic,ddpg,2718,300,3.160876329666557,False,3.119538396316309,False,0.04133793335024816
Synthetic,ddpg,314,0,4.633266883603964,False,4.633266883603964,False,0.0
Synthetic,ddpg,314,50,5.184596540765886,False,-16.40684873151416,False,21.591445272280048
Synthetic,ddpg,314,99,6.354525564812363,True,3.760722820645864,False,2.593802744166499
Synthetic,ddpg,314,100,5.955489807980863,False,3.069010915178383,False,2.88647889280248
Synthetic,ddpg,314,150,5.577394655777244,False,3.7561824219151223,False,1.8212122338621217
Synthetic,ddpg,314,200,5.967962806946323,False,3.7486430918926854,False,2.2193197150536377
Synthetic,ddpg,314,250,5.762742556598973,False,3.8637480516407914,True,1.898994504958182
Synthetic,ddpg,42,0,5.190363103882158,False,5.190363103882158,False,0.0
Synthetic,ddpg,42,50,0.8856670899778974,False,-7.698749740069035,False,8.584416830046932
Synthetic,ddpg,42,99,5.40438340347965,False,-4.705825832364036,False,10.110209235843687
Synthetic,ddpg,42,100,5.57199621861839,False,-4.850402247672468,False,10.422398466290858
Synthetic,ddpg,42,150,5.381697826307679,False,-3.8029461246836087,False,9.184643950991287
Synthetic,ddpg,42,200,5.617362899787848,False,3.102288122016179,True,2.5150747777716687
Synthetic,ddpg,42,250,5.999866946865687,False,2.607245615805586,False,3.392621331060101
Synthetic,ddpg,42,300,6.435907650240724,False,2.5268772188939583,False,3.9090304313467654
Synthetic,ddpg,42,350,6.525612998346612,False,2.5977864898978185,False,3.9278265084487938
Synthetic,ddpg,42,400,6.438786726248441,False,2.5795421491939146,False,3.8592445770545267
Synthetic,ddpg,577,0,1.7543509033120488,False,1.7543509033120488,False,0.0
Synthetic,ddpg,577,50,-4.146968836895427,False,1.4162685473844134,False,-5.563237384279841
Synthetic,ddpg,577,99,3.1677482782980224,False,-2.443878444053217,False,5.6116267223512395
Synthetic,ddpg,577,100,3.2995086916195655,False,-2.4007746161072534,False,5.700283307726819
Synthetic,ddpg,577,150,4.2371005363961425,True,-6.195653415715747,False,10.43275395211189
Synthetic,ddpg,577,200,3.3841235452914806,False,-2.1116970774053825,False,5.495820622696863
Synthetic,ddpg,577,250,3.702735166956144,False,-0.9999838185947104,False,4.702718985550854
Synthetic,ddpg,577,300,3.65814233179504,False,-1.2026258211058083,False,4.860768152900849
Synthetic,ddpg,577,350,3.890503627286527,False,-1.4308552886108086,False,5.321358915897336
Synthetic,ddpg,7,0,2.824748188669652,False,2.824748188669652,False,0.0
Synthetic,ddpg,7,50,-5.719783360551942,False,4.218828454425108,False,-9.93861181497705
Synthetic,ddpg,7,99,3.0911905642962294,False,-1.357917328111328,False,4.449107892407557
Synthetic,ddpg,7,100,4.149065546948161,False,0.524867393602443,True,3.6241981533457177
Synthetic,ddpg,7,150,4.956431959700269,False,-6.086248703843969,False,11.042680663544239
Synthetic,ddpg,7,200,5.431850779709382,False,-13.590819865970452,False,19.022670645679835
Synthetic,ddpg,7,250,5.950587347239957,False,-5.496089718315224,False,11.446677065555182
Synthetic,ddpg,7,300,5.968756876731348,False,-1.1066268362898484,False,7.075383713021196
Synthetic,ddpg,811,0,5.873222864849023,False,5.873222864849023,False,0.0
Synthetic,ddpg,811,50,3.623442798974005,False,-1.7773703522740687,False,5.400813151248074
Synthetic,ddpg,811,99,6.555744170122825,False,1.7586393757316354,False,4.797104794391189
Synthetic,ddpg,811,100,6.67176040694071,True,2.119885984650007,False,4.5518744222907035
Synthetic,ddpg,811,150,5.828588293241969,False,2.8937313192279506,False,2.9348569740140187
Synthetic,ddpg,811,200,5.837591883437945,False,3.5771724526430426,False,2.260419430794902
Synthetic,ddpg,811,250,6.2721116166080195,False,3.8401281509541874,False,2.431983465653832
Synthetic,ddpg,811,300,6.266655992413398,False,3.9785268134578,False,2.288129178955598
Synthetic,ddpg,99,0,-1.044888519007984,False,-1.044888519007984,False,0.0
Synthetic,ddpg,99,50,-8.952494426726819,False,-7.595745880062815,False,-1.3567485466640044
Synthetic,ddpg,99,99,0.9201018699969472,False,-0.1457978919251157,True,1.065899761922063
Synthetic,ddpg,99,100,1.011343721782315,False,-0.1487653692668029,False,1.1601090910491179
Synthetic,ddpg,99,150,1.563305574797931,True,-1.5374033084811365,False,3.1007088832790677
Synthetic,ddpg,99,200,1.1375888745348033,False,-1.403922820954382,False,2.541511695489185
Synthetic,ddpg,99,250,1.1488751082566373,False,-2.419951261723039,False,3.5688263699796763
Synthetic,dqn,123,0,-9.210417888937044,False,-9.210417888937044,False,0.0
Synthetic,dqn,123,50,-3.6030613962892497,False,1.0152627527691545,False,-4.618324149058404
Synthetic,dqn,123,99,1.8726932667463667,False,1.6221673925272226,True,0.2505258742191441
Synthetic,dqn,123,100,2.0113367155530657,False,1.5243957768583067,False,0.48694093869475896
Synthetic,dqn,123,150,2.0982923479359066,False,-2.340249145212303,False,4.438541493148209
Synthetic,dqn,123,200,2.2072101466048033,False,-6.237974207422711,False,8.445184354027514
Synthetic,dqn,123,250,2.399609551066472,True,-8.368799679626317,False,10.76840923069279
Synthetic,dqn,1618,0,-46.870968542325194,False,-46.870968542325194,False,0.0
Synthetic,dqn,1618,50,4.545679821206038,False,2.0841041078275744,False,2.4615757133784637
Synthetic,dqn,1618,99,4.311603685477777,False,4.147808806365475,False,0.1637948791123014
Synthetic,dqn,1618,100,4.086842107668383,False,4.303285436369193,True,-0.21644332870080962
Synthetic,dqn,1618,150,6.215744287507623,True,3.7040603892490234,False,2.5116838982585996
Synthetic,dqn,1618,200,5.955104456455102,False,3.222089907310523,False,2.7330145491445785
Synthetic,dqn,1618,250,5.765717777120902,False,2.300127523991228,False,3.4655902531296743
Synthetic,dqn,1618,300,5.808005904662737,False,0.3155586092769496,False,5.492447295385787
Synthetic,dqn,2024,0,-38.98881455888727,False,-38.98881455888727,False,0.0
Synthetic,dqn,2024,50,6.689019661860298,False,5.144171294620566,False,1.544848367239732
Synthetic,dqn,2024,99,4.451194926312244,False,4.3696781870972305,False,0.08151673921501335
Synthetic,dqn,2024,100,4.703285673931896,False,4.477457033194353,False,0.22582864073754294
Synthetic,dqn,2024,150,4.869262717392348,False,4.732821607223421,False,0.1364411101689269
Synthetic,dqn,2024,200,6.438552833538209,False,4.705896663312091,False,1.732656170226118
