env_seed,pnl,objective,opening_inventory,final_inventory,price_edge,risk_relief,fees,auction_value
506181398,25.708374858719488,22.94877252170915,16.594550857766905,16.612050857766892,0.0010499999999996888,-0.005811155300214636,0.14400000000000002,-0.14876115530021497
1379662330,16.69695567388348,16.673618224448504,0.8422136569744083,1.5276599567631703,-0.15079818595352923,-0.01624421099503445,0.006,-0.1730423969485637
780275482,-51.5934629210259,-53.19636659071183,12.640948813905965,12.660583200176552,-0.0009817193135279656,-0.004967800528021087,0.31300000000000006,-0.3189495198415491
710170320,24.916897091572753,24.91666878035927,0.7785997066442292,0.15109970664494288,-0.006274999999995869,0.0058338638183829195,0.01,-0.01044113618161295
1122857777,10.16113987807707,8.515349504760982,12.755540569070149,12.828836164345102,-0.010994339291240442,-0.018752221224143283,0.33100000000000007,-0.3607465605153838
1715343208,26.7219102070542,26.716805793837985,0.8605482370229822,-0.7144517629775882,-0.09450000000001484,0.00230101946621579,0.027999999999999997,-0.12019898053379904
586742412,10.49605163990418,10.49352035740475,0.018118524746455478,0.5031185247465686,-0.02425000000000481,-0.0025279996900417568,0.0,-0.026777999690046565
767790832,2.5882600730911363,1.3303898591399925,10.845481326947748,11.215481326947781,-0.08880000000000517,-0.0816255618194208,0.036,-0.20642556181942598
1839109665,17.091340184574438,15.166084594188423,13.860357978755061,13.875357978755051,-0.0012000000000000198,-0.0041603573936237126,0.325,-0.33036035739362374
1562422053,22.09903735827544,22.091637668685223,0.18728551568703722,-0.8602144843128423,-0.2828249999999741,-0.007048930946354497,0.036,-0.3258739309463286
1048033611,37.74408079746011,36.65152231832385,10.50209389307976,10.45255222008605,0.0024770836496868175,0.0103812822543739,0.001,0.011858365904060718
1706059249,18.663551831541657,18.662196697547333,0.7723971499993496,0.3681214465803058,-0.024256542205135883,0.0046108395789474085,0.188,-0.20764570262618848
2026767019,21.269360229785526,10.487812434287758,36.32276731351174,32.83526731351181,-1.0811249999999861,2.411886457617402,0.025,1.3057614576174161
976395108,7.704388359406948,7.699366377921496,0.6807777996064601,-0.7086594023543296,0.08336623211764904,-0.00038739736108181933,0.0,0.08297883475656723
1285297914,-8.243566536722719,-8.306709701207284,0.03664930940713873,2.512830366032785,-0.8419015592527379,-0.06312973276576442,0.01,-0.9150312920185023
1241639688,36.448885240157324,36.42638258214729,0.19273239280300913,1.500088597717958,-0.49679535786768386,-0.022131200257678566,0.0,-0.5189265581253625
1741168760,-0.006420356442104258,-1.4999250820785486,12.20340309934761,12.220903099347627,-0.007525000000000665,-0.0042742535847756355,0.43500000000000016,-0.44679925358477646
1810049311,29.73905305021195,29.613439179263537,5.983209046775968,3.544204719657313,-0.12195021635592442,0.2323740340258062,0.015,0.09542381766988178
437584705,3.967285579703399,3.9477937582230513,0.7008779041219384,-1.3961311356870343,1.111414791098768,-0.014579523115484072,0.089,1.0078352679832838
1630870654,38.82893489186608,38.82569659067182,0.9768775982132496,0.5690607343920554,-0.04485985502033074,0.006304597224640618,0.0,-0.03855525779569012
2133469465,28.623605740853368,28.613158196039176,0.3721323208954459,1.0221323208954138,0.06499999999999333,-0.009062720171640141,0.081,-0.02506272017164682
1040859873,28.479739366068955,28.474212764854478,0.11569949406967339,-0.7434111389048969,-0.05154663797847505,-0.005392737485198974,0.020999999999999998,-0.07793937546367402
1714581627,-14.545576488009829,-14.58023486857915,0.8358238582042077,-1.861676141795955,-0.5664750000000207,-0.027672365349889053,0.0,-0.5941473653499098
2145509593,17.433711717984348,17.428357370730275,0.7067340537430908,0.7317340537430863,-0.0,-0.0003596170268714788,0.029,-0.029359617026871482
465076964,38.46072058458818,38.444344839772704,0.2227519696520659,-1.2796774912248194,0.06009717843506328,-0.015879560415635728,0.136,-0.09178238198057245
1961962981,-14.69085666062715,-24.157416311960468,30.738279503231738,30.767774783583743,0.0029495280352001803,-0.01814138314535285,0.098,-0.11319185511015267
2009142651,19.321266058016423,19.31754970819642,0.9621187185449713,0.6096187185449686,-0.038775000000000094,0.005540374465742081,0.20899999999999996,-0.24223462553425798
1609441589,19.057884925332516,18.137908990669388,12.676537596564657,9.59153759656463,-0.33934999999999793,0.6869701197080446,0.027000000000000003,0.3206201197080466
527941261,11.461821404319082,11.44369568377681,0.26618203821340103,-1.3463179617858465,-0.16124999999994136,-0.017417191767597557,0.003,-0.18166719176753893
14959391,34.39193535801739,34.38884243302067,4.993859280691709,-0.5561407193076331,0.49949999999988226,0.24629338015678698,0.003,0.7427933801566692
1007418991,-29.17524926299302,-29.175316672608936,0.22125318822195084,0.08210335919888945,-0.008348989741385598,0.0004221201170663615,0.0,-0.007926869624319237
205006621,20.02968307646067,18.928650770009895,12.808492444964486,10.493008655532385,-0.04630967578863355,0.5395424806763475,0.253,0.24023280488771392
1215788600,2.738063925509632,2.719793697429034,0.41447149415120066,-1.3516740761218171,-0.5121822153791928,-0.01655236188595839,0.16,-0.6887345772651513
1354211858,-43.052601458725405,-47.744766658694616,21.628906233135467,21.66140623313548,-0.0035749999999999276,-0.01406935155154372,0.43500000000000016,-0.4526443515515438
2045733799,-6.192270767684022,-6.200810126896454,0.02264508112546082,-0.9240865334173209,-0.009467316145432484,-0.008534231215440627,0.0,-0.01800154736087311
2054855356,18.25830412878352,16.360901644715224,13.769623349000454,13.774623349000503,-0.0003000000000022254,-0.001377212334913338,0.018000000000000002,-0.019677212334915567
90139674,42.127897989612464,41.96524796658131,3.776219469416361,4.032989251549738,0.08730172592534781,-0.020051688219165344,0.16999999999999998,-0.10274996229381753
1722276393,25.4830354584584,25.474606636924786,0.8930861361338458,0.9180861361338231,0.0005000000000002984,-0.000452793068066506,0.13,-0.1299527930680662
902831716,8.141851944913753,8.141817598349423,0.16610594196004058,0.058605941960038876,-0.025799999999999858,0.00024156527521408927,0.11299999999999999,-0.13855843472478577
505098110,19.06217564103585,18.856911388500773,0.5268901896631633,-4.530609810335446,2.42759999999927,-0.20248811981544504,0.006,2.219111880183825
